lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label,ward_150,ward_150_label,ward_200,ward_200_label,ward_250,ward_250_label
μέγας,728,lsj,"big; full-grown; elder; vast, high",-1,(outlier),11,"glad, delight, good, care",23,"mighty, courage, strength, equal",44,"mighty, glorious, famous, countless",88,"mighty, countless, immense, exceedingly",129,"mighty, countless, immense, exceedingly",171,"mighty, immense, countless, exceedingly",213,"mighty, immense, countless, exceedingly"
Ἀχαιός,714,lsj,Achaean; the Achaeans; Greeks; Achaia,249,"achaian, thebes, greeks, abydos",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",57,"troy, olympus, land, trojan",83,"troy, olympus, land, trojan",108,"troy, land, olympus, trojan",134,"troy, olympus, trojan, athens"
Ὀδυσσεύς,712,lsj,Odysseus; games in honour of Odysseus; temple of Odysseus,-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",30,"address, ruler, leader, lord",59,"divine, zeus, god, heracles",86,"divine, zeus, god, heracles",111,"divine, zeus, god, heracles",139,"heracles, temple, poseidon, zeus"
Ζεύς,696,lsj,dyaús; divás; diví; dyávi,79,"carian, ti, woman doubt, ja io",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",85,"abydos, irus, ti, manger",110,"abydos, ti, irus, cithara",136,"ti, cithara, carian, tegea"
φίλος,676,lsj,"beloved, dear; dear; friend; friends, kith and kin",192,"affection, love, heart, friendship",11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",127,"heart, affection, love, gentle",168,"heart, affection, love, embrace",210,"heart, affection, love, embrace"
χείρ,635,lsj,"the hand; closed; open, flat; a single hand",250,"left, right, hand, bridle",2,"double, round, stretch, house",5,"round, double, stretch, curved",10,"double, right, hand, left",23,"right, hand, opposite, left",32,"right, hand, opposite, left",43,"hand, right, left, touch",52,"hand, right, left, touch"
Τρώς,633,lsj,Tros; Trojans; Trojan men,175,"troy, trojan, tros, ilium",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",57,"troy, olympus, land, trojan",83,"troy, olympus, land, trojan",108,"troy, land, olympus, trojan",134,"troy, olympus, trojan, athens"
υἱός,613,lsj,Vasen mit Meister-signaturen; pitṛṣu; son; a son,-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",84,"son, phthia, nymph, pytho",109,"son, phthia, nymph, pytho",135,"son, phthia, pytho, nymph"
εἶπον,560,lsj,"said; avocam; vac; speak, say",-1,(outlier),3,"tree, plant, corn, wood",6,"tree, plant, wood, corn",11,"tree, plant, wood, grapes",24,"tree, wood, grapes, pine",34,"grapes, fig, tree, fruit",46,"saffron, arum, poplar, olive",55,"arum, saffron, poplar, olive"
εἶμι,530,lsj,"ibo; shall go, shall come; come; go, depart",296,"come, ibo, came, depart",6,"leap, away, come, send",13,"flee, lead, come, send",25,"come, lead, send, accomplish",51,"come, lead, arrive, ibo",73,"come, lead, arrive, ibo",98,"come, ibo, approach, reach",120,"ibo, come, approach, pass"
μάλα,530,lsj,"very, exceedingly; very; every one; together",182,"greatest, nouns, quantifier, yea",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",44,"mighty, glorious, famous, countless",88,"mighty, countless, immense, exceedingly",129,"mighty, countless, immense, exceedingly",171,"mighty, immense, countless, exceedingly",213,"mighty, immense, countless, exceedingly"
ἔνθα,501,lsj,there; thither; hither; in one place.. in another,304,"hither, world, come, material",6,"leap, away, come, send",12,"far, outside, near, hither",24,"outside, far, near, hither",49,"hither, wherefore, place, spot",71,"hither, wherefore, place, spot",92,"hither, world, come, material",112,"hither, world, come, sensible objects"
ἔπειτα,496,lsj,"thereupon, thereafter, then; thereafter, afterwards; hereafter; just then, at the time",-1,(outlier),9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",72,"haste, late, eager, wait",107,"haste, eager, late, wait",142,"late, wait, time, forthwith",178,"late, wait, time, forthwith"
δίδωμι,483,lsj,"give freely; to be ready to give, offer; things offered; grant, assign",71,"gift, present, honour, privilege",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",34,"gift, prize, guest, work",66,"gift, guest, receive, hospitality",98,"gift, guest, receive, hospitality",127,"gift, receive, present, accept",157,"gift, receive, present, accept"
βάλλω,469,lsj,"throw; throw so as to hit, hit; striking; smote upon",15,"throw, cast, sprawling, toss",6,"leap, away, come, send",11,"leap, rouse, tremble, throw",23,"leap, rouse, tremble, throw",46,"throw, dash, fly, headlong",68,"throw, dash, fly, headlong",86,"throw, cast, toss, lay",104,"throw, cast, toss, lay"
ἵππος,459,lsj,horse; mare; team of chariot-horses; the chariot,23,"chariot, horses, driver, ride",1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",3,"chariot, driving, fights, driver",7,"chariot, driver, driving, fights",8,"chariot, driving, driver, fights",12,"chariot, driver, driving, fights",15,"chariot, driver, driving, fights"
ἵστημι,454,lsj,make to stand; stand; sthā; á-sthā-t,150,"set, standing, place, stand project",6,"leap, away, come, send",11,"leap, rouse, tremble, throw",22,"fall, lift, high, drop",42,"fall, lift, high, drop",63,"lift, high, raise, lofty",80,"high, lift, raise, standing",98,"lift, raise, standing, set"
ἔπος,443,lsj,"vácas; word; utterance; that which is uttered in words, speech, tale",89,"speak, speech, converse, word",10,"loud, sound, shout, lament",21,"loud, sound, shout, lament",42,"loud, sound, shout, voice",84,"voice, speech, song, hear",124,"voice, speech, hear, sound",162,"voice, speech, word, speak",203,"voice, speech, word, speak"
εἶδον,439,lsj,see; to be seen; seem; know,59,"look, behold, gaze, seen",9,"fear, sleep, years, day",19,"look, watch, spy, gaze",40,"watch, look, seen, spy",78,"look, watch, seen, wonder",116,"seen, bring light, appear, conspicuous",154,"seen, bring light, appear, conspicuous",193,"seen, appear, bring light, view"
κακός,437,lsj,"bad; ugly; ill-born, mean; craven, base",-1,(outlier),12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",50,"wrath, pain, baneful, anger",100,"wrath, hateful, rage, cruel",150,"hateful, cruel, baneful, hated",200,"hateful, hated, ruthless, cruel",250,"ruthless, grudge, cruel, ugly"
ἑταῖρος,434,lsj,"comrade, companion; comrades-in-arms; messmate; fellowslave",-1,(outlier),8,"gather, eat, set, ask",16,"gather, eat, ask, prize",31,"gather, meet, set, ready",63,"gather, meet, collect, people",91,"gather, meet, collect, assemble",118,"unite, comrade, join, friendly",146,"unite, comrade, join, friendly"
αἱρέω,415,lsj,"take with the hand, grasp, seize; to take; having taken up; take away",262,"carry, away, snatch, remove",6,"leap, away, come, send",10,"away, cut, shut, break",21,"shut, bind, hold, fasten",39,"seize, carry, snatch, away",58,"carry, seize, snatch, away",74,"carry, seize, snatch, away",90,"carry, seize, snatch, away"
βαίνω,405,lsj,"walk, step; on foot; on ground; he went to",280,"tread, walk, step, foot",2,"double, round, stretch, house",5,"round, double, stretch, curved",8,"round, stretch, curved, bend",19,"turn, straight, tread, roll",27,"turn, straight, tread, walk",36,"tread, walk, roll, step",45,"tread, roll, walk, step"
δῖος,398,lsj,heavenly; noble; noblest; excellent,-1,(outlier),11,"glad, delight, good, care",23,"mighty, courage, strength, equal",44,"mighty, glorious, famous, countless",87,"famous, glorious, renowned, splendid",128,"famous, glorious, splendid, renowned",169,"famous, glorious, splendid, renowned",211,"famous, glorious, renowned, splendid"
Ἀχιλλεύς,382,lsj,Achilles; ‘Achilles and the Tortoise’,-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",84,"son, phthia, nymph, pytho",109,"son, phthia, nymph, pytho",135,"son, phthia, pytho, nymph"
τίθημι,376,lsj,"l), Alc; set, put, place; set; set for oneself",150,"set, standing, place, stand project",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",31,"gather, meet, set, ready",62,"ready, set, build, prepare",90,"set, ready, fit, order",117,"set, ready, fit, order",145,"set, ready, fit, order"
φέρω,372,lsj,fero; beran; bhárati; náśati,79,"carian, ti, woman doubt, ja io",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",85,"abydos, irus, ti, manger",110,"abydos, ti, irus, cithara",136,"ti, cithara, carian, tegea"
πατήρ,360,lsj,pitṛṣu; father; grandfather; by the fatherʼs side,107,"brother, father, uncle, cousin",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",84,"son, phthia, nymph, pytho",109,"son, phthia, nymph, pytho",135,"son, phthia, pytho, nymph"
φρήν,340,lsj,midriff; heart; very heart; sincere,192,"affection, love, heart, friendship",11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",127,"heart, affection, love, gentle",168,"heart, affection, love, embrace",210,"heart, affection, love, embrace"
γίγνομαι,317,lsj,come into a new state of being; come into being; to be born; born,-1,(outlier),7,"born, son, old, ruler",14,"born, old, wife, marriage",28,"born, old, age, young",56,"born, mother, travail, birth",82,"born, travail, birth, young",107,"born, travail, birth, young",132,"born, travail, birth, young"
Ἀθήνη,310,lsj,Athene; casting vote,-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",85,"abydos, irus, ti, manger",110,"abydos, ti, irus, cithara",137,"irus, abydos, luo, manger"
καλός,309,lsj,"beautiful; beauteous; fair, shapely; beauty",-1,(outlier),11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",126,"glad, delight, rejoice, awe",165,"glad, delight, sweet, joy",207,"glad, delight, sweet, joy"
ἄγω,308,lsj,"lead, carry, fetch, bring; taking; take with one; carry off",277,"lead, carry, brought, bring",6,"leap, away, come, send",13,"flee, lead, come, send",25,"come, lead, send, accomplish",51,"come, lead, arrive, ibo",73,"come, lead, arrive, ibo",97,"lead, begin, carry, initiative",119,"lead, begin, carry, initiative"
οἶδα,303,lsj,know; knew; Stadtrecht von Gortyn; Koische Forschungen,308,"know, perceive, wisdom, distinguish",12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",47,"know, destiny, perceive, oracle",93,"know, perceive, recognize, learn",138,"know, perceive, recognize, learn",184,"know, perceive, recognize, learn",230,"know, perceive, recognize, learn"
μῦθος,300,lsj,"word, speech; mere word; public speech; plea",89,"speak, speech, converse, word",10,"loud, sound, shout, lament",21,"loud, sound, shout, lament",42,"loud, sound, shout, voice",84,"voice, speech, song, hear",124,"voice, speech, hear, sound",162,"voice, speech, word, speak",203,"voice, speech, word, speak"
μέγαρον,299,lsj,"large room, hall; the chief room; womenʼs apartment; bedchamber",251,"house, court, chamber, room",2,"double, round, stretch, house",4,"house, stone, door, roof",7,"house, stone, door, wall",14,"house, roof, door, home",19,"house, bed, home, court",26,"house, bed, home, court",33,"house, home, court, chamber"
παῖς,296,lsj,child; son; daughter; adopted son,111,"son, child, offspring, infant",7,"born, son, old, ruler",14,"born, old, wife, marriage",28,"born, old, age, young",56,"born, mother, travail, birth",81,"mother, son, father, child",106,"mother, son, father, child",131,"mother, son, father, child"
λαός,294,lsj,men; foot and horse; foot; a land army,-1,(outlier),9,"fear, sleep, years, day",18,"fear, hide, fight, shield",38,"fight, quarrel, battle, strife",75,"fight, battle, quarrel, strife",111,"protector, helper, staunch, defender",149,"protector, helper, staunch, defender",188,"protector, helper, staunch, defender"
γαῖα,294,lsj,"land, country; land; earth; the earth",309,"earth, ground, soil, level",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",57,"troy, olympus, land, trojan",83,"troy, olympus, land, trojan",108,"troy, land, olympus, trojan",133,"land, space, foreign, country"
ἐθέλω,293,lsj,to be willing; wish; wish to; wish that,105,"desire, wish, longing, hope",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",33,"ask, inquire, need, desire",65,"ask, need, inquire, desire",96,"need, desire, want, wish",124,"need, desire, want, wish",154,"desire, wish, longing, love"
ἱκνέομαι,290,lsj,"come; came; arrive at; reach, attain to",253,"reach, come, arrive, attain",6,"leap, away, come, send",13,"flee, lead, come, send",25,"come, lead, send, accomplish",51,"come, lead, arrive, ibo",73,"come, lead, arrive, ibo",98,"come, ibo, approach, reach",121,"come, reach, arrive, near"
πούς,287,lsj,foot; talons; arms; feelers,179,"thigh, limb, knee, shoulder",1,"draw, chariot, hair, swift",3,"hair, skin, wool, cloth",6,"hair, neck, skin, milk",13,"neck, milk, oil, table",16,"oil, skin, serpent, fish",22,"skin, serpent, fish, hoof",27,"skin, serpent, fish, hoof"
τότε,281,lsj,"at that time, then; in that case; then, next; formerly",-1,(outlier),9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",72,"haste, late, eager, wait",107,"haste, eager, late, wait",142,"late, wait, time, forthwith",178,"late, wait, time, forthwith"
πόλεμος,279,lsj,"war; battle, fight; single combat; War, Battle",25,"battle, fight, combat, war",9,"fear, sleep, years, day",18,"fear, hide, fight, shield",38,"fight, quarrel, battle, strife",75,"fight, battle, quarrel, strife",112,"fight, battle, quarrel, strife",150,"fight, battle, quarrel, strife",189,"fight, battle, quarrel, strife"
δόρυ,272,lsj,"stem, tree; plank; beam; mast",220,"cord, rod, line, mast",2,"double, round, stretch, house",4,"house, stone, door, roof",7,"house, stone, door, wall",14,"house, roof, door, home",20,"roof, door, gates, wall",27,"roof, door, gates, wall",35,"roof, door, gates, folding"
δῶμα,271,lsj,"house; chief room, hall; a single house; housetop",251,"house, court, chamber, room",2,"double, round, stretch, house",4,"house, stone, door, roof",7,"house, stone, door, wall",14,"house, roof, door, home",19,"house, bed, home, court",26,"house, bed, home, court",33,"house, home, court, chamber"
ὅσος,266,lsj,"as great as, how great; as much as, how much; as far as, how far; as long as, how long",182,"greatest, nouns, quantifier, yea",9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",70,"year, day, time, long",105,"time, long, wise, far",139,"time, long, wise, far",175,"long, time, far, wise"
γυνή,262,lsj,"woman; man; mistress, lady; the lasses",55,"maiden, woman, girl, male",7,"born, son, old, ruler",14,"born, old, wife, marriage",27,"wife, marriage, bride, brother",54,"wife, marriage, bride, brother",78,"woman, peace, goddess, mistress",103,"woman, peace, goddess, mistress",127,"woman, peace, goddess, queen"
ἅμα,256,lsj,"at once, at the same time; partly.. partly; no sooner.. than; as soon as",-1,(outlier),9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",72,"haste, late, eager, wait",107,"haste, eager, late, wait",142,"late, wait, time, forthwith",178,"late, wait, time, forthwith"
μάχομαι,241,lsj,fight; fight with; against; with thy help,-1,(outlier),9,"fear, sleep, years, day",18,"fear, hide, fight, shield",38,"fight, quarrel, battle, strife",75,"fight, battle, quarrel, strife",112,"fight, battle, quarrel, strife",150,"fight, battle, quarrel, strife",189,"fight, battle, quarrel, strife"
ἔγχος,240,lsj,"spear, lance; weapon; sword; weapons",210,"spear, fork, lance, ashen",1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",2,"bronze, axe, spear, pointed",4,"axe, wound, blood, spear",4,"axe, spear, knife, sword",5,"axe, spear, sword, knife",7,"axe, spear, sword, knife"
ὄρνυμι,239,lsj,"ārta; orior; stir, stir up; urge on, incite",17,"stir, rouse, urge, wake",6,"leap, away, come, send",11,"leap, rouse, tremble, throw",23,"leap, rouse, tremble, throw",44,"rouse, tremble, stir, shake",66,"stir, tremble, rouse, shake",83,"rouse, stir, urge, wake",101,"rouse, stir, urge, wake"
πρῶτος,237,agwn,"(music) highest in pitch or chief among parts or voices or instruments or orchestra sections; ""first soprano""; ""the firs",0,"dance, song, sport, play",10,"loud, sound, shout, lament",21,"loud, sound, shout, lament",42,"loud, sound, shout, voice",84,"voice, speech, song, hear",123,"song, dance, dancing, linos",161,"song, dance, dancing, linos",202,"song, dance, linos, dancing"
ἀεί,237,lsj,"ever, always; until now; from of old; eternity",-1,(outlier),9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",70,"year, day, time, long",105,"time, long, wise, far",139,"time, long, wise, far",174,"times, time time, everlasting, eternity"
πρόσφημι,235,lsj,"speak to, address",90,"address, speak, named, accost",7,"born, son, old, ruler",15,"ruler, address, leader, divine",30,"address, ruler, leader, lord",61,"address, speak, named, herald",88,"address, speak, named, herald",115,"address, speak, herald, messenger",143,"address, speak, herald, messenger"
ἔργον,233,lsj,weorc; varəza; work; tasks,88,"toil, work, labour, suffer",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",34,"gift, prize, guest, work",67,"work, slave, toil, men",99,"work, slave, toil, men",130,"work, toil, labourer, nurse",160,"work, toil, labourer, servant"
ἄναξ,232,lsj,"lord, master; sons; brothers of kings; lord",8,"lord, king, ruler, leader",7,"born, son, old, ruler",15,"ruler, address, leader, divine",30,"address, ruler, leader, lord",60,"lord, ranks, ruler, leader",87,"lord, ranks, ruler, leader",112,"lord, ruler, king, master",140,"lord, ruler, king, master"
μνηστήρ,232,lsj,"wooer, suitor",50,"avenger, tamer, crib, warrior war",9,"fear, sleep, years, day",18,"fear, hide, fight, shield",37,"laugh, mock, lycia, shudder",74,"lycia, shrewd, look, thrace",109,"lycia, shrewd, look, thrace",146,"lycia, shrewd, thrace, angry",185,"lycia, shrewd, thrace, hearted"
ἕκαστος,228,lsj,each; every one; every single; all and each severally,182,"greatest, nouns, quantifier, yea",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",44,"mighty, glorious, famous, countless",88,"mighty, countless, immense, exceedingly",129,"mighty, countless, immense, exceedingly",170,"perfect, wholly, complete, entire",212,"perfect, wholly, complete, entire"
ποτέ,227,agwn,"at all times; all the time and on every occasion: ""I will always be there to help you""; ""always arrives on time""; ""there",225,"time, far, moment, present",9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",70,"year, day, time, long",105,"time, long, wise, far",139,"time, long, wise, far",174,"times, time time, everlasting, eternity"
πόλις,225,lsj,city; the citadel; the city of; oneʼs city,245,"citadel, acropolis, egypt, cyprus",2,"double, round, stretch, house",4,"house, stone, door, roof",7,"house, stone, door, wall",16,"stone, rock, hill, citadel",23,"hill, citadel, peak, mound",31,"hill, citadel, peak, mound",39,"hill, citadel, peak, mound"
ἄριστος,223,lsj,best; noblest; a chief; bravest,-1,(outlier),11,"glad, delight, good, care",23,"mighty, courage, strength, equal",45,"courage, strength, equal, wrought",91,"strength, courage, wrought, stout",135,"wrought, stout, cunning, best",178,"wrought, stout, cunning, best",222,"stout, sturdy, better, best"
Ἀργεῖος,218,lsj,"from Argos, Argive; the Greeks; Argolis; womenʼs shoes",-1,(outlier),1,"draw, chariot, hair, swift",3,"hair, skin, wool, cloth",6,"hair, neck, skin, milk",13,"neck, milk, oil, table",16,"oil, skin, serpent, fish",22,"skin, serpent, fish, hoof",27,"skin, serpent, fish, hoof"
γέρων,217,lsj,"old man; Elders, Chiefs; Senators; old",49,"old, elders, senator, chiefs",7,"born, son, old, ruler",14,"born, old, wife, marriage",28,"born, old, age, young",55,"old, age, youthful, childish",80,"old, age, youthful, childish",105,"old, age, youthful, childish",129,"old, long, ago, yesterday"
Ἀτρείδης,209,lsj,son of Atreus,-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",84,"son, phthia, nymph, pytho",109,"son, phthia, nymph, pytho",135,"son, phthia, pytho, nymph"
εὖ,209,lsj,"well; well, thoroughly, competently; cunning; morally well, kindly",145,"cunning, wily, crafty, profitable",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",45,"courage, strength, equal, wrought",91,"strength, courage, wrought, stout",135,"wrought, stout, cunning, best",178,"wrought, stout, cunning, best",223,"wrought, cunning, richly, profitable"
μήτηρ,207,lsj,mother; dam; mother-bird; queen,-1,(outlier),7,"born, son, old, ruler",14,"born, old, wife, marriage",28,"born, old, age, young",56,"born, mother, travail, birth",81,"mother, son, father, child",106,"mother, son, father, child",131,"mother, son, father, child"
ξένος,207,lsj,guest-friend; guest; visitor; guests,9,"guest, hospitality, strangers, entertainment",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",34,"gift, prize, guest, work",66,"gift, guest, receive, hospitality",98,"gift, guest, receive, hospitality",128,"guest, hospitality, escort, attendant",158,"guest, hospitality, escort, attendant"
πείθω,204,lsj,"persuade; obey; trust; prevail upon, persuade",186,"trust, obey, persuasive, persuade",12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",48,"swear, oath, reproach, counsel",96,"swear, oath, counsel, pray",143,"cheat, trial, attempt, promise",190,"cheat, trial, attempt, promise",237,"trial, attempt, promise, expect"
θεά,199,lsj,goddess,76,"peace, goddess, white, faculty seeing",7,"born, son, old, ruler",14,"born, old, wife, marriage",27,"wife, marriage, bride, brother",54,"wife, marriage, bride, brother",78,"woman, peace, goddess, mistress",103,"woman, peace, goddess, mistress",127,"woman, peace, goddess, queen"
Αἴας,198,lsj,Ajax,-1,(outlier),9,"fear, sleep, years, day",18,"fear, hide, fight, shield",37,"laugh, mock, lycia, shudder",74,"lycia, shrewd, look, thrace",109,"lycia, shrewd, look, thrace",145,"look, reply, answer, question",183,"look, reply, answer, question"
χαλκός,197,lsj,copper; bronze; anything made of metal; the spear of bronze,137,"bronze, copper, brazen, metal",1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",2,"bronze, axe, spear, pointed",5,"bronze, silver, gold, copper",6,"bronze, silver, gold, copper",8,"bronze, silver, gold, copper",10,"bronze, silver, gold, copper"
ἀθάνατος,197,agwn,"concerned with theory and data rather than practice; opposed to applied: ""pure science""",308,"know, perceive, wisdom, distinguish",12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",47,"know, destiny, perceive, oracle",93,"know, perceive, recognize, learn",138,"know, perceive, recognize, learn",184,"know, perceive, recognize, learn",230,"know, perceive, recognize, learn"
κεῖμαι,195,lsj,"śáyate; cunae; to be laid; lie, lie outstretched",170,"lay, lie, laid, moored",9,"fear, sleep, years, day",20,"sleep, sit, seat, lie",41,"sleep, sit, seat, lie",80,"lie, laid, lay, lying",119,"lie, laid, lay, lying",157,"lie, laid, lay, lying",196,"lie, laid, lying, lay"
ἕπομαι,195,lsj,sacate; sequor; sèkti; saśc(a)-),-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",85,"abydos, irus, ti, manger",110,"abydos, ti, irus, cithara",137,"irus, abydos, luo, manger"
ἄγε,193,lsj,come on!,303,"wherefore, place place, account, just",9,"fear, sleep, years, day",18,"fear, hide, fight, shield",37,"laugh, mock, lycia, shudder",74,"lycia, shrewd, look, thrace",109,"lycia, shrewd, look, thrace",145,"look, reply, answer, question",183,"look, reply, answer, question"
τεῦχος,192,lsj,"tool, implement; implements of war, armour, arms; whole armour, harness; the gear",231,"leathern, strap, thong, wallet",1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",2,"bronze, axe, spear, pointed",6,"shaft, oar, rod, bar",7,"shaft, oar, rod, bar",9,"prop, pointed, spin, thread",11,"armour, slip, fetters, crane"
στῆθος,190,lsj,breast; chest; breasts; the breast as the seat of feeling and thought,178,"breast, bowels, navel, belly",1,"draw, chariot, hair, swift",3,"hair, skin, wool, cloth",6,"hair, neck, skin, milk",13,"neck, milk, oil, table",18,"neck, throat, breast, stern",24,"breast, stern, milk, chest",30,"breast, stern, milk, chest"
αὐτίκα,190,lsj,"forthwith, at once, in a moment; on the spot; immediately; as soon as",-1,(outlier),9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",72,"haste, late, eager, wait",107,"haste, eager, late, wait",142,"late, wait, time, forthwith",178,"late, wait, time, forthwith"
Μενέλαος,190,lsj,Abiding-men,-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",85,"abydos, irus, ti, manger",110,"abydos, ti, irus, cithara",137,"irus, abydos, luo, manger"
