verb,frequency,frame_hdbscan,frame_label,frame_ward_25,gloss,top_subjects,top_objects
προσαυδάω,179,27,"speak, address, hear, exchange",23,"speak to, address, accost; speak; to one; speak of",Ἥρα(4); Ἀθήνη(3); υἱός(3),ἔπος(113); Ἀθήνη(6)
πίπτω,177,41,"shake, join, tremble, cause",18,Exc. ex libris Herodiani; fall down; cast oneself down; fall,ὕπνος(4); λαός(4); Βορέας(2),ἄντλος(1); τοῖχος(1); πρόμαχος(1)
ἐλαύνω,171,30,"drive, sway, run, bring brought",18,"drive, set in motion; drive; ride; row",ὗς(6); Ἀντίλοχος(3),ἵππος(21); χαλκός(9); μῆλον1(6)
τεύχω,170,-1,(unassigned),23,"make ready, make; produce by work; art; make, build",ἔργον(6); Ἥφαιστος(4); φόνος(3),δαίς1(7); δόρπον(4)
ἀμείβω,169,27,"speak, address, hear, exchange",23,"change, exchange; changing; give in exchange; take in exchange",θεά(9); Νέστωρ(8); Ἀθήνη(7); δῖος(6),ἕρκος(2); ἔπος(2)
λείπω,167,-1,(unassigned),23,"leave, quit; is gone; leave behind, leave at home; leave",θυμός(8); ψυχή(5),ὀστέον(6)
ὄλλυμι,167,-1,(unassigned),23,"destroy, make an end of; kill; doing away with; lose",ἑταῖρος(5); πᾶς(4); κλέος(4),θυμός(14); ἑταῖρος(10); λαός(6); ναῦς(5)
ἀγορεύω,166,27,"speak, address, hear, exchange",23,"speak in the assembly, harangue; address; to address the house?; counsel",γέρων(3),ἔπος(10)
φωνέω,163,-1,(unassigned),23,produce a sound; tone; speak loud; clearly,θεά(1),ἔπος(1); ὄψ(1)
φεύγω,162,-1,(unassigned),22,"flee, take flight; ran; flee; the purpose",ἔπος(8); ἡνία(3),θάνατος(12); ἕρκος(8); ὄλεθρος(7); κήρ(4)
εὔχομαι,157,11,"pray, incur, need, born",23,pray; to utter; in prayer; pray that,,Ζεύς(11); θεός(7); Ἀθήνη(6); Ποσειδεών(5); κόρη(5)
φαίνω,157,-1,(unassigned),23,"bring to light, cause to appear; make; appear; show by baring",ἠώς(29); ἔργον(6); θεός(6); βουλή(6),μνηστήρ(6); τέρας(4); σῆμα(4)
ἐάω,157,32,"stretch, spread scatter, send, honour",23,"suffer, permit; leave; alone; should be given up",Ἀθήνη(5); Ἀχιλλεύς(3),ἔναρα(2)
κτείνω,155,-1,(unassigned),23,"kill, slay; seeks to kill; the slayer, murderer; put to death",Ἀχιλλεύς(7); υἱός(3); Ἄρτεμις(2); ἑταῖρος(2),υἱός(6)
χέω,152,20,"sprinkle, roast, broil, let flow",12,"pour; pour out, let flow; snows; gush forth",κῆρυξ(4); Ἀθήνη(4); ἀχλύς(4),δάκρυ(36); ὕδωρ(13); σῆμα(9); ὕπνος(9)
δαμάζω,149,12,"sweat, born, stir, rouse",19,"overpower; tame, break in; work; clear",θεός(4); Ποσειδεών(3); πολύς(3); κήρ(2),θυμός(5)
ἄνωγα,146,3,"moan, melt, hope, bade",25,"command, order; advise, urge; bade; bids, prompts",θυμός(25); υἱός(4),λαός(3); Ἰδομενεύς(1)
λύω,142,36,"bind, luo, turn flight, loosen",23,"luo; re-luo, solvo; se-luo), solūtus; loosen",γόνυ(10); γυῖον(10); ἦτορ(9); μένος(4),ἵππος(15); γόνυ(9); γυῖον(8); πρυμνήσιος(7); Ἕκτωρ(5)
νοέω,139,31,"heavy, aim, disembark, cheat",23,"Excerpta e libris Herodiani; perceive by the eyes, observe; perceive by the mind, apprehend; take notice",Ἀθήνη(9); θεά(8); Ἀχιλλεύς(4),
θνήσκω,138,18,"owe, crying, ply, dead",21,Papers of the Amer. School; die; to be dead; dead,Ὀδυσσεύς(5),φίλος(1)
τελέω,135,26,"fulfil, spin, perform, accomplish",23,"fulfil, accomplish, execute, perform; did it; perform; fulfil",θεός(8); Ζεύς(5); ἔργον(5),ἔργον(7); ἔπος(4)
ὀτρύνω,135,13,"urge, know, remain, command",23,"stir up, egg on, encourage; rouse oneself, bestir oneself, hasten; urge on, cheer on; urge forward, quicken, speed",θυμός(5); καρδία(3); Περσεφόνεια(2),μένος(13); θυμός(11); ἀνήρ(5); Ὀδυσσεύς(4)
εἴκω1,134,35,"attain, come, reach, sink",12,"to be like, seem likely",ὄσσε(2); Ἀντίνοος(1); ὅσος(1),ἀνήρ(11); γυνή(4); θήρ(4); φώς(4)
λαμβάνω,131,36,"bind, luo, turn flight, loosen",23,"take; receive; take hold of, grasp, seize; caught",τρόμος(6); μοῖρα(4); χόλος(3); θάνατος(3); κάματος(2),γόνυ(13); γυῖον(7); πούς(5)
ἧμαι,130,27,"speak, address, hear, exchange",18,"āste; to be seated, sit; sit still, sit idle; encamp",ἑταῖρος(3); Τρώς(2),σιωπή(1)
δύω2,129,35,"attain, come, reach, sink",12,"cause to sink, sink, plunge in; get; go into; enter, make oneʼs way into",ἥλιος(15); φάος(5),τεῦχος(16); χιτών(5); θώραξ(4); ἔντεα(4); χαλκός(3)
τίκτω,127,34,"king, inquire, ask, beget bring",22,"bring into the world, engender; beget; bring forth; parents",μήτηρ(11); Ζεύς(5); Λητώ(3),τέκνον(7)
οἴομαι,127,3,"moan, melt, hope, bade",25,"forebode, presage; expect; suspect; fear",θυμός(3),γόος(2); δόλος(1); ἀγγελία(1)
ἄρχω,126,27,"speak, address, hear, exchange",23,"to be first; begin, make a beginning; to be the aggressor; to begin oneʼs",υἱός(9); παῖς(7); Ὀδυσσεύς(7); Νέστωρ(7); Ἀθήνη(6),μῦθος(28); τέταρτος(3); πόλεμος(3)
γιγνώσκω,125,13,"urge, know, remain, command",23,"come to know, perceive; know; know by reflection; know by observation",,φιλότης(3)
ἐρύω1,120,14,"arm, stay, strip, angry",18,"drag, draw; drag; away, rescue; off for plunder, ransom",ναῦς(5); κύων(2); Ἀχαιός(2),ναῦς(17); ξίφος(12); νεκρός(11); πᾶς(6); φάσγανον(4)
δύναμαι,118,40,"contain, hold, seize, catch",18,"to be able, strong enough; canst; powerful, mighty; multum valet",θεός(2),πᾶς(1); ἅπας(1); ποιμήν(1); ναῦς(1)
πάσχω,118,-1,(unassigned),14,"have; done to one, suffer; to be treated; suffer",Ἀχαιός(7),ἄλγος(32); κακός(24); πῆμα(13); πολύς(11)
ἱκάνω,117,35,"attain, come, reach, sink",12,"come; to come to; reach, attain to; are fulfilled",ἄχος(6); ὕπνος(4),δόμος(7); γόνυ(6); θυμός(6)
μέμαα,115,-1,(unassigned),19,,πολύς(1); ἀνήρ(1); δῆμος(1); ἀμφότερος(1),ἀλκή(2); Ὄσσα(1); τεῖχος(1); ναῦς(1); ἔρις(1)
καλέω,112,-1,(unassigned),23,"call, summon; they had been summoned; demand, require; call to oneself",θεός(6); μήτηρ(4),Αἴας(4)
ἀείρω,110,-1,(unassigned),19,"attach; lift, raise up; brailing them up; hoist",ναῦς(2); γέρων(2),κῦδος(18); κλέος(8); παῖς(4); εὖχος(3)
μιμνήσκω,110,23,"look gaze, courage, share, persuade",23,"remind, put in mind; recalled; to memory, made; famous",Ἀχαιός(3),ἀλκή(10); χάρμη(8); πατήρ(4)
φράζω,110,25,"swear, accuse, oath, say",23,"point out, show; say, tell; show the way to, show where to find; showed",Ὀδυσσεύς(4); ἀθάνατος(4); Ἀθήνη(3),
πέλω,109,11,"pray, incur, need, born",23,"come into existence, become, be; was; when once in being; become",μῦθος(4); οὖρον(3),ἄνθρωπος(3)
κίω,107,-1,(unassigned),23,,ἀμφίπολος(4); Μενέλαος(3),κλισία(2); δόμος(1); Τηλέμαχος(1)
ὁράω,106,-1,(unassigned),23,"Inscr. des tombeaux des rois; I know; a)ware; see, look",μήτηρ(2),φάος(9); θαῦμα(5); ἔργον(4)
δείδω,105,-1,(unassigned),23,"fear; to be alarmed, anxious; fear to do; fear, dread",νέμεσις(1); Ἥρα(1),ὄλεθρος(3); Ἕκτωρ(2); ἔγχος(2)
τίνω,105,23,"look gaze, courage, share, persuade",23,pay a price; pay; acquit oneself of; render,Ζεύς(2); Ὀδυσσεύς(2),
χαίρω,105,-1,(unassigned),23,"rejoice, be glad; to rejoice; rejoice at, take pleasure in; express oneʼs joy",Ἀχαιός(4); Ὀδυσσεύς(3); Τρώς(3),φιλότης(1); εὐχωλή(1)
εἴρω2,104,25,"swear, accuse, oath, say",22,"say, speak, tell; is said; ask",ἔπος(2); πᾶς(1); αἶνος(1),ἔπος(6); ἀγγελία(4)
κλύω,104,-1,(unassigned),23,hear; from; hear of; have heard,Ἀθήνη(4); θεά(3); Ἀπόλλων(3); Ζεύς(2),αὐδή(7); μῦθος(4)
ῥέζω,100,11,"pray, incur, need, born",23,"do, act, deal; do, accomplish, make; if once done; wronged",Ἀχαιός(2),ἑκατόμβη(14); κακός(12); θεός(7)
ναίω,99,-1,(unassigned),22,"dwell, abide; dwell in, inhabit; to be inhabited; lie, be situated",θεός(4); Καλυψώ(3); θυγάτηρ(2),δῶμα(10); οἰκίον(9); οἶκος(3); Θήβη(2); Ἄργος(2)
τέρπω,98,-1,(unassigned),23,"delight, gladden, cheer; will give; pleasure; give delight",πᾶς(3); μνηστήρ(2); Ὀδυσσεύς(2),γόος(8); φρήν(7); θυμός(4); μῦθος(4); κτῆμα(2)
αὐδάω,98,27,"speak, address, hear, exchange",23,"utter sounds, speak; utter; speak, say; twas said",Τηλέμαχος(43); ἀγός(7); Ἰδομενεύς(5); Εὐρύμαχος(4); παῖς(4),ἔπος(16); ἀντίος(2); Ἑρμῆς(2); υἱός(2)
κέλομαι,97,14,"arm, stay, strip, angry",25,"urge, exhort, command; commands; advise; constrained",Ἕκτωρ(7); θυμός(6),Τρώς(12); ἑταῖρος(6); ναῦς(5); Λύκιοι(5); ἵππος(5)
λανθάνω,95,-1,(unassigned),23,escape notice; escape; notice; donʼt know,παῖς(2),ἀλκή(7); χάρμη(3)
ἀμύνω,95,26,"fulfil, spin, perform, accomplish",19,"keep off, ward off; to be kept off; for; from whom",ἥρως(1); Ἀργεῖος(1),λοιγός(15); ἦμαρ(9); ναῦς(9); ἀρή(6)
ἕζομαι,95,27,"speak, address, hear, exchange",21,"seat oneself, sit; sank; crouch; sink",Ὀδυσσεύς(2); στίξ(2); Τηλέμαχος(1),Τηλέμαχος(1)
παύω,95,24,"shut close, beckon, opened, sing",19,"make to end; bring to an end, check; stop; silence",ἄνεμος(3); Ζεύς(2),πόλεμος(14); μάχη(9); πόνος(7); γόος(5); ὀιζύς(3)
φρονέω,95,-1,(unassigned),23,"to be minded; have understanding, be wise, prudent; counsel; to be",πολύς(1); Ἀθήνη(1); υἱός(1),κακός(8); φίλος(4)
πέμπω,94,-1,(unassigned),23,send; over; send for; send to,Ἑρμῆς(1),ξένος(4)
πίνω,90,21,"mix, drink, cup, rule",11,drink; drink of; whereof; to drink,μέθυ(2); πᾶς(1); ἀνήρ(1),οἶνος(17); αἷμα(6); ὕδωρ(3); φάρμακον(1); ὀρός(1)
παρίστημι,90,-1,(unassigned),23,"cause to stand, place beside; having brought; into view; set",ἀμφίπολος(4); θάνατος(2); μοῖρα(2),Ἀχιλλεύς(2)
οἴχομαι,90,-1,(unassigned),23,"come; go, go away, go off; he has gone, departed; he had gone",Ὀδυσσεύς(5); παῖς(2),υἱός(1); Κακοίλιος(1); Τηλέμαχος(1); ὁδός(1); ἐρωή(1)
νέομαι,89,-1,(unassigned),21,come; go back; return; násate,Τηλέμαχος(2); Ὀδυσσεύς(1),οἶκος(6); Φθία(1); καμμονίη(1); κλισία(1)
μέλλω,88,32,"stretch, spread scatter, send, honour",19,to be destined; likely to; belike; doubtless,Ἀχαιός(3); Ὀδυσσεύς(2); θεός(2),παλίωξις(1); Δαναοί(1); κῦδος(1)
ἠμί,87,5,"leap, sal, assemble, went",7,"say; spake; said; aio, ad-agium",ἐπιβουκόλος(1); θυγάτηρ(1); γέρων(1); γυνή(1),
καλύπτω,86,35,"attain, come, reach, sink",12,"oc-culo, celo; cover; to kill; covered, grasped",σκότος(12); νύξ(7); τέλος(4); νεφέλη(3); κῦμα(3),ὄσσα(8); ἀήρ(7); ὄσσε(7); γαῖα(3)
πυνθάνομαι,85,18,"owe, crying, ply, dead",23,learn; by hearsay; by inquiry; from,ναῦς(2),νόστος(5); πατήρ(4); ἀγγελία(4); Τειρεσίης(3)
θέω,83,-1,(unassigned),12,dhávate; run; running; run and,ἵππος(2); πόρκης(2); κλίσιον(1),πεδίον(3); μένος(1); χρῆμα(1); μυχός(1)
φιλέω,82,32,"stretch, spread scatter, send, honour",23,"love, regard with affection; sexual love; friends; to be beloved",Ζεύς(5); Ἀθήνη(3); Ἀπόλλων(2); πατήρ(2),
ἀνίστημι,82,-1,(unassigned),23,"make to stand up, raise up; raised; raisefrom sleep, wake up; raise from the dead",ἀνήρ(2); φώς(2),χείρ(2); υἱός(2)
κλαίω,82,18,"owe, crying, ply, dead",23,"cry, wail, lament; crying; crying, howling; well beaten",μήτηρ(2),πόσις1(5); Ὀδυσσεύς(4); παῖς(2); ἑταῖρος(1)
τλάω,82,-1,(unassigned),23,"suffer, undergo; hold out, endure, be patient, submit; I submitted; bore up under",βροτός(2),ἐνιαυτός(2); ὀφθαλμός(1); στόμα(1); τόσος(1)
εὑρίσκω,81,30,"drive, sway, run, bring brought",18,"find; find that; found; find means, be able",Αὐτομέδων(1),υἱός(9); τέκμαρ(5); Ὀδυσσεύς(4); ἑταῖρος(3)
μίγνυμι,81,-1,(unassigned),23,,κάρα(2); πτωχός(1),πρόμαχος(5); εὐνή(4); φιλότης(4); κρατήρ(3)
δέχομαι,79,29,"taught, weave, send forward, set",23,"take, accept, receive; receive; at the hand of; accept",,ἄποινα(8); ἔγχος(3); χρυσός(3); δῶρον(3)
ποιέω,79,-1,(unassigned),23,"make; make, produce; made; to be made with",Παναχαιοί(3); Κρονίων(3); θεός(3); Ζεύς(2),τύμβος(5)
πειράω,75,25,"swear, accuse, oath, say",23,"attempt, endeavour, try; make trial of; make an attempt on; make an attempt",,ἆθλος(6); τόξον(3); ἀνήρ(2)
λίσσομαι,74,-1,(unassigned),23,"beg, pray; pray; prays; that",ἑταῖρος(2); μήτηρ(2); Ἕκτωρ(1),Ζεύς(4); γόνυ(3)
χολόω,73,-1,(unassigned),23,"anger, provoke; to anger; to be angered; provoked to anger",Κρονίδης(2); Ποσειδεών(1); Ἀντίνοος(1),πατήρ(2); ἑταῖρος(2)
καίω,73,15,"eat, devour, kindle, chase",12,"kindle; they lighted them; to be lighted, burn; which blaze",μῆρα(4); Ὀδυσσεύς(3); πῦρ(2); πυρή(2),μηρία(14); πῦρ(7); νεκρός(4); πυρά(4)
εἰσοράω,72,-1,(unassigned),23,"look into, look upon, behold; to discern; to behold; seest)",Ἰθακήσιος(1); θέαινα(1),ἵππος(4); ναῦς(3); πόλις(3); γαῖα(2)
δέω,71,-1,(unassigned),12,"bind, tie, fetter; to bind; tie; bind, keep in bonds",θυμός(6); θεός(1); Τηλέμαχος(1); υἱός(1),πέδιλον(12); δαίς1(7); χείρ(6); πούς(4)
τρέφω,70,39,"abandon, congeal, curdle, portion",23,"thicken; congeal; curdle; curdle, congeal",ἄρουρα(1); συβώτης(1); ὄρχαμος(1),ἀλοιφή(1)
ἀραρίσκω,70,41,"shake, join, tremble, cause",9,"join, fit together; join together, fasten; knitted; pack up",τέκτων(2); δόρυ(1),παλάμη(3); θυμός(2); κλείς(2); ἅπας(2); σκόλοψ(2)
καταλέγω,69,-1,(unassigned),23,lay down,Ὀδυσσεύς(1),ἀλήθεια(6); πᾶς(4)
ἵζω,69,-1,(unassigned),23,"si-sd-ō; e-sed-s; make to sit, seat, place, set; set",σκοπός(1); μήτηρ(1),εἷμα(4); λόχος(3); Ὀδυσσεύς(2)
πόρω,68,29,"taught, weave, send forward, set",23,,Ἀπόλλων(4); θεός(4); Χείρων(3); Κίρκη(2),δῶρον(7); ἕδνον(5)
ἐρύω2,66,24,"shut close, beckon, opened, sing",23,"se-srū; e-serū; protect, guard; lie in wait for",Ἀπόλλων(3); ἀνήρ(2),ναῦς(5); ἔγχος(3); υἱός(3)
θείνω,66,37,"strike, strip, wound, smite",18,strike; dashed; slay; slain,υἱός(2); ἀνήρ(1),ἑταῖρος(4)
ἀπόλλυμι,66,18,"owe, crying, ply, dead",23,"destroy utterly, kill; demolish, lay waste; will waste; sought to destroy",πολύς(3); Ἀχαιός(3),ὄλεθρος(2); πόσις1(2); λαός(2); μόρος(1)
ἀνάσσω,66,-1,(unassigned),22,"to be lord, master; to be lord, hold sway in; to be lord of; to be master of",,Ἀργεῖος(4); πᾶς(3); Μυρμιδόνες(3); δῶμα(2)
μετεῖπον,65,5,"leap, sal, assemble, went",7,"speak among, address",Διομήδης(6); ἴς(5); γέρων(4); Ἀγαμέμνων(3); Ἐχένηος(2),
ἕλκω,65,37,"strike, strip, wound, smite",18,"sulcus; velkù; draw, drag; began to drag",Ὀδυσσεύς(2); υἱός(2); ἡμίονος(2); βοῦς(1),ναῦς(6); ἅλς1(4); ἄροτρον(2); ἱστίον(2); πούς(2)
ἀνέχω,65,-1,(unassigned),18,"hold up, lift up; held up; in fight; hold up",Ἀχιλλεύς(2),χείρ(20); δόρυ(5); θεός(5); Ζεύς(4); κῆδος(2)
ἔδω,64,15,"eat, devour, kindle, chase",13,"eat; eat up, devour",γύψ(5); κύων(3); ὗς(1),σῖτος(5); βίοτος(4); κτῆμα(3); θυμός(3); οἷος(3)
ἕννυμι,63,29,"taught, weave, send forward, set",22,ves; vestis; váste; put clothes on,Ὀδυσσεύς(2); νύμφη(1),εἷμα(23); χιτών(13); χλαῖνα(11); δέρμα(4); χαλκός(4)
προίημι,63,29,"taught, weave, send forward, set",23,"send forth, send forward; send; forward; will allow",Ζεύς(3),ἔγχος(13); ἑταῖρος(3)
μέλω,63,11,"pray, incur, need, born",23,"to be an object of care; thought; care for, take an interest in; am I in",ἔργον(7); πόνος(2),ἀνήρ(5)
κατακτείνω,63,37,"strike, strip, wound, smite",18,"kill, slay",Ἀχιλλεύς(2); Ἕκτωρ(2); Αἴας(1),ἀνήρ(9); φώς(4); βοῦς(3); υἱός(3)
τρέπω,63,40,"contain, hold, seize, catch",12,Studien zum griech. Perf; turn; direct; show,Ἀθήνη(3); χρώς(3); νόος(3); ἔγχος(2); Ζεύς(2),ὄσσα(3); ἵππος(3); κεφαλή(1)
ἔλπω,63,3,"moan, melt, hope, bade",25,cause to hope; feeds; with hope; cause to expect,θυμός(11); Πηλεύς(1),πᾶς(2); θυμός(2); ναῦς(2); νίκη(2)
ἀγείρω,62,-1,(unassigned),25,"gather together; gather, assemble; herded; collect, gather",θυμός(4); ψυχή(1),λαός(8); χρῆμα(1); ἁλιεύς(1); πύρνον(1); βίοτος(1)
κιχάνω,61,36,"bind, luo, turn flight, loosen",23,"reach, hit; light upon, meet with; reach, overtake; shall reach",μοῖρα(4); θάνατος(3); υἱός(2); τέλος(2); Μελανθεύς(1),βασιλεύς(2)
ἀίσσω,61,-1,(unassigned),9,"shoot, dart, glance; darting upon; rapid flight; gliding about",ἄκων(2); δετή(2); χαίτη(2),κάρηνον(2); φόβος(1); ὦμος(1)
εὕδω,60,-1,(unassigned),16,"sleep; slumbering; sleep of death; rest, be still",ἀνήρ(4); βροτός(3); θεός(2); Ἀχιλλεύς(2),ὕπνος(1)
μυθέομαι,60,25,"swear, accuse, oath, say",23,speak; converse; say that; order,βασίλεια(1); Κίρκη(1); δῖος(1),ἀληθής(3)
ἐπέρχομαι,59,40,"contain, hold, seize, catch",12,come upon; approach; come suddenly upon; come to for advice,ὕπνος(5); ὥρα(5); νύξ(4); ἦμαρ(2); νοῦσος(1),βοῦς(2); ἀγρός(1); γαῖα(1)
πολεμίζω,59,-1,(unassigned),19,"wage war, fight; with; jointly with; war",υἱός(4); ὅσος(1); Τρώς(1),Τρώς(5); Ἕκτωρ(3); πόλεμος(2); ἀνήρ(1)
ἐρύκω,59,30,"drive, sway, run, bring brought",17,"keep in, curb, restrain; keep; back; kept",δῶρον(3); Καλυψώ(2),ἵππος(9); λαός(5)
ἐπιβαίνω,58,-1,(unassigned),23,"go upon; set foot on, tread, walk upon; set foot on; placed upon",ἑταῖρος(2); υἱός(1); δώδεκα(1); ἦτορ(1),εὐνή(8); ἵππος(7); ναῦς(5); γαῖα(4); ὄχος(4)
σώζω,57,-1,(unassigned),23,"save, keep; save from death, keep alive; spare; to be saved, kept alive, preserved",θεός(2); Ἥρα(1),ναῦς(4); λαός(3)
ἄχνυμαι,57,3,"moan, melt, hope, bade",21,,Ἀχαιός(1); θυμός(1); κῆρ(1),κῆρ(10); ἑταῖρος(4); Ἄσιος(1)
δαίνυμι,57,20,"sprinkle, roast, broil, let flow",12,give a banquet; feast; to give; thou shalt be,ἑταῖρος(2); μνηστήρ(1); γείτων(1),μέθυ(6); δαίς1(5); κρέας(4); κρέα(2); τάφος(2)
μάρναμαι,56,16,"fight, retire, shrink, flee",14,"fight, do battle; with, against; together with; on his side",ἀνήρ(1); Τρώς(1),Τρώς(3); ἀνήρ(2); δάιος2(2); ὅσος(1); Ἕκτωρ(1)
ὀδύρομαι,56,-1,(unassigned),23,"lament, bewail; mourned for; mourn for, for the sake of; wail",Τηλέμαχος(2); Πηνελόπεια(1),παῖς(3); νόστος(2); ἑταῖρος(2); γαῖα(1)
λέγω,56,-1,(unassigned),23,lay,Ὀδυσσεύς(1); Ἑλένη(1); δῖος(1),κῆδος(3); ὀστέον(3); αἱμασιά(2)
ἐπιτέλλω,55,13,"urge, know, remain, command",23,"enjoin, prescribe, command; spake; command; enjoined, prescribed",Νέστωρ(3); Μενοίτιος(2); Πηλεύς(2),
χρή,55,-1,(unassigned),1,"sum; it is necessary; it must needs, one must; ought",,ὁδός(1); ξένος(1)
πάρειμι,52,39,"abandon, congeal, curdle, portion",12,sum; to be by; present; near,δύναμις(5); ἀνήρ(2); δῶρον(2); ἵππος(2),δμώς(1)
ἀφικνέομαι,52,35,"attain, come, reach, sink",12,"arrive at, come to, reach; came up to; came to; come up to",δῖος(1),μνηστήρ(4); ναῦς(4); δῶμα(2); δῆμος(2)
τανύω,52,29,"taught, weave, send forward, set",23,"stretch, strain; string; having strung his; pull",Ζεύς(3); Κρονίων(2); ὗς(2); γναθμός(1),τράπεζα(6); τόξον(3); ἱμάς(2); βιός(2); κρήδεμνον(2)
ἀχεύω,52,-1,(unassigned),9,"grieving, mourning; grieving in; sorrowing for; vex, annoy",θεός(1); θυμός(1),ἦτορ(9); θυμός(3); ἄναξ(1); Ὀδυσσεύς(1)
ὀπάζω,52,32,"stretch, spread scatter, send, honour",23,"make to follow, send with; give as a companion; follower; bid",θεός(4); Ζεύς(4); Φαίαξ(2); γῆρας(2),κῦδος(11)
