lemma,gloss,best_category,best_pos,best_neg,assigned,entry_len,pos_kinship_family,pos_marriage,pos_friendship_affection,pos_hostility_enmity,pos_hospitality_xenia,pos_erotic_pederasty,pos_rank_kingship_rule,pos_military_rank,pos_servitude_slavery,pos_messenger_herald_envoy,pos_civic_community
ἀατήρ,dishonourer,servitude_slavery,0.243,0.232,False,74,0.136,0.179,0.147,0.172,0.189,0.22,0.153,0.164,0.243,0.191,0.124
ἄᾰτος,insatiate,erotic_pederasty,0.362,0.334,False,225,0.145,0.306,0.285,0.157,0.116,0.362,0.073,0.098,0.184,0.13,0.053
ἀάω,"hurt, damage; mislead, infatuate; to be infatuated, act foolishly",erotic_pederasty,0.434,0.372,False,1046,0.204,0.282,0.403,0.353,0.152,0.434,0.193,0.245,0.155,0.184,0.091
ἀβάδιστος,untrodden,servitude_slavery,0.274,0.357,False,171,0.253,0.151,0.232,0.254,0.221,0.16,0.251,0.164,0.274,0.065,0.256
ἀβᾰθής,not deep; in single rank; without depth,military_rank,0.466,0.219,False,238,0.175,0.134,0.145,0.106,0.116,0.188,0.307,0.466,0.166,0.119,0.152
ἄβαθρος,without foundation,kinship_family,0.186,0.205,False,49,0.186,0.112,0.099,0.095,0.063,0.034,0.138,0.059,0.109,0.063,0.138
ἀβᾰκέω,"to be speechless; said nothing, took no heed",friendship_affection,0.239,0.202,False,126,0.114,0.179,0.239,0.176,0.132,0.13,0.135,0.18,0.08,0.096,0.046
ἀβᾰκής,"speechless; calm, gentle",friendship_affection,0.351,0.444,False,213,0.104,0.111,0.351,0.28,0.181,0.227,0.172,0.263,0.16,0.191,0.131
ἀβάκιον,slabs,messenger_herald_envoy,0.199,0.192,False,203,0.123,0.092,0.088,0.07,0.051,0.066,0.14,0.195,0.153,0.199,0.079
ἀβᾰκίσκος,small stone for inlaying,hospitality_xenia,0.122,0.156,False,106,-0.006,0.038,0.07,-0.005,0.122,0.008,-0.032,-0.029,-0.059,0.111,0.063
ἀβακοειδής,like an,military_rank,0.216,0.256,False,59,0.101,0.032,0.184,0.124,0.091,0.145,0.122,0.216,0.075,0.182,0.139
ἀβάκχευτος,uninitiated in Bacchic orgies; joyless,hospitality_xenia,0.235,0.3,False,162,0.187,0.182,0.199,0.187,0.235,0.209,0.105,0.106,0.122,0.068,0.109
ἀβακχίωτος,"having no part in Bacchus, undrinkable",kinship_family,0.23,0.215,False,109,0.23,0.152,0.076,0.1,-0.006,0.164,0.153,0.102,0.202,0.053,0.117
ἄβᾰλε,O that.. !,rank_kingship_rule,0.114,0.145,False,158,0.093,0.094,0.075,0.109,0.111,0.087,0.114,0.071,0.093,0.042,0.025
ἀβαμβάκευτος,not seasoned,hospitality_xenia,0.161,0.107,False,77,0.008,0.124,0.072,0.022,0.161,0.116,0.081,0.157,0.102,0.098,0.062
ἄβαξ,"slab, board; reckoning-board; board; dice-board; sideboard; trencher, plate; abacus, slab; marble wall-slab",military_rank,0.277,0.239,False,536,0.145,0.106,0.138,0.136,0.235,0.161,0.145,0.277,0.236,0.241,0.233
ἀβάπτιστος,"not to be dipped, that will not sink; with a guard, to stop it from going too deep; not drenched with liquor",friendship_affection,0.212,0.301,False,258,0.123,0.14,0.212,0.099,0.178,0.166,0.115,0.203,0.18,0.151,0.119
ἄβαπτος,not tempered,hostility_enmity,0.297,0.282,False,69,0.084,0.144,0.169,0.297,0.087,0.151,0.198,0.084,0.116,0.228,0.147
ἀβαρβάριστος,without barbarisms,hostility_enmity,0.268,0.194,False,123,0.121,0.179,0.115,0.268,0.129,0.202,0.215,0.144,0.215,0.042,0.118
ἀβαρής,without weight; light; not offensive; not burdensome; without giving offence; without taking offence,hostility_enmity,0.335,0.314,False,581,0.14,0.191,0.29,0.335,0.255,0.221,0.157,0.248,0.18,0.162,0.155
ἄβαρις,"having no boat, landsman",servitude_slavery,0.253,0.233,False,354,0.129,0.183,0.117,0.068,0.152,0.158,0.132,0.195,0.253,0.133,0.116
ἀβασάνιστος,"not tortured; without pain; untried, unexamined; without due examination",servitude_slavery,0.347,0.27,False,344,0.219,0.182,0.28,0.262,0.133,0.171,0.177,0.203,0.347,0.172,0.186
ἀβασίλευτος,not ruled by a king; free from rule,rank_kingship_rule,0.665,0.394,True,132,0.259,0.199,0.114,0.145,0.179,0.255,0.665,0.221,0.317,0.102,0.232
ἀβασκάνιστος,free from malice,hostility_enmity,0.405,0.361,False,90,0.129,0.157,0.277,0.405,0.182,0.237,0.261,0.178,0.278,0.174,0.147
ἀβάσκᾰνος,free from envy; unprejudiced,hostility_enmity,0.452,0.425,False,151,0.218,0.198,0.401,0.452,0.24,0.238,0.194,0.082,0.272,0.075,0.154
ἀβάσκαντος,"secure against enchantments, free from harm; acting as a charm; protection against witchcraft; not harming",friendship_affection,0.41,0.278,False,409,0.096,0.145,0.41,0.314,0.256,0.218,0.136,0.114,0.236,0.246,0.116
ἀβάστακτος,not to be borne; carried; not removable,messenger_herald_envoy,0.392,0.328,False,153,0.195,0.239,0.173,0.247,0.158,0.242,0.194,0.214,0.201,0.392,0.157
ἀβατόομαι,to be made desert,military_rank,0.228,0.263,False,69,0.111,0.169,0.177,0.194,0.191,0.154,0.15,0.228,0.204,0.091,0.16
ἄβᾰτος,"untrodden; impassable; not fordable; desolate; inaccessible; not to be trodden; pure, chaste; adytum; bidental; not ridden; that hinders walking",erotic_pederasty,0.332,0.371,False,1278,0.253,0.215,0.258,0.254,0.221,0.332,0.251,0.175,0.274,0.157,0.256
ἀβδέλυκτος,not to be abominated,hostility_enmity,0.253,0.198,False,75,0.178,0.165,0.067,0.253,0.043,0.085,0.181,0.087,0.09,0.108,0.114
Ἀβδηρίτης,a man of Abdera; Gothamite; like an Abderite; stupid,erotic_pederasty,0.208,0.303,False,231,0.176,0.141,0.17,0.137,0.092,0.208,0.163,0.155,0.156,0.145,0.147
ἄβδης,scourge,servitude_slavery,0.247,0.211,False,66,0.083,0.148,0.135,0.176,0.141,0.123,0.125,0.114,0.247,0.137,0.07
ἀβέβαιος,"unreliable; unsteady; an insecure position; unstable, fickle",hostility_enmity,0.404,0.315,False,510,0.154,0.175,0.192,0.404,0.165,0.224,0.198,0.168,0.222,0.121,0.165
ἀβεβαιότης,instability,hostility_enmity,0.234,0.324,False,107,0.153,0.055,0.123,0.234,0.084,0.092,0.207,0.056,0.039,0.121,0.071
ἀβέβηλος,"sacred, inviolable; pure",hostility_enmity,0.303,0.434,False,120,0.151,0.281,0.277,0.303,0.187,0.231,0.253,0.265,0.252,0.128,0.276
ἀβελτερεύομαι,play the fool,hospitality_xenia,0.208,0.194,False,61,-0.015,0.085,0.055,0.175,0.208,0.109,0.074,0.087,0.051,-0.015,0.001
ἀβελτερία,"silliness, fatuity",friendship_affection,0.251,0.303,False,173,0.016,0.195,0.251,0.221,0.185,0.205,0.214,0.08,0.132,0.136,0.084
ἀβελτεροκόκκυξ,silly fellow,civic_community,0.158,0.133,False,62,0.143,0.131,0.101,0.112,0.089,0.128,0.08,0.105,0.103,0.056,0.158
ἀβέλτερος,"silly, stupid",servitude_slavery,0.147,0.102,False,419,0.089,0.145,0.056,0.091,0.114,0.062,0.106,0.108,0.147,0.083,0.043
ἀβίαστος,"unforced, without force; violence; shall maintain order; unstrained, unaffected; not liable to compulsion; irresistible",hostility_enmity,0.461,0.362,False,401,0.226,0.292,0.357,0.461,0.291,0.317,0.281,0.315,0.296,0.208,0.251
ἀβίβλης,without books,marriage,0.245,0.347,False,63,0.195,0.245,0.124,0.084,0.112,0.161,0.213,0.11,0.178,0.074,0.114
ἄβιος,"not to be survived; without a living, starving; having no fixed subsistence, nomad",servitude_slavery,0.368,0.412,False,530,0.219,0.251,0.239,0.132,0.269,0.155,0.241,0.138,0.368,0.093,0.265
ἄβιος,wealthy,rank_kingship_rule,0.471,0.5,False,69,0.272,0.316,0.298,0.255,0.143,0.258,0.471,0.212,0.215,0.06,0.192
ἀβίοτος,making life unliveable,civic_community,0.251,0.302,False,137,0.207,0.248,0.228,0.218,0.156,0.075,0.181,0.054,0.17,0.021,0.251
ἀβιωτοποιός,making life insupportable,friendship_affection,0.219,0.263,False,76,0.211,0.19,0.219,0.19,0.173,0.037,0.135,0.02,0.113,0.054,0.178
ἀβίωτος,"not to be lived, insupportable; life is intolerable",hostility_enmity,0.267,0.248,False,506,0.229,0.196,0.193,0.267,0.172,0.083,0.146,0.059,0.18,0.092,0.224
ἀβλάβ-εια,freedom from harm; harmlessness,hostility_enmity,0.402,0.354,False,147,0.13,0.15,0.181,0.402,0.181,0.176,0.238,0.232,0.261,0.082,0.21
ἀβλαβ-ής,"without harm; unharmed, unhurt; safely; securely; not harming, harmless, innocent; doing no serious injury; without harm to; averting; preventing harm; without violating the terms",hostility_enmity,0.404,0.424,False,1044,0.153,0.249,0.274,0.404,0.195,0.297,0.211,0.198,0.219,0.14,0.175
ἀβλαστ-έω,not to run to leaf; not to germinate,kinship_family,0.162,0.271,False,115,0.162,0.128,0.071,0.026,0.074,0.06,0.046,0.079,0.1,0.15,0.074
ἄβλαστ-ος,not growing out; not growing; not germinating; unfruitful,friendship_affection,0.239,0.266,False,296,0.188,0.108,0.239,0.196,0.184,0.161,0.136,0.066,0.127,0.104,0.064
ἀβλάστ-ητος,not striking from cuttings,messenger_herald_envoy,0.207,0.215,False,79,0.11,0.143,-0.006,0.134,0.01,0.029,0.054,0.163,0.15,0.207,0.073
ἄβλαυτος,unslippered,servitude_slavery,0.214,0.169,False,88,0.083,0.13,0.191,0.194,0.146,0.175,0.091,0.039,0.214,0.079,0.069
ἀβλεμής,feeble; flat; intemperately,servitude_slavery,0.217,0.216,False,200,0.161,0.167,0.18,0.151,0.171,0.194,0.215,0.19,0.217,0.172,0.15
ἀβλεννής,mucus,erotic_pederasty,0.169,0.239,False,151,0.101,0.066,0.168,0.164,0.027,0.169,0.083,0.159,0.046,0.11,0.042
ἀβλεπτ-έω,"overlook, disregard",hostility_enmity,0.167,0.132,False,118,0.069,0.068,0.116,0.167,0.061,0.123,0.068,0.074,0.073,0.118,0.07
ἀβλέπτ-ημα,"mistake, oversight",rank_kingship_rule,0.208,0.197,False,83,0.149,0.085,0.025,0.068,0.187,0.109,0.208,0.178,0.11,0.127,0.125
ἀβλέφᾰρος,without eyebrows,rank_kingship_rule,0.154,0.164,False,67,0.087,0.086,0.1,0.115,0.047,0.059,0.154,0.077,0.034,0.091,0.069
ἀβλεψία,blindness; failure to see; invisibility,hostility_enmity,0.171,0.329,False,179,0.144,0.152,0.123,0.171,0.13,0.123,0.113,0.089,0.038,0.088,0.133
ἀβλής,not thrown; shot; not yet used,military_rank,0.185,0.176,False,128,0.115,0.112,0.104,0.146,0.154,0.116,0.061,0.185,0.099,0.128,0.127
ἄβλητος,not hit,hospitality_xenia,0.108,0.184,False,74,0.089,0.064,0.07,0.104,0.108,0.05,0.079,0.086,0.067,0.064,0.085
ἀβληχής,without bleatings,friendship_affection,0.118,0.114,False,82,0.073,0.059,0.118,0.063,0.038,0.059,0.042,0.081,0.047,0.038,0.021
ἀβληχρής,"mild, soothing",friendship_affection,0.342,0.546,False,79,0.061,0.089,0.342,0.198,0.26,0.27,0.089,0.138,0.088,0.112,0.067
ἀβληχρός,"weak, feeble; easy; violent",hostility_enmity,0.39,0.394,False,281,0.173,0.228,0.185,0.39,0.171,0.206,0.227,0.243,0.166,0.127,0.224
ἀβοηθ-ησία,helplessness,hostility_enmity,0.346,0.32,False,56,0.223,0.135,0.316,0.346,0.104,0.165,0.177,0.091,0.157,0.053,0.11
ἀβοήθ-ητος,"admitting of no help, without remedy, incurable; fatal; unserviceable, useless; helpless; unhelpful",hostility_enmity,0.31,0.352,False,532,0.15,0.214,0.246,0.31,0.198,0.151,0.153,0.141,0.235,0.188,0.122
ἀβοηθί,without assistance,servitude_slavery,0.172,0.17,False,65,0.167,0.09,0.131,0.124,0.065,0.067,0.141,0.12,0.172,0.055,0.112
ἀβοητί,without summons,servitude_slavery,0.328,0.242,False,76,0.154,0.204,0.147,0.122,0.169,0.146,0.208,0.237,0.328,0.303,0.204
ἀβόητος,not loudly lamented; not noised abroad,hospitality_xenia,0.167,0.285,False,152,0.055,0.112,0.134,0.126,0.167,0.123,0.117,0.067,0.044,0.094,0.057
ἀβολέω,meet,hospitality_xenia,0.333,0.202,False,109,0.236,0.18,0.282,0.134,0.333,0.243,0.01,0.134,0.045,0.161,0.195
ἀβολ-ητύς,a meeting,hospitality_xenia,0.384,0.228,False,65,0.292,0.246,0.263,0.144,0.384,0.193,0.06,0.244,0.105,0.351,0.261
ἀβολ-ήτωρ,one who meets,friendship_affection,0.351,0.28,False,53,0.335,0.236,0.351,0.212,0.322,0.274,0.075,0.214,0.205,0.262,0.295
ἀβόλλα,"abolla, thick woollen cloak",messenger_herald_envoy,0.22,0.14,False,99,0.062,0.138,0.158,0.097,0.046,0.085,0.071,0.049,0.074,0.22,0.035
ἄβολος,that has not shed his foal-teeth; that no longer sheds them; an unlucky throw,kinship_family,0.199,0.168,False,283,0.199,0.092,0.129,0.064,0.127,0.06,0.059,0.079,0.121,0.193,0.005
ἀβόρβορος,without filth,erotic_pederasty,0.188,0.29,False,84,0.128,0.159,0.163,0.133,0.09,0.188,0.17,0.05,0.115,0.021,0.067
Ἀβοριγῖνες,aborigines,civic_community,0.419,0.233,False,60,0.368,0.203,0.134,0.213,0.166,0.194,0.239,0.227,0.31,0.151,0.419
ἄβορος,greedy,hostility_enmity,0.266,0.387,False,59,0.232,0.136,0.184,0.266,0.132,0.229,0.18,0.125,0.196,0.125,0.101
ἀβοσκ-ής,"unfed, fasting",servitude_slavery,0.225,0.294,False,65,0.106,0.139,0.132,0.128,0.074,0.148,0.122,0.136,0.225,0.091,0.109
ἀβόσκ-ητος,pastureless,kinship_family,0.181,0.284,False,74,0.181,0.159,0.151,0.108,0.115,0.138,0.109,0.114,0.169,0.119,0.056
ἄβοτος,without pasture,servitude_slavery,0.186,0.23,False,55,0.179,0.149,0.13,0.069,0.06,0.127,0.094,0.109,0.186,0.103,0.053
ἀβουκόλητος,untended; unheeded,friendship_affection,0.251,0.243,False,113,0.119,0.075,0.251,0.123,0.094,0.167,0.049,0.104,0.174,0.156,0.057
ἀβουλ-εί,inconsiderately,hostility_enmity,0.256,0.192,False,70,0.078,0.113,0.103,0.256,0.07,0.122,0.111,0.051,0.041,0.074,0.049
ἀβούλευτος,"ill-advised, inconsiderate.",hostility_enmity,0.215,0.154,False,83,0.015,0.13,0.081,0.215,0.125,0.104,0.047,0.04,0.084,0.042,0.038
ἀβουλ-έω,"to be unwilling; dislike, object to; not to will; without willing",hostility_enmity,0.507,0.324,False,214,0.19,0.211,0.321,0.507,0.255,0.334,0.193,0.161,0.213,0.179,0.13
ἀβούλ-ητος,involuntary; not according to oneʼs wish; will,servitude_slavery,0.325,0.395,False,335,0.213,0.201,0.203,0.292,0.157,0.157,0.232,0.196,0.325,0.239,0.184
ἀβουλ-ία,"ill-advisedness, thoughtlessness; irresolution; indecision",hostility_enmity,0.324,0.336,False,292,0.164,0.139,0.233,0.324,0.188,0.217,0.158,0.11,0.172,0.105,0.139
ἄβουλ-ος,"inconsiderate, ill-advised; taking no thought; unfeeling",hostility_enmity,0.306,0.21,False,375,0.132,0.125,0.151,0.306,0.131,0.169,0.093,0.117,0.132,0.106,0.13
ἀβούτης,without oxen; poor,rank_kingship_rule,0.261,0.286,False,80,0.218,0.127,0.218,0.136,0.095,0.13,0.261,0.142,0.219,0.129,0.094
ἅβρα,favourite slave,servitude_slavery,0.539,0.404,True,195,0.285,0.307,0.273,0.265,0.277,0.273,0.289,0.252,0.539,0.149,0.149
ἀβρᾰμίς,PLond.ined; mullet; PLond.ined.,hostility_enmity,0.189,0.26,False,185,0.134,0.106,0.173,0.189,0.076,0.152,0.12,0.129,0.142,0.187,0.084
ἀβραμύας,throw at dice,marriage,0.143,0.115,False,123,0.072,0.143,0.055,0.071,0.131,0.051,0.121,0.082,0.12,0.074,0.103
ἄβραχος,not steeped,erotic_pederasty,0.112,0.149,False,84,0.072,0.011,0.083,-0.013,0.044,0.112,0.024,0.033,0.107,0.069,0.062
ἀβρῑθής,of no weight,friendship_affection,0.143,0.37,False,77,0.136,0.022,0.143,0.062,0.072,0.093,0.082,0.072,0.103,0.108,0.067
ἄβρικτος,wakeful,erotic_pederasty,0.215,0.227,False,78,0.099,0.156,0.16,0.136,0.136,0.215,0.12,0.138,0.138,0.093,0.059
ἁβρο-βάτης,softly; delicately stepping,friendship_affection,0.364,0.352,False,99,0.148,0.14,0.364,0.214,0.187,0.322,0.173,0.221,0.186,0.143,0.063
ἁβρό-βιος,"living delicately, effeminate",erotic_pederasty,0.315,0.298,False,126,0.115,0.202,0.223,0.185,0.208,0.315,0.125,0.056,0.128,0.073,0.039
ἁβρό-γοος,wailing womanishly,erotic_pederasty,0.365,0.306,False,61,0.061,0.205,0.274,0.168,0.147,0.365,0.088,0.122,0.132,0.165,0.081
ἁβρό-δαις,luxurious,erotic_pederasty,0.347,0.378,False,78,0.202,0.256,0.289,0.118,0.341,0.347,0.275,0.119,0.261,0.192,0.131
ἁβρο-δίαιτα,luxurious living,hospitality_xenia,0.347,0.368,False,107,0.214,0.246,0.259,0.098,0.347,0.301,0.3,0.101,0.286,0.14,0.21
ἁβρο-δίαιτος,living delicately; effeminacy; luxurious,erotic_pederasty,0.347,0.378,False,214,0.202,0.256,0.289,0.29,0.341,0.347,0.275,0.119,0.261,0.192,0.133
ἁβρο-είμων,softly clad,erotic_pederasty,0.271,0.232,False,64,0.187,0.202,0.247,0.174,0.15,0.271,0.196,0.197,0.241,0.16,0.063
ἁβρο-κόμης,with luxuriant foliage; with delicate hair.,friendship_affection,0.201,0.46,False,258,0.129,0.183,0.201,0.127,0.098,0.154,0.102,0.12,0.095,0.185,0.065
ἀβρόμιος,without Bacchus,marriage,0.227,0.173,False,61,0.145,0.227,0.126,0.117,0.068,0.161,0.179,0.144,0.197,0.074,0.132
ἁβρομίτρης,with dainty girdle,hostility_enmity,0.163,0.224,False,56,0.104,0.162,0.162,0.163,0.144,0.116,0.141,0.096,0.101,0.143,0.059
ἄβρομος,joining in a shout; noisy; noiseless,military_rank,0.251,0.252,False,190,0.115,0.107,0.164,0.149,0.2,0.159,0.107,0.251,0.081,0.182,0.202
ἁβροπάρθενοι,consisting of delicate maidens,erotic_pederasty,0.373,0.29,False,83,0.208,0.338,0.237,0.211,0.147,0.373,0.221,0.181,0.29,0.266,0.063
ἁβρο-πέδῑλος,soft-sandalled,military_rank,0.173,0.196,False,70,0.08,0.044,0.092,0.102,0.063,0.089,0.066,0.173,0.096,0.106,0.008
ἁβρο-πέτηλος,with soft leaves,messenger_herald_envoy,0.136,0.424,False,68,0.076,0.027,0.133,0.018,0.045,0.114,0.053,0.074,0.07,0.136,0.062
ἁβρό-πηνος,of delicate texture,friendship_affection,0.334,0.346,False,65,0.127,0.136,0.334,0.211,0.144,0.255,0.125,0.086,0.146,0.13,-0.006
ἁβρό-πλουτος,richly luxuriant,rank_kingship_rule,0.299,0.381,False,66,0.208,0.179,0.295,0.216,0.198,0.26,0.299,0.184,0.225,0.143,0.082
ἁβρός,"graceful, delicate, pretty; splendid; graceful, pretty; dainty, luxurious; delicately",friendship_affection,0.417,0.461,False,1105,0.179,0.292,0.417,0.288,0.334,0.292,0.288,0.162,0.211,0.197,0.16
ἁβροστᾰγής,dropping rich unguents,rank_kingship_rule,0.313,0.341,False,96,0.267,0.233,0.122,0.102,0.057,0.229,0.313,0.056,0.255,0.027,0.085
ἁβρόσφυρος,with delicate ankles,marriage,0.193,0.224,False,79,0.107,0.193,0.154,0.118,0.111,0.164,0.12,0.116,0.142,0.1,-0.055
ἀβροτάζω,miss; error; erring,hostility_enmity,0.214,0.242,False,268,0.132,0.115,0.181,0.214,0.157,0.153,0.105,0.092,0.091,0.111,0.091
ἁβρότης,"splendour, luxury; of luxury; luxurious; to be fastidious; the freshness of youth; sweetness, charm",friendship_affection,0.35,0.468,False,436,0.286,0.259,0.35,0.206,0.341,0.347,0.335,0.2,0.321,0.192,0.276
ἁβρότῑμος,delicate and costly,friendship_affection,0.325,0.354,False,81,0.135,0.231,0.325,0.293,0.189,0.246,0.172,0.117,0.217,0.192,-0.008
ἀβροτόν-ινος,made of,friendship_affection,0.222,0.227,False,68,0.1,0.041,0.222,0.13,0.118,0.189,0.04,0.118,0.084,0.133,0.165
ἀβροτον-ίτης,prepared with,military_rank,0.277,0.231,False,70,0.108,0.209,0.214,0.082,0.204,0.193,0.094,0.277,0.165,0.194,0.138
ἀβρότονον,"wormwood, Artemisia arborescens; southernwood, Artemisia fragrans; lavender cotton, Santolina Chamaecyparissus",erotic_pederasty,0.225,0.379,False,270,0.22,0.177,0.168,0.1,0.15,0.225,0.119,0.106,0.194,0.107,0.107
ἄβροτος,"holy; without men, deserted of men",military_rank,0.368,0.369,False,257,0.198,0.282,0.195,0.218,0.288,0.28,0.214,0.368,0.367,0.116,0.183
ἀβροχ-έω,not to be inundated,friendship_affection,0.184,0.137,False,83,0.1,0.094,0.184,0.135,0.146,0.068,0.113,0.123,0.163,0.132,0.031
ἀβροχ-ία,"want of rain, drought; failure of the inundation",marriage,0.222,0.338,False,238,0.207,0.222,0.201,0.166,0.18,0.117,0.14,0.163,0.156,0.115,0.134
ἄβροχ-ος,"unwetted, unmoistened; without getting wet; wanting rain, waterless; not inundated",servitude_slavery,0.246,0.22,False,401,0.161,0.19,0.245,0.229,0.176,0.117,0.121,0.146,0.246,0.16,0.186
ἁβροχίτων,"in soft tunic, softly clad; with soft coverings",erotic_pederasty,0.25,0.208,False,178,0.201,0.184,0.233,0.165,0.114,0.25,0.208,0.22,0.215,0.171,0.051
ἅβρυνα,mulberries,erotic_pederasty,0.28,0.185,False,91,0.158,0.266,0.176,0.23,0.101,0.28,0.223,0.196,0.215,0.209,0.099
ἁβρ-υντής,"coxcomb, fop",marriage,0.122,0.104,False,54,0.099,0.122,0.038,0.045,0.115,0.038,-0.016,0.121,0.069,0.093,0.031
ἁβρ-ύνω,"make delicate, treat delicately; deck out; live delicately; wax wanton, give oneself airs; pride, plume oneself on a",hostility_enmity,0.414,0.532,False,541,0.136,0.177,0.345,0.414,0.199,0.294,0.254,0.236,0.209,0.341,0.183
ἅβρωμα,a womanʼs garment.,marriage,0.208,0.204,False,48,0.081,0.208,0.118,0.051,0.042,0.157,0.027,0.027,0.076,0.185,0.141
ἄβρωμος,free from smell,friendship_affection,0.198,0.239,False,129,0.044,0.048,0.198,0.102,0.141,0.183,0.015,0.068,0.106,0.1,0.015
Ἄβρων,Abron,civic_community,0.197,0.218,False,108,0.159,0.086,0.141,0.14,0.114,0.088,0.084,0.105,0.097,0.072,0.197
ἀ-βρώς,not devoured; not bitten,erotic_pederasty,0.262,0.302,False,106,0.145,0.123,0.122,0.136,0.122,0.262,0.082,0.049,0.152,0.09,0.161
ἀ-βρωσία,"want of food, fasting",friendship_affection,0.201,0.372,False,58,0.106,0.199,0.201,-0.013,0.168,0.109,0.114,0.099,0.125,0.125,0.125
ἄ-βρωτος,"uneatable, not good for food; not eaten; without eating",friendship_affection,0.19,0.32,False,380,0.143,0.138,0.19,0.159,0.164,0.136,0.055,0.072,0.113,0.057,0.131
Ἄβῡδος,Abydos; from Abydos; at Abydos; of; of Abydos; something unpleasant,hostility_enmity,0.437,0.464,False,472,0.236,0.172,0.254,0.437,0.244,0.269,0.165,0.187,0.171,0.158,0.208
ἀβύρσευτος,untanned,hostility_enmity,0.207,0.221,False,53,0.064,0.066,0.165,0.207,0.127,0.116,0.051,0.06,0.118,0.15,0.091
ἀβυρτ-άκη,"sour sauce of leeks, cress, and pomegranateseeds",erotic_pederasty,0.165,0.253,False,155,-0.014,0.056,0.071,0.142,0.12,0.165,0.016,0.065,-0.011,0.048,-0.044
ἀβυρτ-ᾰκοποιός,making,hospitality_xenia,0.239,0.239,False,68,0.176,0.177,0.188,0.13,0.239,0.177,0.105,0.169,0.162,0.178,0.181
ἀβυρτ-ᾰκώδης,like,friendship_affection,0.165,0.196,False,65,0.091,0.068,0.165,0.153,0.08,0.111,0.15,0.129,0.114,0.153,0.083
ἄβυσσος,"bottomless, unfathomed; unfathomable, boundless; the great deep; the abyss, underworld, Ev. Luc.; the infinite void",erotic_pederasty,0.283,0.259,False,481,0.212,0.134,0.217,0.281,0.136,0.283,0.239,0.179,0.21,0.147,0.121
ἀβωλόκοπος,not hoed,hospitality_xenia,0.233,0.135,False,50,0.137,0.127,0.144,0.073,0.233,0.102,0.097,0.114,0.142,0.134,0.171
ἄβωλος,not mixed with clods of earth,civic_community,0.16,0.302,False,98,0.108,0.129,0.093,0.113,-0.008,0.069,0.06,0.023,0.108,0.018,0.16
ἄβως,speechless,friendship_affection,0.183,0.15,False,76,0.104,0.111,0.183,0.08,0.061,0.109,0.077,0.135,0.059,0.017,0.017
ἀγα-,very; ṃga,erotic_pederasty,0.19,0.195,False,114,0.144,0.13,0.187,0.156,0.151,0.19,0.161,0.172,0.163,0.123,0.091
ἀγάζω,"exalt overmuch; honour, adore",friendship_affection,0.357,0.573,False,172,0.131,0.242,0.357,0.262,0.269,0.249,0.2,0.232,0.158,0.159,0.115
ἀγαθάγγελος,bringing good tidings,messenger_herald_envoy,0.354,0.263,False,93,0.062,0.138,0.235,0.135,0.213,0.088,0.073,0.174,0.174,0.354,0.071
