lemma,gloss,best_category,best_score,score_kinship_family,score_marriage,score_friendship_affection,score_hostility_enmity,score_hospitality_xenia,score_erotic_pederasty,score_rank_kingship_rule,score_military_rank,score_servitude_slavery,score_messenger_herald_envoy,score_civic_community
ἄγᾰμαι,"wonder; admire; for; wonder at; to be delighted with; feel envy, bear a grudge; to be jealous; that; to be jealous of, angry at",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ἀγαμέμνων,Agamemnon; Agamemnonʼs son,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαμ-ία,"single estate, celibacy",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄγαμ-ος,"unmarried, single; marriage that is no marriage, fatal marriage",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγᾰνάκτ-ησις,physical pain and irritation; vexation; wrath,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαπάζω,"treat with affection, receive with outward signs of love; show signs of love, caress; welcome, receive gratefully",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαπάω,"greet with affection; show affection for; to be regarded with affection; love; to be fond of; persuade, entreat; caress, pet; to be fond of, prize, desire; prefer; highly prized, precious stones; to be well pleased, contented; to be well content; to be contented with; tolerate, put up with; may be content with; to be content; to be fond; wont",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγάπ-η,"love; brotherly love, charity; love-feast; alms, charity",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγάπ-ημα,darling; delight,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαπ-ήνωρ,"loving manliness, manly",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγάπ-ησις,affection,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαπ-ητός,"that wherewith one must be content; to be acquiesced in; one must be content; desirable; beloved; gladly, contentedly; just enough to content one, barely, scarcely",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄγασις,rejoicing; envy,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγάστωρ,from the same womb:; twins; near kinsman,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαυός,"illustrious, noble; noble; brilliant, glorious",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαυρ-ίᾱμα,insolence,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγαυρ-ιάομαι,to be insolent,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγγᾰρ-εία,impressment for the public service; cursus publicus,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄγγᾰρος,mounted courier; courier; posting-mules; agarru,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγγελία,"message, tidings; a report of; concerning; a message about; news of; announcement, proclamation; command, order; messenger",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγγελια-φόρος,messenger; Persian chamberlain,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγγελικός,of; for a messenger; conveying information; angelic,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγγελιώτης,messenger,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγγέλλω,"bear a message; may bring; word; announce, report; ;; bring news of; I announce myself; to be reported of",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄγγελμα,"message, tidings",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄγγελος,"messenger, envoy; one that announces; tells; angel; semi-divine being",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγελάζομαι,"to be gregarious, flock",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγελαῖος,"belonging to a herd; in herds; shoals, gregarious; gregarious animals; of the common herd; common, ordinary",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγελ-άρχης,"leader of a flock; herd; leader, captain",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγελαστικός,"gregarious, social",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγένειος,"beardless, boyish; like a boy; boys; childless",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγεν-ής,"unborn, uncreated; of no family, ignoble; childless",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγενν-ής,low-born; sordid,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγένν-ητος,"unbegotten, unborn; unoriginated; non-existent; low-born, mean; not productive; without leaving issue",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγερ-ωχία,arrogance; high-heartedness; revelry; feats of mastery,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγέρ-ωχος,"high-minded, lordly; noble; lordly; high-spirited; arrogant",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγέστρατος,host-leading,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄγη,"wonder, amazement; envy, malice; jealousy",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγην-ορέω,to be valiant,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγην-ορία,"manliness, courage; arrogance, pride",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγησί-λᾱος,leader of the people,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγησί-χορος,leading the chorus; dance,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ἀγήτωρ,Leader,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγκᾰλ-ισμα,that which is embraced; taken in the arms; darling; embrace,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγλαό-θρονος,"with splendid throne, bright-throned",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγλαό-θῡμος,noble-hearted,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγλαό-κωμος,giving splendour to the feast,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγλαός,"splendid, shining, bright; splendid, beautiful; noble, glorious; beautiful; famous, noble; famous for",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγνωμ-οσύνη,"want of acquaintance with; want of sense, folly; senseless pride, arrogance; want of feeling, unkindness; iniquitas fortunae; misunderstandings",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγνώς,"unknown; clam patre; obscure, unintelligible; dark, vague; obscure, ignoble; unknown to fame; ignorant",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄγον-ος,"unborn; childless; no longer a son; unfruitful, sterile; withoutissue, bringing no children to the birth; sterile; infertile; unlucky for begetting children; odd; impedinggeneration; not productive of",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγορά,"assembly; of the People; Amphictyonic Council; conventus agere; meeting for games; place of assembly; market-place; market; the forum; the market; the market’; Forum; business of the; public speaking, gift of speaking; from speaking; supplies; provisions, supplies; market, sale; the forenoon; the time just after mid-day; marketday; nundinae",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγοράομαι,"meet in assembly, sit in debate; speak in the assembly, harangue; speak, utter; speak, talk with",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγορ-αστής,the slave who had to buy; purveyor; purchaser,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγορ-εύω,"speak in the assembly, harangue; address; ;; to address the house?; counsel; speak, say; did I not say so?; tell of, mention; speaking; tells a tale of; proclaim; to have; proclaimed; declares; to be delivered",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγορ-ῆθεν,from the assembly; market,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγορ-ήνδε,to the assembly; market,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγορ-ῆφι,in the assembly,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγός,"leader, chief",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγροικόσοφος,with rude mother-wit,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγρό-τερος,"wild; countrymen; fond of the chase, huntress; the huntress",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγχί-γᾰμος,near marriage,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγχιστ-εία,"close kinship; rights of kin, right of inheritance; exclusion by descent",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγχιστ-εύς,next of kin; heir-at-law,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγχιστ-εύω,"to be next; near; to be next of kin, heir-at-law; do a kinsmanʼs office; marry; enter upon.., Nu.; to be excluded by descent",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄγω,"lead, carry, fetch, bring; taking; take with one; carry off; to lead; forcibly away; harry, ravage; ravage; bear and carry, bring together; bring; into; to carry; to be confiscated; carry; import; draw on, bring on; bear up; carry far and wide, spread abroad; remove; lead towards; lead on; leads; tend; lead, guide; march; go; guide; manage; conduct; to be led, guided; refer, attribute; bring up, train, educate; train; reduce; draw out; to draw a line of; to draw; let; be drawn, Mete.; describe; hold, celebrate; keep, observe; reckon; keep up, sustain, maintain; to keep; maintain; pass; to be ripe; hold; hold account, treat; to believe in; draw down; weigh; carry away for oneself; take to oneself; take upon oneself; marry; bring home; for his son; utter",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγωγαῖος,fit for leading by; leash,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγωγεύς,"haulier; escort, guide; prosecutor; leading-rein, leash; guide, director",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγωγή,"carrying away; freight, carriage; voyage; movement; tendency; bringing to; in; bringing; before; forcible seizure, carrying off, abduction; aqueducts; load; weight; winding up; drawing; evoking; spell for bringing; love-charm; leading, guidance; leading; conduct; direction, training; systems of education; course; culture; treatment; way; 2 Ep.Tim.; keeping, observance; method, construction; style; method of proof; line of argument; school; manoeuvre, movement; order of march; actio; tempo; sequence",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγωγός,"leading, guiding; guide; escort; aqueduct; of leading; leading towards; drawing, attracting; drawing forth, eliciting; attractive; attractiveness",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγών,"gathering, assembly; assembly met to see games; place of contest, lists, course; lists; course; beside the mark; assembly; at the national games; contest for a prize; contest; a contest; struggle; battle, action; action at law, trial; speech; main argument; the time for; time for; the crisis; the issue; the question; mental struggle, anxiety; vehemence, power; divinity of the contest",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγών-ιος,of; belonging to the contest; its; president of games; decider of the contest; in assembly; who presided over the great games; pause from battle; strenuous rest,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγών-ισμα,"contest, conflict; deeds done in battle, brave deeds; feats; feat, achievement; a feather in; cap; prize; issue; an object to strive for; that with which one contends, declamation; plea",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγων-ισμός,rivalry,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγων-ιστήριος,place of assembly,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀγων-ιστής,"combatant; competitor; race; pleader, debater; actor; master; one who struggles for; champion",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφ-ή,sister; kinswoman,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφ-ιδέος,nephew; brotherʼs son; sisterʼs son; beloved one,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφ-ιδῆ,"a brotherʼs; sisterʼs daughter, a niece",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφ-ίζω,"adopt as a brother, call brother; to be very like",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφο-κτόνος,murdering a brother or sister,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφο-κτονέω,to be murderer of a brother; sister,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφο-κτονία,murder of a brother; sister,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφο-μιξία,marriage of brother and sister,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφο-ποιός,adopting as a brother,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφο-πρεπῶς,as befits a brother,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδελφός,"son of the same mother; brother; brother and sister; kinsman; tribesman, Ex.; colleague, associate; member of a college; fellow; brotherly; sisterly; twin, in pairs; akin, cognate",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδέσποτος,without master; owner; anonymous; ungovernable,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄδηρις,without strife,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδήρι-τος,"without strife; battle; uncontested, undisputed; not to be striven against, unconquerable",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδί-οπος,without commander,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄδοξ-ος,"without; inglorious; disreputable; obscure, ignoble; despised; unexpected; improbable",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀδούλ-ευτος,one who has never been a slave,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄδουλ-ος,"unattended by slaves; unattended by; having no slaves, too poor to keep a slave; impatient of slavery",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ἄδων-ις,"Adonis; favourite, darling; for the Adonia; any short-lived pleasure; flying-fish; Adonis-flower, Anemone fulgens",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀεί-δασμος,subject to a perpetual charge,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀει-δουλεία,perpetual slavery,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀείρω,"attach; lift, raise up; brailing them up; hoist; walk lightly, trip; make; raised; mount up; to be high; to be seized, snatched up; take up; draw; gather; pluck; take up and carry; bring; convey; carried; off; take up and bear; wear; get; under sail; get under way, set out; carried too far; raise, levy; rear; raise up, exalt; exalt, excite; grow excited; pluck up; to be raised, increased; rose; raise by words; praise, extol; to exaggerate; lift and take away, remove; take away, put an end to; clear away; deny; posit; cancelled, null and void; make away with, destroy; away with him!; lift, take up for oneself; what is oneʼs own; carry off, win; to be puffed up; raise, lift; raise; raise, stir up; begin, undertake; take to; take upon oneself, undergo; undertake anything; take away, remove; kill; destroy; to be suspended, hang; to be swollen",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀεί-σι-τος,aiways fed: perpetual guest,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀέξω,"augeo; vakṣáyati; increase, foster.; cherish; rear; to manʼs estate; bless; exalt, glorify; spread, diffuse; increase, grow; was waxing tall; rose high; rises high; prospers; was getting on to noon",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄζηλος,"unenvied, unenviable, dreary; sorry; in ill plight; not deserving of envy; not envious",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀζηλό-τῠπος,free from envy,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀζος,a servant,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄζῡμος,without process of fermentation; unleavened; the feast of unleavened cakes,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἄζυξ,"unyoked, unpaired; unmarried; isolated; single; vowels",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀθᾰνᾰτ-ος,"undying, immortal; the Immortals; goddesses; of immortal fame; everlasting, perpetual; that cannot die; on which life depended; the immortals; the king never dies; standing; maintained at a constant figure",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀθεμιτο-γαμία,unlawful marriage,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀθέρμ-αντος,not heated; cold; not heated by strife; passion.,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀθλ-ητής,"combatant, champion; race; practised in, master of",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀθρήματα,wedding-gifts,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀθροίζω,"gather together, collect, muster; gather; together; collect; having strung together; hoard; gather for oneself, collect round one; to be gathered; crowded together; having rallied; amounted collectively to; they mustered in force; form a society; having formed a party; taken in the aggregate; has gathered strength",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Αἰαντίδης,son of Ajax; one of the tribe,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Αἴγυπτος,the river Nile; King Aegyptus; Egypt; to Egypt,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἷμα,"blood; streams of blood; anything like blood; dye; alkanet; spirit, courage; pale, spiritless; bloodshed, murder; murder; corpses; death; blood relationship, kin; origin; kinship; akin; by blood",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰνᾰρέτης,terribly brave,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰνο-πᾰτηρ,unhappy father,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰνο-τόκεια,unhappy in being a mother,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰνο-τόκος,unhappy in being a parent,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰνο-τύραννος,dreadful tyrant,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰολό-φοιτος,subject to changeful madness,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἱρεσι-άρχης,leader of a school; heresiarch; dominating the ‘condition’,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἱρεσιώτης,member of a sect,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰσυμν-άω,rule over; preside over; rule; hold office of,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰσυμν-ητήρ,"ruler, prince",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰσυμν-ήτης,"judge, umpire; overseer, bailiff; ruler chosen; elective monarch; dictator",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰσχρο-κέρδεια,"sordid love of gain, base covetousness",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰσχρο-λογία,"foul language, obscenity; abuse",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀΐτας,a beloved youth; lover,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰτ-ητικός,fond of asking,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αἰωνο-πολοκράτωρ,eternal ruler of the heavens,kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀκᾰκ-ωτος,"unharmed; subject to no malignant influence, not ‘afflicted’; unsubdued",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀκήρ-υκτος,"unannounced, unproclaimed; sudden; in which no herald was admitted, truceless; without flag of truce; not proclaimed victor by heralds, inglorious; with no tidings, not heard of; unheralded",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ἀκοή,"hearing, sound heard; thing heard, tidings; story; report; thing; to listen to; by hearsay; traditions; hearsay evidence; sense of hearing; act of hearing; hearing; ear; a hearing; ears; hearing, listening to; obedience; supernatural voices are heard",kinship_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
