lemma,urn,category,method,pos_score,neg_score,margin,entry_len,gloss
ἐγχώρ-ιος,urn:cite2:hmt:lsj.chicago_md:n30653,civic_community,embed,0.575,0.388,0.187,847,"in; of the country; a true-born; local; dweller in; inhabitants; according to the custom of the country; of; for the country, rustic"
μῡρῐ-ανδρος,urn:cite2:hmt:lsj.chicago_md:n69246,civic_community,embed,0.575,0.388,0.187,197,containing; men; inhabitants
ὁμο-πολῑτεία,urn:cite2:hmt:lsj.chicago_md:n73794,civic_community,seed+embed,0.573,0.289,0.285,91,"community of citizenship, Abh. Berl.Akad."
κοινων-έω,urn:cite2:hmt:lsj.chicago_md:n58444,civic_community,seed+embed,0.57,0.436,0.133,2567,"have; do in common with, share, take part in; with; give a share of; have a share of, take part in; share; in common; partnership; go shares with, have dealings with; is concerned with; has; in common with; sympathize; united with; commit; share in an opinion, agree; communicate, join; form a community"
αὐτο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n17875,civic_community,seed+embed,0.569,0.18,0.389,86,citizen of a free state
ἀπρόσ-φῡλος,urn:cite2:hmt:lsj.chicago_md:n14526,civic_community,seed+embed,0.568,0.249,0.318,83,not belonging to the tribe
ὁμο-γάλακτες,urn:cite2:hmt:lsj.chicago_md:n73541,civic_community,embed,0.567,0.271,0.296,311,"persons suckled with the same milk, foster-brothers; sisters :; clansmen, tribesmen"
δημοτ-ικός,urn:cite2:hmt:lsj.chicago_md:n24461,civic_community,seed+embed,0.566,0.392,0.174,1702,"of; for the people, in common use; popular; common, ordinary; public affairs; of the populace, one of them; on the popular; democratic side; for the people; generous, kindly, affable; affably, kindly; popular, democratic; trying suits between citizens; in a spirit of equality; like a free and independent citizen; belonging to a deme"
φύλιος,urn:cite2:hmt:lsj.chicago_md:n112566,civic_community,seed+embed,0.566,0.321,0.245,60,of a tribe
κοινό-βῐος,urn:cite2:hmt:lsj.chicago_md:n58389,civic_community,seed+embed,0.565,0.45,0.116,251,living in community with others; life in community; monastery
κοινο-ποιός,urn:cite2:hmt:lsj.chicago_md:n58423,civic_community,seed+embed,0.561,0.486,0.075,62,creating community
κοινο-πολῑτεία,urn:cite2:hmt:lsj.chicago_md:n58424,civic_community,seed+embed,0.56,0.259,0.3,116,citizenship of a; league
πολιατ-εύω,urn:cite2:hmt:lsj.chicago_md:n84461,civic_community,seed+embed,0.557,0.233,0.324,55,to be a citizen
δήμιος,urn:cite2:hmt:lsj.chicago_md:n24386,civic_community,embed,0.556,0.495,0.061,774,belonging to the people; elected by the people; public; at the public cost; the sovereign people; public executioner; public physician
πᾶς,urn:cite2:hmt:lsj.chicago_md:n79904,civic_community,seed+embed,0.555,0.438,0.118,9867,"all; the whole; every.; all the; consisting; composed wholly of; nothing but, only; all, the whole; sovereign; whole; wide; quite; nought but; every; every single; any one; any; anything; all his; absolutely all; in all points; all of them; the community; all things; integral sum; full; of all kinds; in all; with; in the judgement of all; unanimously; all kinds of things; everything; all in all; in all points, entirely, wholly; almost throughout; in every way, by all means, altogether; completely, altogether; for all that, nevertheless; at all; the universe; ten; in every point, altogether; whatever; on the whole, in general; above all; quite so; altogether; utter; great; in great fear; finally; for ever, continually; common; for ever; none"
μονό-φῡλος,urn:cite2:hmt:lsj.chicago_md:n68708,civic_community,seed+embed,0.554,0.293,0.26,76,"of one tribe, race; kind"
πόλις,urn:cite2:hmt:lsj.chicago_md:n84494,civic_community,seed+embed,0.551,0.473,0.077,4699,"city; the citadel; the city of..; oneʼs city; country; praetor urbanus; islands; community; body of citizens; town; state; free state, republic; state affairs, government; public duties; assembly of citizens; rights of citizenship; pūr; pilìs"
Διακρεῖς,urn:cite2:hmt:lsj.chicago_md:n25041,civic_community,embed,0.55,0.336,0.214,127,inhabitants of
Σκῑρῖται,urn:cite2:hmt:lsj.chicago_md:n94927,civic_community,embed,0.55,0.336,0.214,268,the Scirites; inhabitants of
ἀστικός,urn:cite2:hmt:lsj.chicago_md:n16539,civic_community,embed,0.547,0.406,0.142,712,of a city; town; country; home; foreign; between citizens; cohortes urbanae; fond of the town; town life; polite
δωδεκά-φῡλος,urn:cite2:hmt:lsj.chicago_md:n29756,civic_community,embed,0.547,0.269,0.278,101,of twelve tribes; the twelve tribes
ἀποφύλιος,urn:cite2:hmt:lsj.chicago_md:n14259,civic_community,seed+embed,0.545,0.276,0.269,91,having no tribe; foreign
ἀγ-υιάτης,urn:cite2:hmt:lsj.chicago_md:n969,civic_community,embed,0.543,0.369,0.174,174,inhabitants of an
καταφῡλᾰδόν,urn:cite2:hmt:lsj.chicago_md:n55558,civic_community,embed,0.543,0.298,0.245,78,"in tribes, by clans"
μετά,urn:cite2:hmt:lsj.chicago_md:n66572,civic_community,seed+embed,0.541,0.467,0.075,10026,"mip; miti, mit; in the midst of, among, between; with; among; in common, along with, by aid of; in co-operation with; by aid of; on; side; with, together with; companions; and; in conjunction with; in oneʼs dealings with; by means of; during; between, among; among, in company with; in; belonging to; between; besides, over and above; to complete the number; after; into the middle of, coming into; persons; things; into; into the midst of; in pursuit; quest of; to seek; in quest of; in search of; for; to seek after; after, behind; beyond, on the far side of; after, next to; thereupon, there-after; by; next after; next to; inferior; to; after, according to; as; wish; among, between; including; among them, with them; with him; and then, next afterwards; thereafter; when past; of community; participation; in common with; in the midst of; succession; pursuit; letting go; reversely; change"
αὐτόθεν,urn:cite2:hmt:lsj.chicago_md:n17723,civic_community,embed,0.539,0.363,0.176,1568,"from the very spot; straight; from where you stand, not coming nearer; from the country; raised on the spot; on the country; the natives; in its native state; from oneself, of oneʼs own accord, spontaneously; on the spot; at once, immediately; obuiously; self; hastily; merely, only"
ἐπεισ-άγω,urn:cite2:hmt:lsj.chicago_md:n38498,civic_community,embed,0.539,0.216,0.323,1008,bring in besides; over; newly made citizens; introduce besides; bring in; new; strange; introduce; bring on besides; bring next upon the stage; draw in
τρι-φῡλία,urn:cite2:hmt:lsj.chicago_md:n105376,civic_community,embed,0.535,0.259,0.277,93,committee representing three tribes
λεωσφέτερος,urn:cite2:hmt:lsj.chicago_md:n62822,civic_community,seed+embed,0.534,0.194,0.34,137,"one of their own people, their fellow-citizen."
φῡλέτ-ης,urn:cite2:hmt:lsj.chicago_md:n112561,civic_community,seed+embed,0.533,0.282,0.251,272,"one of the same tribe, fellow-tribesman; of oneʼs tribe"
σύγγονος,urn:cite2:hmt:lsj.chicago_md:n97540,civic_community,embed,0.532,0.375,0.158,602,"congenital, inborn, natural; connected by blood, akin; proper to his race; brother, sister; kinsfolk; native, of oneʼs country"
προσοικ-έω,urn:cite2:hmt:lsj.chicago_md:n89804,civic_community,embed,0.531,0.374,0.157,513,dwell by; near; neighbouring tribes; lie by; has his house abutting on; dwell in; to be inhabited
τρί-φῡλος,urn:cite2:hmt:lsj.chicago_md:n105382,civic_community,embed,0.531,0.28,0.251,134,of three tribes; into three tribes
τῠραννο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n105973,civic_community,seed+embed,0.528,0.244,0.284,120,citizen under a tyranny; -tarum; -tanorum
ἀλλό-φῡλος,urn:cite2:hmt:lsj.chicago_md:n4536,civic_community,seed+embed,0.524,0.278,0.246,483,"of another tribe, foreign; settled in another nome; alien to man, wild; with foreigners; alien, not oneʼs own"
ἐμπολῑτεύω,urn:cite2:hmt:lsj.chicago_md:n34476,civic_community,seed+embed,0.524,0.333,0.19,511,"to be a citizen, hold civil rights; to talk politics with; introduce into a state, naturalize"
ἑτερο-εθνής,urn:cite2:hmt:lsj.chicago_md:n43140,civic_community,seed+embed,0.524,0.278,0.246,77,"of another tribe, foreign"
τετρά-φῡλος,urn:cite2:hmt:lsj.chicago_md:n103576,civic_community,embed,0.524,0.267,0.257,75,divided into four tribes
δεκά-φῡλος,urn:cite2:hmt:lsj.chicago_md:n23920,civic_community,embed,0.522,0.3,0.221,63,consisting of ten tribes
συντέλεια,urn:cite2:hmt:lsj.chicago_md:n100980,civic_community,embed,0.522,0.448,0.074,2158,"joint contribution for the public burdens; defrayed by subscription; instruction; collatio, (compulsory) provision; Dritter Bericht; a body of citizens who contributed jointly; company; union of communities; the consummation; completion, end; an end of; full realization; unjust gain; completed action; reality"
ἔμπολ-ις,urn:cite2:hmt:lsj.chicago_md:n34474,civic_community,seed+embed,0.521,0.361,0.16,166,belonging to the city; state; fellow-citizen
συμπολῑτ-εύω,urn:cite2:hmt:lsj.chicago_md:n98765,civic_community,embed,0.521,0.363,0.158,824,live as fellow-citizens; members of one state; with; oneʼs fellow-citizens; hold public office jointly with
δῆμος,urn:cite2:hmt:lsj.chicago_md:n24436,civic_community,seed+embed,0.518,0.508,0.01,2980,"district, country, land; the land; people, inhabitants; the commons, common people; a commoner; plebs; unus de plebe; rank and file; the sovereign people, the free citizens; popular government, democracy; democracies; the popular assembly; assembly; township, commune; faction; dā´ti"
κεφᾰλ-ικός,urn:cite2:hmt:lsj.chicago_md:n56998,civic_community,embed,0.518,0.366,0.152,863,"of; for the head; Demotic Magical Papyrus; after the manner of a head; touching the head; life; capital; capitally; belonging to an individual; sharp, strong"
κοσμο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n59337,civic_community,seed+embed,0.518,0.279,0.239,129,citizen of the world
ἐνοικ-έω,urn:cite2:hmt:lsj.chicago_md:n35910,civic_community,embed,0.517,0.359,0.158,756,"dwell in; to dwell in; to be present at; dwell upon, ‘be at home in’; inhabit; the inhabitants"
μικρο-πολῑτεία,urn:cite2:hmt:lsj.chicago_md:n67747,civic_community,seed+embed,0.516,0.136,0.379,74,citizenship in a petty state
δημο-ποίητος,urn:cite2:hmt:lsj.chicago_md:n24432,civic_community,seed+embed,0.515,0.223,0.293,116,made a citizen
πολῑτ-εία,urn:cite2:hmt:lsj.chicago_md:n84505,civic_community,seed+embed,0.515,0.473,0.042,2052,"condition and rights of a citizen, citizenship; grants of citizenship; the daily life of a citizen; life, living; body of citizens; civitas; government, administration; course of policy; acts of policy; tenure of public office; civil polity, constitution of a state; form of government; republican government, free common-wealth"
παν-δήμιος,urn:cite2:hmt:lsj.chicago_md:n77309,civic_community,embed,0.514,0.495,0.019,172,of; belonging to all the people; public; of all kinds of fish
κᾰθᾰρ-ός,urn:cite2:hmt:lsj.chicago_md:n51701,civic_community,embed,0.513,0.417,0.096,6360,"physically clean, spotless; cleanly; clear of admixture, clear, pure; white; a; winnowed; unmixed; serene; clear of objects, free; open; a clearing; clear; the clear sunshine; clear and open; cleared away; in open ground; free; free from mistakes; free, clear; discharge; free from pollution; honourable; free from guilt; defilement, pure; purity; purified; clear of; from..; ceremonially pure; purifying, cleansing; pure, genuine; citizens of pure blood; real, genuine; pure and simple; pure; clear, simple; preceded by a vowel, pure; containing a ‘pure’ syllable; without blemish, sound; sound portion; clear, exact; exactly balanced; purely; with clean hands, honestly; clearly, plainly; purely, correctly; entirely; in its purest form"
Κίκυννα,urn:cite2:hmt:lsj.chicago_md:n57384,civic_community,embed,0.513,0.434,0.079,243,Cicynna; an inhabitant thereof; from Cicynna; at Cicynna
Σῐνώπη,urn:cite2:hmt:lsj.chicago_md:n94255,civic_community,embed,0.513,0.434,0.079,596,Sinope; an inhabitant thereof; the country; a compound medicine; a red earth
ἐπιχθόνιος,urn:cite2:hmt:lsj.chicago_md:n41637,civic_community,embed,0.512,0.373,0.139,485,"upon the earth, earthly; earthly ones, men on earth; who haunt the earth; natives; terrestrial"
ναύκραρ-ος,urn:cite2:hmt:lsj.chicago_md:n69814,civic_community,embed,0.512,0.243,0.268,447,the chief official of a division; of the citizens
φῡλετ-ικός,urn:cite2:hmt:lsj.chicago_md:n112562,civic_community,embed,0.512,0.386,0.126,372,of; for a; like tribesmen; tributus; comitia tributa; belonging to a
ἄφῡλος,urn:cite2:hmt:lsj.chicago_md:n18578,civic_community,seed+embed,0.511,0.277,0.234,77,without a tribe
κληρ-ωτήριον,urn:cite2:hmt:lsj.chicago_md:n57892,civic_community,embed,0.511,0.295,0.216,414,place where elections by lot; distributions of jurors were held; list of citizens
τρᾱχ-ών,urn:cite2:hmt:lsj.chicago_md:n104652,civic_community,embed,0.51,0.382,0.129,306,"a rugged, stony tract; its inhabitants"
ἰσοπολῑτ-εία,urn:cite2:hmt:lsj.chicago_md:n51127,civic_community,embed,0.507,0.339,0.168,435,equality of civic rights; reciprocity of such rights
Κᾰλαύρεια,urn:cite2:hmt:lsj.chicago_md:n52558,civic_community,seed+embed,0.505,0.218,0.286,314,Calauria; citizen of C.
μέθεξις,urn:cite2:hmt:lsj.chicago_md:n65604,civic_community,embed,0.504,0.347,0.157,501,participation; in; being contained; comprehended
μετάσχεσις,urn:cite2:hmt:lsj.chicago_md:n66974,civic_community,embed,0.504,0.252,0.252,116,participation; in
μετουσί-α,urn:cite2:hmt:lsj.chicago_md:n67214,civic_community,embed,0.504,0.489,0.015,681,"participation, partnership, communion; enjoyment, means of using; participation"
μετοχ-ή,urn:cite2:hmt:lsj.chicago_md:n67220,civic_community,embed,0.504,0.441,0.063,994,"sharing, participation; shares; participation; joint possession; occupation; partaking; partnership; participle; compactness"
μιξ-αρχᾱγέτας,urn:cite2:hmt:lsj.chicago_md:n67914,civic_community,seed+embed,0.503,0.318,0.185,137,a tribe-hero; only in union with
ἄτῑμ-ος,urn:cite2:hmt:lsj.chicago_md:n17088,civic_community,embed,0.502,0.546,-0.044,1936,"unhonoured, dishonoured; dishonourable; by; without the honour of.., not deemed worthy of; unworthy; deprived of civic rights; deprived of; debarred from all rights in; deprived of the right of; not honourable; in dishonour; less honourable; without price; value; without payment; of little price, cheap; unavenged; unpunished; dishonourably, ignominiously"
κατά-κλησις,urn:cite2:hmt:lsj.chicago_md:n54173,civic_community,embed,0.502,0.293,0.209,379,"summoning by name; summoning of the whole body of citizens, incl. rural population; invocation; recalling"
ἐντόπ-ιος,urn:cite2:hmt:lsj.chicago_md:n36279,civic_community,embed,0.501,0.338,0.163,363,local; civil; local residents
ὁμο-κωμήτης,urn:cite2:hmt:lsj.chicago_md:n73735,civic_community,seed+embed,0.501,0.317,0.184,117,member of the same village-community
φῡλ-άζω,urn:cite2:hmt:lsj.chicago_md:n112526,civic_community,embed,0.5,0.272,0.228,77,form into tribes
πολῑτ-ης,urn:cite2:hmt:lsj.chicago_md:n84511,civic_community,seed+embed,0.499,0.391,0.108,692,"citizen, freeman; fellow-citizen; belonging to, connected with oneʼs city; country"
ἀστίτης,urn:cite2:hmt:lsj.chicago_md:n16546,civic_community,seed+embed,0.498,0.153,0.345,105,"townsman, citizen"
ἀστός,urn:cite2:hmt:lsj.chicago_md:n16565,civic_community,seed+embed,0.498,0.425,0.073,731,"townsman, citizen; one who has civil rights; one who has political rights; the commons; citizen of Alexandria"
ἡμερ-όω,urn:cite2:hmt:lsj.chicago_md:n47022,civic_community,embed,0.497,0.389,0.108,1025,"tame, make tame; to be pacified; reclaim, cultivate; Aër.; clear; to cultivate; civilize, humanize; tame by conquest, subdue; crest-fallen"
ἐνοικ-ήτωρ,urn:cite2:hmt:lsj.chicago_md:n35914,civic_community,embed,0.496,0.352,0.145,66,inhabitant
ἔνοικος,urn:cite2:hmt:lsj.chicago_md:n35927,civic_community,embed,0.496,0.352,0.145,385,inhabitant; inhabitant of; dweller in; dwelt in
κατάλογ-ος,urn:cite2:hmt:lsj.chicago_md:n54426,civic_community,embed,0.496,0.303,0.194,1067,"enrolment, register, catalogue; the catalogue; register of citizens; the list for service; superannuated; the lists for service; authority to conscript; list of the"
κτίτης,urn:cite2:hmt:lsj.chicago_md:n60394,civic_community,embed,0.496,0.352,0.145,130,inhabitant
νᾰέτης,urn:cite2:hmt:lsj.chicago_md:n69645,civic_community,embed,0.496,0.352,0.145,171,inhabitant
ναστήρ,urn:cite2:hmt:lsj.chicago_md:n69772,civic_community,embed,0.496,0.352,0.145,55,inhabitant
οἰκ-ήτωρ,urn:cite2:hmt:lsj.chicago_md:n72286,civic_community,embed,0.496,0.352,0.145,283,inhabitant; colonist
χρήσῐμ-ος,urn:cite2:hmt:lsj.chicago_md:n114651,civic_community,seed+embed,0.495,0.449,0.045,1581,"useful, serviceable; excellence; useful; serviceable, useful; a good and useful citizen; able; used, made use of; muchfrequented; available; authentic; that will; pass; serviceable; with advantage"
ἀρχί-φῡλος,urn:cite2:hmt:lsj.chicago_md:n16031,civic_community,seed+embed,0.494,0.242,0.253,63,chief of a tribe
ὁμο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n73795,civic_community,seed+embed,0.494,0.189,0.304,72,fellow-citizen
συμπολῑτ-ης,urn:cite2:hmt:lsj.chicago_md:n98766,civic_community,seed+embed,0.494,0.189,0.304,177,fellow-citizen
σύνδῐκ-ος,urn:cite2:hmt:lsj.chicago_md:n99770,civic_community,embed,0.493,0.401,0.092,1323,"one who helps in a court of justice, advocate; on oneʼs side; judges appointed to determine disputes respecting confiscated property; public advocate, appointed to represent the state; advocates chosen by the tribes to defend their interests; public advocates; accomplice; belonging jointly to; joint; with joint sentence, jointly"
βρᾰχύ-πτολις,urn:cite2:hmt:lsj.chicago_md:n20880,civic_community,embed,0.492,0.369,0.123,130,little city; belonging to a small city
γεω-νόμος,urn:cite2:hmt:lsj.chicago_md:n22072,civic_community,embed,0.491,0.339,0.152,192,"one who distributes land; receiving a portion of distributed lands, colonist"
συμπολῑτ-εία,urn:cite2:hmt:lsj.chicago_md:n98763,civic_community,embed,0.491,0.365,0.126,231,"federal union; with interchange of civic rights, confederacy; sharing of political life"
νομ-άς,urn:cite2:hmt:lsj.chicago_md:n70949,civic_community,embed,0.49,0.4,0.09,1108,"roaming about for pasture; pastoral tribes; Numidian; guinea-fowl; a; roaming, grazing; of the pastures; wild; exposed, turned adrift; distributing; pastoral; game"
πρᾰσι-ά,urn:cite2:hmt:lsj.chicago_md:n86193,civic_community,embed,0.488,0.329,0.158,361,"bed in a garden, garden-plot; in companies; groups; bed of leeks."
γαιο-νόμος,urn:cite2:hmt:lsj.chicago_md:n21416,civic_community,embed,0.487,0.38,0.107,82,dwelling in the land: inhabitant
ἐνδάπιος,urn:cite2:hmt:lsj.chicago_md:n35098,civic_community,embed,0.487,0.258,0.229,239,native of the country
αὐτό-χθων,urn:cite2:hmt:lsj.chicago_md:n18028,civic_community,embed,0.482,0.344,0.138,517,"sprung from the land itself;; not settlers, of native stock; indigenous, native; urbanitas, racy of the soil"
μετουσι-αστικός,urn:cite2:hmt:lsj.chicago_md:n67215,civic_community,embed,0.482,0.277,0.205,161,denoting participation; derivative adjective
ἀριστο-πολῑτευτής,urn:cite2:hmt:lsj.chicago_md:n15129,civic_community,seed+embed,0.481,0.252,0.23,341,best of citizens; best citizen; privileges of an
ὅμοιος,urn:cite2:hmt:lsj.chicago_md:n73672,civic_community,embed,0.481,0.403,0.079,6121,"like, resembling; similar; more like; most like; the same; always the same, unchanging; the same as ever; equal in force, a match for one; suiting, according with; all the same, all one; ‘tit for tat’; a like return; in like esteem; in like fashion, likewise; ceteris paribus; on equal terms, in fair fight; of the same rank; station; peers, all citizens who had equal right to hold state-offices; equal; square; Ztschr.f.vergl.; in common; like; approximately; in like manner with; even; alike; in like manner; alike, equally; to be uniform; like any other food; all alike"
πολῑτο-γρᾰφέω,urn:cite2:hmt:lsj.chicago_md:n84516,civic_community,seed+embed,0.481,0.151,0.33,352,enrol as a citizen; act as registrar; to be admitted to citizenship
γνήσι-ος,urn:cite2:hmt:lsj.chicago_md:n22483,civic_community,embed,0.48,0.327,0.153,1229,"belonging to the race; lawfully begotten, born in wedlock; genuine, legitimate; lawful; true; real, unfeigned; inspired; genuine; genuinely, truly; nobly; lawfully; charges on land"
συμπολῑτ-ευσις,urn:cite2:hmt:lsj.chicago_md:n98764,civic_community,seed,0.48,0.243,0.237,88,fellow-citizenship
ἀντί-δοσις,urn:cite2:hmt:lsj.chicago_md:n9915,civic_community,seed,0.479,0.331,0.148,786,"giving in return, exchange; repayment, requital; in return for..; a form by which a citizen charged with a; might call upon any other citizen; either to exchange properties, or to submit to the charge himself"
πολῑτο-γρᾰφία,urn:cite2:hmt:lsj.chicago_md:n84517,civic_community,seed,0.479,0.154,0.325,125,enrolment as a citizen
Λίνδος,urn:cite2:hmt:lsj.chicago_md:n63370,civic_community,seed,0.476,0.185,0.291,356,Lindos; from Lindos; Lindian; citizen of Lindos
ὁμοφων-ία,urn:cite2:hmt:lsj.chicago_md:n73907,civic_community,seed,0.476,0.388,0.089,276,"unison; community of language; agreement, concord"
πλῆθος,urn:cite2:hmt:lsj.chicago_md:n83774,civic_community,seed,0.464,0.572,-0.108,3809,"great number, multitude; mass; greater number; mass, main body; largest part; the majority; a majority; people, population; the commons; assembly; plebs; association, corporation; guild; populace, mob; masses; quantity; number; in force; magnitude, size; extent; amount; multa sudans; quantities; more than enough; plurality; length; in great numbers; large number; usually, mostly"
ἀποπολῑτεύω,urn:cite2:hmt:lsj.chicago_md:n13479,civic_community,seed,0.463,0.279,0.185,114,dissolve political community
Αἰαντίδης,urn:cite2:hmt:lsj.chicago_md:n2110,civic_community,seed,0.462,0.277,0.185,112,son of Ajax; one of the tribe
ἄπολις,urn:cite2:hmt:lsj.chicago_md:n13083,civic_community,seed,0.455,0.334,0.121,670,"without city, state; country; outlaw, banished man; no true citizen; without cities; that is no city; that has no constitution, no true"
ἀκοιν-ωνησία,urn:cite2:hmt:lsj.chicago_md:n3270,civic_community,seed,0.449,0.507,-0.057,200,"non-existence of community; unsociableness; lack of community, incompatibility"
πολισσονόμος,urn:cite2:hmt:lsj.chicago_md:n84498,civic_community,seed,0.445,0.491,-0.046,164,managing; ruling a city; of social order
Μεγᾰρ-εύς,urn:cite2:hmt:lsj.chicago_md:n65542,civic_community,seed,0.444,0.232,0.212,214,citizen of Megara
ἀπό-σπασμα,urn:cite2:hmt:lsj.chicago_md:n13772,civic_community,seed,0.442,0.454,-0.013,409,"that which is torn off, a piece, rag, shred; branch, division of a tribe; a detached portion; particle; avulsion, tearing apart"
διαδρᾱσῐπολῖται,urn:cite2:hmt:lsj.chicago_md:n24731,civic_community,seed,0.437,0.172,0.266,108,citizen who shirks all state burdens
κοιρᾰν-ίδης,urn:cite2:hmt:lsj.chicago_md:n58466,civic_community,seed,0.437,0.222,0.214,113,member of a ruling house
σελαχ-ώδης,urn:cite2:hmt:lsj.chicago_md:n93625,civic_community,seed,0.434,0.263,0.171,114,of; like the tribe of
κοινόβουλ-ος,urn:cite2:hmt:lsj.chicago_md:n58396,civic_community,seed,0.427,0.148,0.279,144,member of local senate
μῑσο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n68080,civic_community,seed,0.424,0.246,0.178,70,citizen-hater
νεο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n70345,civic_community,seed,0.424,0.132,0.292,205,newly enfranchised citizen
