lemma,urn,category,method,pos_score,neg_score,margin,entry_len,gloss
πολῑτεύω,urn:cite2:hmt:lsj.chicago_md:n84509,civic_community,seed,0.557,0.424,0.133,3417,"to be a citizen; freeman, live in a free state; have a certain form of government, administer the state; to be governed; the measures of; administration; to be customary; customary; to be made a citizen; live as a free citizen; take part in the government; meddle with politics; hold public office, show public spirit; administer, govern; make; the principle of government; conduct the government; ministers; have a certain form of government; serve as curialis; execute according to custom; deal with; behave; arrange, bring about"
πᾶς,urn:cite2:hmt:lsj.chicago_md:n79904,civic_community,seed,0.555,0.438,0.118,9867,"all; the whole; every.; all the; consisting; composed wholly of; nothing but, only; all, the whole; sovereign; whole; wide; quite; nought but; every; every single; any one; any; anything; all his; absolutely all; in all points; all of them; the community; all things; integral sum; full; of all kinds; in all; with; in the judgement of all; unanimously; all kinds of things; everything; all in all; in all points, entirely, wholly; almost throughout; in every way, by all means, altogether; completely, altogether; for all that, nevertheless; at all; the universe; ten; in every point, altogether; whatever; on the whole, in general; above all; quite so; altogether; utter; great; in great fear; finally; for ever, continually; common; for ever; none"
μονό-φῡλος,urn:cite2:hmt:lsj.chicago_md:n68708,civic_community,seed,0.554,0.293,0.26,76,"of one tribe, race; kind"
πόλις,urn:cite2:hmt:lsj.chicago_md:n84494,civic_community,seed,0.551,0.473,0.077,4699,"city; the citadel; the city of..; oneʼs city; country; praetor urbanus; islands; community; body of citizens; town; state; free state, republic; state affairs, government; public duties; assembly of citizens; rights of citizenship; pūr; pilìs"
σύστημ-α,urn:cite2:hmt:lsj.chicago_md:n101468,civic_community,seed,0.548,0.564,-0.016,2235,"whole compounded of several parts; members, system; composite whole; composition; organized government, constitution; confederacy; band; community; a company; guild; a committee; body of soldiers, corps; crew; flock, herd; college; system; scale; strain; metrical system; accumulation of sediment; the pulse-beats taken collectively; machine, apparatus"
ἀποφύλιος,urn:cite2:hmt:lsj.chicago_md:n14259,civic_community,seed,0.545,0.276,0.269,91,having no tribe; foreign
μετά,urn:cite2:hmt:lsj.chicago_md:n66572,civic_community,seed,0.541,0.467,0.075,10026,"mip; miti, mit; in the midst of, among, between; with; among; in common, along with, by aid of; in co-operation with; by aid of; on; side; with, together with; companions; and; in conjunction with; in oneʼs dealings with; by means of; during; between, among; among, in company with; in; belonging to; between; besides, over and above; to complete the number; after; into the middle of, coming into; persons; things; into; into the midst of; in pursuit; quest of; to seek; in quest of; in search of; for; to seek after; after, behind; beyond, on the far side of; after, next to; thereupon, there-after; by; next after; next to; inferior; to; after, according to; as; wish; among, between; including; among them, with them; with him; and then, next afterwards; thereafter; when past; of community; participation; in common with; in the midst of; succession; pursuit; letting go; reversely; change"
λεωσφέτερος,urn:cite2:hmt:lsj.chicago_md:n62822,civic_community,seed,0.534,0.194,0.34,137,"one of their own people, their fellow-citizen."
φῡλέτ-ης,urn:cite2:hmt:lsj.chicago_md:n112561,civic_community,seed,0.533,0.282,0.251,272,"one of the same tribe, fellow-tribesman; of oneʼs tribe"
τῠραννο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n105973,civic_community,seed,0.528,0.244,0.284,120,citizen under a tyranny; -tarum; -tanorum
ἀλλό-φῡλος,urn:cite2:hmt:lsj.chicago_md:n4536,civic_community,seed,0.524,0.278,0.246,483,"of another tribe, foreign; settled in another nome; alien to man, wild; with foreigners; alien, not oneʼs own"
ἐμπολῑτεύω,urn:cite2:hmt:lsj.chicago_md:n34476,civic_community,seed,0.524,0.333,0.19,511,"to be a citizen, hold civil rights; to talk politics with; introduce into a state, naturalize"
ἑτερο-εθνής,urn:cite2:hmt:lsj.chicago_md:n43140,civic_community,seed,0.524,0.278,0.246,77,"of another tribe, foreign"
ἔμπολ-ις,urn:cite2:hmt:lsj.chicago_md:n34474,civic_community,seed,0.521,0.361,0.16,166,belonging to the city; state; fellow-citizen
δῆμος,urn:cite2:hmt:lsj.chicago_md:n24436,civic_community,seed,0.518,0.508,0.01,2980,"district, country, land; the land; people, inhabitants; the commons, common people; a commoner; plebs; unus de plebe; rank and file; the sovereign people, the free citizens; popular government, democracy; democracies; the popular assembly; assembly; township, commune; faction; dā´ti"
κοσμο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n59337,civic_community,seed,0.518,0.279,0.239,129,citizen of the world
μικρο-πολῑτεία,urn:cite2:hmt:lsj.chicago_md:n67747,civic_community,seed,0.516,0.136,0.379,74,citizenship in a petty state
δημο-ποίητος,urn:cite2:hmt:lsj.chicago_md:n24432,civic_community,seed,0.515,0.223,0.293,116,made a citizen
πολῑτ-εία,urn:cite2:hmt:lsj.chicago_md:n84505,civic_community,seed,0.515,0.473,0.042,2052,"condition and rights of a citizen, citizenship; grants of citizenship; the daily life of a citizen; life, living; body of citizens; civitas; government, administration; course of policy; acts of policy; tenure of public office; civil polity, constitution of a state; form of government; republican government, free common-wealth"
ἄφῡλος,urn:cite2:hmt:lsj.chicago_md:n18578,civic_community,seed,0.511,0.277,0.234,77,without a tribe
Κᾰλαύρεια,urn:cite2:hmt:lsj.chicago_md:n52558,civic_community,seed,0.505,0.218,0.286,314,Calauria; citizen of C.
μιξ-αρχᾱγέτας,urn:cite2:hmt:lsj.chicago_md:n67914,civic_community,seed,0.503,0.318,0.185,137,a tribe-hero; only in union with
ὁμο-κωμήτης,urn:cite2:hmt:lsj.chicago_md:n73735,civic_community,seed,0.501,0.317,0.184,117,member of the same village-community
πολῑτ-ης,urn:cite2:hmt:lsj.chicago_md:n84511,civic_community,seed,0.499,0.391,0.108,692,"citizen, freeman; fellow-citizen; belonging to, connected with oneʼs city; country"
ἀστίτης,urn:cite2:hmt:lsj.chicago_md:n16546,civic_community,seed,0.498,0.153,0.345,105,"townsman, citizen"
ἀστός,urn:cite2:hmt:lsj.chicago_md:n16565,civic_community,seed,0.498,0.425,0.073,731,"townsman, citizen; one who has civil rights; one who has political rights; the commons; citizen of Alexandria"
ἐνδοιΐτιναι,urn:cite2:hmt:lsj.chicago_md:n35255,civic_community,seed,0.498,0.188,0.31,157,those who can trace citizen-ancestry through seven generations
χρήσῐμ-ος,urn:cite2:hmt:lsj.chicago_md:n114651,civic_community,seed,0.495,0.449,0.045,1581,"useful, serviceable; excellence; useful; serviceable, useful; a good and useful citizen; able; used, made use of; muchfrequented; available; authentic; that will; pass; serviceable; with advantage"
ἀρχί-φῡλος,urn:cite2:hmt:lsj.chicago_md:n16031,civic_community,seed,0.494,0.242,0.253,63,chief of a tribe
ὁμο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n73795,civic_community,seed,0.494,0.189,0.304,72,fellow-citizen
συμπολῑτ-ης,urn:cite2:hmt:lsj.chicago_md:n98766,civic_community,seed,0.494,0.189,0.304,177,fellow-citizen
φῡλετ-εύω,urn:cite2:hmt:lsj.chicago_md:n112560,civic_community,seed,0.492,0.219,0.273,85,adopt into a tribe
ἀριστο-πολῑτευτής,urn:cite2:hmt:lsj.chicago_md:n15129,civic_community,seed,0.481,0.252,0.23,341,best of citizens; best citizen; privileges of an
πολῑτο-γρᾰφέω,urn:cite2:hmt:lsj.chicago_md:n84516,civic_community,seed,0.481,0.151,0.33,352,enrol as a citizen; act as registrar; to be admitted to citizenship
συμπολῑτ-ευσις,urn:cite2:hmt:lsj.chicago_md:n98764,civic_community,seed,0.48,0.243,0.237,88,fellow-citizenship
ἀντί-δοσις,urn:cite2:hmt:lsj.chicago_md:n9915,civic_community,seed,0.479,0.331,0.148,786,"giving in return, exchange; repayment, requital; in return for..; a form by which a citizen charged with a; might call upon any other citizen; either to exchange properties, or to submit to the charge himself"
πολῑτο-γρᾰφία,urn:cite2:hmt:lsj.chicago_md:n84517,civic_community,seed,0.479,0.154,0.325,125,enrolment as a citizen
Λίνδος,urn:cite2:hmt:lsj.chicago_md:n63370,civic_community,seed,0.476,0.185,0.291,356,Lindos; from Lindos; Lindian; citizen of Lindos
ὁμοφων-ία,urn:cite2:hmt:lsj.chicago_md:n73907,civic_community,seed,0.476,0.388,0.089,276,"unison; community of language; agreement, concord"
πλῆθος,urn:cite2:hmt:lsj.chicago_md:n83774,civic_community,seed,0.464,0.572,-0.108,3809,"great number, multitude; mass; greater number; mass, main body; largest part; the majority; a majority; people, population; the commons; assembly; plebs; association, corporation; guild; populace, mob; masses; quantity; number; in force; magnitude, size; extent; amount; multa sudans; quantities; more than enough; plurality; length; in great numbers; large number; usually, mostly"
ἀποπολῑτεύω,urn:cite2:hmt:lsj.chicago_md:n13479,civic_community,seed,0.463,0.279,0.185,114,dissolve political community
Αἰαντίδης,urn:cite2:hmt:lsj.chicago_md:n2110,civic_community,seed,0.462,0.277,0.185,112,son of Ajax; one of the tribe
ἄπολις,urn:cite2:hmt:lsj.chicago_md:n13083,civic_community,seed,0.455,0.334,0.121,670,"without city, state; country; outlaw, banished man; no true citizen; without cities; that is no city; that has no constitution, no true"
ἀκοιν-ωνησία,urn:cite2:hmt:lsj.chicago_md:n3270,civic_community,seed,0.449,0.507,-0.057,200,"non-existence of community; unsociableness; lack of community, incompatibility"
πολισσονόμος,urn:cite2:hmt:lsj.chicago_md:n84498,civic_community,seed,0.445,0.491,-0.046,164,managing; ruling a city; of social order
Μεγᾰρ-εύς,urn:cite2:hmt:lsj.chicago_md:n65542,civic_community,seed,0.444,0.232,0.212,214,citizen of Megara
ἀπό-σπασμα,urn:cite2:hmt:lsj.chicago_md:n13772,civic_community,seed,0.442,0.454,-0.013,409,"that which is torn off, a piece, rag, shred; branch, division of a tribe; a detached portion; particle; avulsion, tearing apart"
κληροῦχ-ος,urn:cite2:hmt:lsj.chicago_md:n57889,civic_community,seed,0.439,0.313,0.126,812,"one who held an allotment of land; an allotment in a foreign country assigned him as a citizen; holder of land by military tenure; having; for her lot; one who distributed allotments; holder of an inheritance; land-owner, landlord; distributed in allotments"
διαδρᾱσῐπολῖται,urn:cite2:hmt:lsj.chicago_md:n24731,civic_community,seed,0.437,0.172,0.266,108,citizen who shirks all state burdens
κοιρᾰν-ίδης,urn:cite2:hmt:lsj.chicago_md:n58466,civic_community,seed,0.437,0.222,0.214,113,member of a ruling house
σελαχ-ώδης,urn:cite2:hmt:lsj.chicago_md:n93625,civic_community,seed,0.434,0.263,0.171,114,of; like the tribe of
κοινόβουλ-ος,urn:cite2:hmt:lsj.chicago_md:n58396,civic_community,seed,0.427,0.148,0.279,144,member of local senate
σύνοδος,urn:cite2:hmt:lsj.chicago_md:n100766,civic_community,seed,0.427,0.396,0.032,3190,"assembly, meeting; meeting; political clubs; conspiracies; meetings; gatherings; synods; national gathering; society for festal purposes; company, guild; club; sexual intercourse; coming together, constriction; straits; coming together; constriction; contraction; union; concourse, assemblage; combination; conjunction; construction; incoming; revenues; sunhod-; synhod-"
μῑσο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n68080,civic_community,seed,0.424,0.246,0.178,70,citizen-hater
νεο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n70345,civic_community,seed,0.424,0.132,0.292,205,newly enfranchised citizen
ἀριστο-γᾰλᾰτίας,urn:cite2:hmt:lsj.chicago_md:n15107,civic_community,seed,0.423,0.242,0.182,104,"chief citizen of the province of Galatia, Class.Rev."
ἰσοπολῑτ-ης,urn:cite2:hmt:lsj.chicago_md:n51128,civic_community,seed,0.421,0.424,-0.004,456,enjoying equal political rights; enjoying reciprocity of rights; municipia; enjoying such rights; equitable citizen
τρῐᾱκάς,urn:cite2:hmt:lsj.chicago_md:n104732,civic_community,seed,0.418,0.233,0.185,1019,"the number thirty; the thirtieth day of the month.; a month; a religious association of thirty persons, fraction of the deme; a company of thirty"
κύκλος,urn:cite2:hmt:lsj.chicago_md:n60646,civic_community,seed,0.416,0.417,-0.002,5930,"ring, circle; circle; circles; in a circle; ring, round about; round; around; from all sides; all over; circumstances; any circular body; wheel; janker; trencher; place of assembly; amphitheatre; crowd of people standing round, ring; circle of people; place in the; where domestic utensils were sold; vault; parallels; the zones; orb, disk; the heavenly bodies; wall round; circular fort; round shield; eye-balls, eyes; eye; cheeks; wreath; cycle; collection of legends; poems; the Epic cycle; circular motion, orbit; revolution; years; cycles; train; circular dance; a rounded period; anapaest; sphere, globe"
συνθῐᾰσ-ῑτεύω,urn:cite2:hmt:lsj.chicago_md:n100613,civic_community,seed,0.411,0.29,0.121,94,to be a fellow-member of a
συντελεσ-τής,urn:cite2:hmt:lsj.chicago_md:n100986,civic_community,seed,0.408,0.337,0.071,191,member of a land-owners’ union which is responsible for the collection and payment of its taxes
ἰσόνομ-ος,urn:cite2:hmt:lsj.chicago_md:n51102,civic_community,seed,0.405,0.353,0.052,493,where all have equal rights; enjoying full citizen rights; at par
οὐρᾰνο-πολίτης,urn:cite2:hmt:lsj.chicago_md:n75952,civic_community,seed,0.401,0.317,0.084,152,citizen of heaven
ἑταῖρ-ος,urn:cite2:hmt:lsj.chicago_md:n43089,erotic_pederasty,seed+embed,0.75,0.387,0.363,2574,"comrade, companion; comrades-in-arms; messmate; fellowslave; partner; mates; pupil, disciple; fellow-pupils; partisans; club-mates; members of a religious guild; lovers; guards; cavalry; retinue; Comites; associate of; closest companions; constant to; gregarious; companion; courtesan; prostitute"
Κορίνθιος,urn:cite2:hmt:lsj.chicago_md:n59117,erotic_pederasty,seed+embed,0.75,0.291,0.46,365,Corinthian; courtesan; in Corinthian fashion
ἐράω,urn:cite2:hmt:lsj.chicago_md:n42155,erotic_pederasty,seed+embed,0.736,0.568,0.167,1652,love; to be in love with; a lover; the beloved one; delicias ejus; love warmly; desire passionately; desire
φίλος,urn:cite2:hmt:lsj.chicago_md:n111463,erotic_pederasty,seed+embed,0.736,0.528,0.207,6028,"beloved, dear; dear; friend; friends, kith and kin; a friend; friends; allies; a lover; my friend; dear one, friend; wife; mother; mistress; an object of love; what; loves; darling; oneʼs nearest and dearest, dear ones; pleasant, welcome; pleasure; pleases; after; heart; please; oneʼs own; a.; his own; their wonted; loving, friendly; friendly; kindly, pleasing; kindly; fond of; attached to; fain; in a manner dear; pleasing; in a friendly, kindly spirit"
βασσάρ-α,urn:cite2:hmt:lsj.chicago_md:n19580,erotic_pederasty,seed+embed,0.715,0.262,0.454,316,"fox; dress of Thracian bacchanals; Thracian bacchanal; impudent woman, courtesan"
ἑταιρ-ίζω,urn:cite2:hmt:lsj.chicago_md:n43082,erotic_pederasty,seed+embed,0.706,0.422,0.285,556,"to be; comrade; associate with oneself, choose for oneʼs comrade; win over; to be a courtesan; associate with"
φῐλεραστ-ία,urn:cite2:hmt:lsj.chicago_md:n110934,erotic_pederasty,seed,0.666,0.576,0.09,82,devotion to a lover
ἔρως,urn:cite2:hmt:lsj.chicago_md:n42840,erotic_pederasty,seed,0.664,0.568,0.095,1512,"love; love for; love of; desire for i; loves, amours; desires; object of love; desire; passionate joy; the god of love; funeral wreath"
ἀντιμαίνομαι,urn:cite2:hmt:lsj.chicago_md:n10124,erotic_pederasty,seed,0.646,0.542,0.104,179,to be filled with passion for a lover in return; rage against
ἀΐτας,urn:cite2:hmt:lsj.chicago_md:n2752,erotic_pederasty,seed,0.637,0.42,0.218,335,a beloved youth; lover
εἰσπνήλας,urn:cite2:hmt:lsj.chicago_md:n31503,erotic_pederasty,seed,0.637,0.406,0.231,96,lover
ἐπιθῡμ-ητής,urn:cite2:hmt:lsj.chicago_md:n39486,erotic_pederasty,seed,0.637,0.537,0.1,370,one who longs for; desires; lover; follower; one who lusts
ἐραστ-ής,urn:cite2:hmt:lsj.chicago_md:n42132,erotic_pederasty,seed,0.637,0.527,0.11,693,lover; admirer; an adherent; eager for; fond
ἐράστ-ρια,urn:cite2:hmt:lsj.chicago_md:n42135,erotic_pederasty,seed,0.637,0.406,0.231,122,lover
καιρό-φῐλος,urn:cite2:hmt:lsj.chicago_md:n52045,erotic_pederasty,seed,0.637,0.406,0.231,101,lover; observer of times
φῐλ-ητής,urn:cite2:hmt:lsj.chicago_md:n111016,erotic_pederasty,seed,0.637,0.406,0.231,54,lover
φῐλ-ήτωρ,urn:cite2:hmt:lsj.chicago_md:n111021,erotic_pederasty,seed,0.637,0.429,0.209,330,lover; paramour; dear to; heart; darling; loving
φῐλο-συμβίωτος,urn:cite2:hmt:lsj.chicago_md:n111509,erotic_pederasty,seed,0.613,0.375,0.239,75,lover of oneʼs spouse
γῠναικ-εραστέω,urn:cite2:hmt:lsj.chicago_md:n23012,erotic_pederasty,seed,0.611,0.432,0.179,110,to be a lover of women; woman-lover
Σῐνωπίζω,urn:cite2:hmt:lsj.chicago_md:n94256,erotic_pederasty,seed,0.609,0.27,0.339,61,behave like the courtesan Sinope
θοιν-αρμόστρια,urn:cite2:hmt:lsj.chicago_md:n48923,erotic_pederasty,seed,0.601,0.37,0.232,200,mistress of the banquet
οἰκο-δέσποινα,urn:cite2:hmt:lsj.chicago_md:n72312,erotic_pederasty,seed,0.567,0.318,0.25,140,mistress of a family
τρόφ-ῐμος,urn:cite2:hmt:lsj.chicago_md:n105557,erotic_pederasty,seed,0.559,0.53,0.029,1943,"nourishing, nutritious; nutritive; young master; erilis filius; the mistress; maintenance, sustenance; food-supply; for board; nursling, foster-child; our nurslings, pupils; Bis Acc.; kept in the house; healthy, strong, well-nourished; flourishing, luxuriant; viable, capable of life"
ἄνυμφος,urn:cite2:hmt:lsj.chicago_md:n10841,erotic_pederasty,seed,0.553,0.337,0.216,264,"not bridal; that is no bride, unhappy; without bride; mistress"
δέσποινα,urn:cite2:hmt:lsj.chicago_md:n24193,erotic_pederasty,seed,0.553,0.337,0.216,740,"mistress, lady of the house; mistress; princess, queen; Empress"
δεσπότ-ειρα,urn:cite2:hmt:lsj.chicago_md:n24203,erotic_pederasty,seed,0.553,0.337,0.216,69,mistress
κτάομαι,urn:cite2:hmt:lsj.chicago_md:n60308,erotic_pederasty,seed,0.553,0.467,0.085,4066,"procure for oneself, get, acquire; win; to get oneʼs; bring upon oneself; incur; get; make; procure; to have acquired; possess, hold; to be master of; having; involving; have in store; have in hand; own; to be a property-owner; owner, master; mistress; to be gotten; to be obtained as property"
παντελής,urn:cite2:hmt:lsj.chicago_md:n77603,erotic_pederasty,seed,0.553,0.348,0.204,1513,"all-complete, absolute; mistress; with full authority; complete tale; perfect; all-accomplishing; altogether, utterly; quite finished; outright; at all; from first to last; most certainly; for ever"
τόπαρχ-ος,urn:cite2:hmt:lsj.chicago_md:n104333,erotic_pederasty,seed,0.553,0.342,0.21,171,ruling over a place; mistress
συνεραστής,urn:cite2:hmt:lsj.chicago_md:n100369,erotic_pederasty,seed,0.537,0.429,0.109,144,joint lover; loving; jointly with..
θρήν-ερως,urn:cite2:hmt:lsj.chicago_md:n49102,erotic_pederasty,seed,0.511,0.373,0.137,65,a querulous lover
παρα-κύπτω,urn:cite2:hmt:lsj.chicago_md:n78288,erotic_pederasty,seed,0.506,0.434,0.072,1295,"stoop sideways; lean over; stoop for the purpose of looking; look sideways; cast a careless glance; peep out of; peeping after a lover; peeped out; peep out and see; out of which people look; peep in, look in; appear in; meddle with"
ναυκρᾰτ-ής,urn:cite2:hmt:lsj.chicago_md:n69816,erotic_pederasty,seed,0.492,0.333,0.159,96,master; mistress of the sea
Γᾰδειτάνα,urn:cite2:hmt:lsj.chicago_md:n21388,erotic_pederasty,seed,0.483,0.205,0.278,95,"woman of Cadiz, courtesan"
παιδεραστ-έω,urn:cite2:hmt:lsj.chicago_md:n76573,erotic_pederasty,seed,0.482,0.412,0.069,88,to be a lover of boys
πότνια,urn:cite2:hmt:lsj.chicago_md:n86069,erotic_pederasty,seed,0.481,0.385,0.096,2025,"mistress, queen; queen; revered, august"
παιδεραστ-ής,urn:cite2:hmt:lsj.chicago_md:n76574,erotic_pederasty,seed,0.472,0.357,0.116,137,lover of boys
ναυαρχ-ίς,urn:cite2:hmt:lsj.chicago_md:n69790,erotic_pederasty,seed,0.47,0.328,0.142,263,admiralʼs flagship; mistress of a fleet
οἰκουρός,urn:cite2:hmt:lsj.chicago_md:n72382,erotic_pederasty,seed,0.467,0.256,0.211,693,"watching; keeping the house; keeping at home; mistress of the house, housekeeper; stay-at-home"
γρᾱο-σόβης,urn:cite2:hmt:lsj.chicago_md:n22787,erotic_pederasty,seed,0.46,0.355,0.105,95,lover of old women
γρᾱό-φῐλος,urn:cite2:hmt:lsj.chicago_md:n22790,erotic_pederasty,seed,0.46,0.355,0.105,65,lover of old women
φῐλοσοφοκλῆς,urn:cite2:hmt:lsj.chicago_md:n111488,erotic_pederasty,seed,0.429,0.289,0.14,88,a lover of Sophocles
φῐλ-άρτεμις,urn:cite2:hmt:lsj.chicago_md:n110879,erotic_pederasty,seed,0.411,0.335,0.075,71,lover of Artemis
φῐλοστοργ-ία,urn:cite2:hmt:lsj.chicago_md:n111501,friendship_affection,seed+embed,0.841,0.611,0.23,510,"tender love, affection; affectionateness; love"
πᾰθ-ημα,urn:cite2:hmt:lsj.chicago_md:n76513,friendship_affection,seed+embed,0.82,0.569,0.251,1719,"that which befalls one, suffering, misfortune; passion; sufferings; emotion; condition, affection; affections, feelings; the feelings; troubles, symptoms; incidents, happenings; incidents; changes; incidents, properties; accidents"
προαίρ-εσις,urn:cite2:hmt:lsj.chicago_md:n86453,friendship_affection,seed+embed,0.8,0.625,0.176,2863,"choosing; before; purpose, resolution; from malice prepense; oneʼs purpose; inclination; Sent.V at.; motive; purpose, plan; scope; deliberate; course of life, principle; principles; deliberate course of action, policy; mode; principles, policy; department; political party; sect; school; conduct; character, reputation; reputation; devotion, affection, goodwill; homage; devotion; zeal; expressed opinion, advice"
στέργω,urn:cite2:hmt:lsj.chicago_md:n96541,friendship_affection,seed+embed,0.791,0.653,0.138,3395,"love, feel affection; love; to be fond of, show affection for; accept; gladly; to be content; satisfied, acquiesce; having desired; oblige me, do me the favour; were content with, acquiesced in; bear with; thou likest; desire, entreat"
στοργ-ή,urn:cite2:hmt:lsj.chicago_md:n97036,friendship_affection,seed+embed,0.775,0.586,0.189,503,"love, affection; sexual love"
φίλτρον,urn:cite2:hmt:lsj.chicago_md:n111627,friendship_affection,seed+embed,0.775,0.586,0.189,1474,"love-charm; charm, spell; spells to produce; charm; love, affection; dimple in the upper lip"
