lemma,sense_id,n_occ,n_senses_lemma,silhouette,gloss,gloss_source,top_context_lemmas,example_citations
δίδωμι,0,18,1,,"give freely; to be ready to give, offer; things offered; grant, assign",lsj,Ἀχαιός ἄγω γέρας κόρη αἱρέω υἱός Ἀτρείδης θεός πόλις ἄλγος ἑκηβόλος ἐθέλω,Iliad 1.135; Iliad 1.276; Iliad 1.98; Iliad 1.123; Iliad 1.116
μέγας,0,18,1,,"big; full-grown; elder; vast, high",lsj,πᾶς Ἀχαιός φρήν χαίρω Τρώς θυμός κολεόν ξίφος ὅρκος Πρίαμος Ὄλυμπος οἴομαι,Iliad 1.450; Iliad 1.220; Iliad 1.194; Iliad 1.482; Iliad 1.254
χείρ,0,18,1,,"the hand; closed; open, flat; a single hand",lsj,ἔχω Ἀπόλλων φίλος ναῦς Ἀχαιός εὔχομαι τίθημι ἔρχομαι θοός λύω θυγάτηρ φέρω,Iliad 1.596; Iliad 1.77; Iliad 1.585; Iliad 1.441; Iliad 1.446
ἀνήρ,0,17,1,,"nar; ner-, nṛ; man; woman",lsj,ἄναξ πᾶς δῖος ἱλάσκομαι ἱερός ῥέζω Ἀγαμέμνων Ἀργεῖος πείθω Ἀχαιός εἷς ἀρχός,Iliad 1.7; Iliad 1.266; Iliad 1.146; Iliad 1.172; Iliad 1.442
Ἀπόλλων,0,17,1,,Apollo,lsj,ναῦς Ἀχαιός ἑκηβόλος Φοῖβος λύω ἄποινα ἔχω χείρ φίλος Ζεύς ἔρχομαι θοός,Iliad 1.479; Iliad 1.457; Iliad 1.43; Iliad 1.182; Iliad 1.64
ἔχω,0,16,1,,check; seĝh; sáhate; sigis,lsj,Ἀχαιός χείρ Ἀπόλλων γέρας ἔρχομαι ναῦς ἄποινα ἑκηβόλος θοός λύω θυγάτηρ φέρω,Iliad 1.45; Iliad 1.14; Iliad 1.373; Iliad 1.356; Iliad 1.507
ἔρχομαι,0,16,1,,"ibo; start, set out; was setting out; was",lsj,ναῦς Ἀχαιός ἔχω Ἀπόλλων Ζεύς Ὄλυμπος θοός λύω θυγάτηρ φέρω ἀπερείσιος ἄποινα,Iliad 1.152; Iliad 1.207; Iliad 1.371; Iliad 1.12; Iliad 1.168
πείθω,0,16,1,,"persuade; obey; trust; prevail upon, persuade",lsj,οἴομαι πᾶς μῦθος ἀνήρ κρατέω Ἀχαιός ἔπος ἔρχομαι ἀμείνων χολόω μέγας Ἀργεῖος,Iliad 1.427; Iliad 1.150; Iliad 1.296; Iliad 1.274; Iliad 1.214
ἔπος,0,15,1,,"vácas; word; utterance; that which is uttered in words, speech, tale",lsj,Ζεύς πρόφρων ἔργον χείρ εἶπον πείθω ἔρχομαι μάχομαι Ὄλυμπος ὀνίνημι ὄμνυμι ἀρήγω,Iliad 1.77; Iliad 1.304; Iliad 1.211; Iliad 1.150; Iliad 1.519
Ἀγαμέμνων,0,15,1,,Agamemnon; Agamemnonʼs son,lsj,Ἀτρείδης κρείων ἄναξ Δαναοί Ἀχαιός ἀτιμάω εὐρύς ἀνήρ ἁνδάνω θυμός εὔχομαι ἄριστος,Iliad 1.172; Iliad 1.130; Iliad 1.285; Iliad 1.102; Iliad 1.355
φημί,0,15,1,,"say, affirm, assert; shall we say of; speak; think, deem, suppose",lsj,εὔχομαι δάκρυ χέω ἄγω Βρισηίς καλλιπάρηος εἶμι κλισία γέρας εἶδον ὅσος φέρτερος,Iliad 1.188; Iliad 1.511; Iliad 1.345; Iliad 1.595; Iliad 1.33
εἶπον,0,14,1,,"said; avocam; vac; speak, say",lsj,μάντις Ζεύς Ἀπόλλων ἕζομαι εὔχομαι Δαναοί χείρ πολύς Ἀχαιός ἔπος πᾶς εἴρω2,Iliad 1.286; Iliad 1.108; Iliad 1.552; Iliad 1.543; Iliad 1.106
ἄγω,0,14,1,,"lead, carry, fetch, bring; taking; take with one; carry off",lsj,δίδωμι καλλιπάρηος ἱερός ἑκατόμβη αἱρέω Ὀδυσσεύς Βρισηίς ἄναξ Δαναοί πατήρ φίλος κόρη,Iliad 1.323; Iliad 1.311; Iliad 1.338; Iliad 1.431; Iliad 1.443
πολύς,0,14,1,,"many; often; frequent; much, mighty",lsj,Ἀχαιός Δαναοί ναῦς ἀράομαι Ἀπόλλων φίλος εὔχομαι χείρ εἶπον Φθία γέρας ἀφαιρέω,Iliad 1.167; Iliad 1.156; Iliad 1.3; Iliad 1.169; Iliad 1.112
βαίνω,0,13,1,,"walk, step; on foot; on ground; he went to",lsj,θίς θάλασσα Ὄλυμπος Χρυσηίς δῶμα Ζεύς ἑκατόμβη ἕκαστος ἀκέων πολύφλοισβος κάρηνον χώομαι,Iliad 1.437; Iliad 1.439; Iliad 1.438; Iliad 1.310; Iliad 1.391
γέρας,0,13,1,,"gift of honour; the last honours; privilege, prerogative; gift, present",lsj,δίδωμι Ἀχαιός ἔχω αἱρέω πᾶς μεγάθυμος εἶμι ἄγω πολύς υἱός ἴσος ἀπαυράω,Iliad 1.356; Iliad 1.507; Iliad 1.133; Iliad 1.161; Iliad 1.163
Ἥρα,0,13,1,,Hera; nine; servo; inhabitants of Heraea,lsj,λευκώλενος θεά ἵημι ἄμφω θυμός φιλέω κήδω βοῶπις πότνια φρήν τίθημι πατήρ,Iliad 1.595; Iliad 1.55; Iliad 1.551; Iliad 1.195; Iliad 1.568
Ὄλυμπος,0,12,1,,"Olympus; sky; to, towards Olympus; from O",lsj,Ζεύς ἔρχομαι θεός εἶμι βαίνω δῶμα ἔπος καλέω πᾶς δωδέκατος μέγας κάρηνον,Iliad 1.221; Iliad 1.425; Iliad 1.394; Iliad 1.497; Iliad 1.44
οἶδα,0,12,1,,know; knew; Stadtrecht von Gortyn; Koische Forschungen,lsj,πᾶς ναῦς Ἀχαιός ἀγορεύω θεός ἕκαστος ἀνίστημι Κάλχας Θεστορίδης οἰωνοπόλος ἄριστος ἡγέομαι,Iliad 1.124; Iliad 1.546; Iliad 1.70; Iliad 1.515; Iliad 1.85
υἱός,0,11,1,,Vasen mit Meister-signaturen; pitṛṣu; son; a son,lsj,Ἀχαιός Ζεύς δίδωμι γέρας Ἀχιλλεύς Λητώ παῖς λύω φίλος ἄποινα δέχομαι ἅζομαι,Iliad 1.237; Iliad 1.162; Iliad 1.392; Iliad 1.368; Iliad 1.276
φρήν,0,11,1,,midriff; heart; very heart; sincere,lsj,μέγας τίθημι θεά λευκώλενος Ἥρα μένος ἀμφιμέλας πίμπλημι κακός φίλος μαντεύομαι Κλυταιμνήστρη,Iliad 1.474; Iliad 1.342; Iliad 1.297; Iliad 1.555; Iliad 1.55
ἐθέλω,0,11,1,,to be willing; wish; wish to; wish that,lsj,πᾶς βασιλεύς ἔχω δίδωμι Ὀλύμπιος Ἀχαιός Δαναοί θεοπροπέω ἀγορεύω ἑκηβόλος ἄλγος τεύχω,Iliad 1.580; Iliad 1.549; Iliad 1.408; Iliad 1.116; Iliad 1.133
λαός,0,11,1,,men; foot and horse; foot; a land army,lsj,Ἀτρείδης Ἀχαιός λίσσομαι πᾶς κοσμήτωρ εἶδον ὀλέκω Χρύσης ἀτιμάζω ἀρητήρ δέκατος ἀγορά,Iliad 1.313; Iliad 1.54; Iliad 1.375; Iliad 1.16; Iliad 1.117
εἶδον,0,10,1,,see; to be seen; seem; know,lsj,Ἀχιλλεύς τοῖος ἀνήρ οἷος Πειρίθοος Δρύας ποιμήν λαός Καινεύς Ἐξάδιος ἀντίθεος Πολύφημος,Iliad 1.262; Iliad 1.203; Iliad 1.587; Iliad 1.262; Iliad 1.537
πατήρ,0,10,1,,pitṛṣu; father; grandfather; by the fatherʼs side,lsj,φίλος μήτηρ Ζεύς ἀεικής λοιγός ἄγω ἀθάνατος θεός παράφημι νοέω ἐπίηρα φέρω,Iliad 1.578; Iliad 1.441; Iliad 1.534; Iliad 1.98; Iliad 1.396
ἅλς1,0,10,1,,salt; rock-salt; brine; sugar,lsj (homograph 1),θίς ναῦς Ἀτρείδης ἀτρύγετος πολιός Ἀχαιός μέλας ἐρύω1 δῖος θοός προερύω λῦμα,Iliad 1.327; Iliad 1.141; Iliad 1.532; Iliad 1.350; Iliad 1.316
ἄναξ,0,10,1,,"lord, master; sons; brothers of kings; lord",lsj,ἀνήρ Ἀγαμέμνων ἄγω Ἀχιλλεύς Ἀπόλλων Ζεύς Χρύσης πέμπω παῖς Φοῖβος ἱερός ἑκατόμβη,Iliad 1.172; Iliad 1.502; Iliad 1.506; Iliad 1.7; Iliad 1.442
μάχομαι,0,10,1,,fight; fight with; against; with thy help,lsj,ἔπος Ἀχαιός ἔρχομαι Τρώς Πρίαμος θεός ἔρις συνίημι ἀναίδεια ἐπιέννυμι κερδαλεόφρων πρόφρων,Iliad 1.272; Iliad 1.298; Iliad 1.8; Iliad 1.344; Iliad 1.271
μῦθος,0,10,1,,"word, speech; mere word; public speech; plea",lsj,κρατερός τέλλω πείθω ἀπιθέω Ἀθήνη ἀνίστημι ἀπειλέω τελέω Ἥρα πᾶς ἐπέλπομαι οἶδα,Iliad 1.25; Iliad 1.326; Iliad 1.379; Iliad 1.33; Iliad 1.273
ἑκατόμβη,0,10,1,,an offering of a hundred oxen; sacrifice; eye-salve,lsj,ἱερός Ἀπόλλων ἄγω Φοῖβος εὐχωλή ἐπιμέμφομαι αἴξ λοιγός Ἀγαμέμνων Δαναοί Χρύση βαίνω,Iliad 1.438; Iliad 1.309; Iliad 1.431; Iliad 1.142; Iliad 1.447
πρόσφημι,0,9,1,,"speak to, address",lsj,ἀπαμείβομαι πούς ὠκύς Ἀχιλλεύς νεφεληγερέτα Ζεύς κρείων Ἀγαμέμνων εἶδον βαρύς στενάχω μέγας,Iliad 1.215; Iliad 1.84; Iliad 1.560; Iliad 1.364; Iliad 1.130
οἴομαι,0,9,1,,"forebode, presage; expect; suspect; fear",lsj,πᾶς πείθω Ἀχαιός κρατέω Ἀτρείδης παλιμπλάζομαι ἀπονοστέω θάνατος φεύγω πόλεμος δαμάζω λοιμός,Iliad 1.427; Iliad 1.204; Iliad 1.296; Iliad 1.170; Iliad 1.59
ἱκνέομαι,0,9,1,,"come; came; arrive at; reach, attain to",lsj,Ἀχαιός ναῦς μέλας Ἀτρείδης ἐυκνήμις θεός δίδωμι Ὀλύμπιος δῶμα ἔχω ἐκπέρθω Πρίαμος,Iliad 1.166; Iliad 1.240; Iliad 1.317; Iliad 1.139; Iliad 1.19
βασιλεύς,0,9,1,,"king, chief; captain; judge; hereditary king",lsj,ἐθέλω Πηλείδης ἐρίζω ὁμοῖος μείρομαι τιμή σκηπτοῦχος Ζεύς κῦδος δίδωμι Ἀχαιός χολόω,Iliad 1.277; Iliad 1.340; Iliad 1.331; Iliad 1.9; Iliad 1.410
Δαναοί,0,9,1,,the Danaäns; the Greeks; the sons; descendants of Danaus,lsj,εὔχομαι φίλος Ἀγαμέμνων πολύς Ἀπόλλων Ζεύς Κάλχας θεοπροπία ἀναφαίνω ζάω χθών δέρκομαι,Iliad 1.456; Iliad 1.97; Iliad 1.56; Iliad 1.87; Iliad 1.258
αἱρέω,0,9,1,,"take with the hand, grasp, seize; to take; having taken up; take away",lsj,γέρας δίδωμι ἄγω Αἴας εἶμι Ὀδυσσεύς καλλιπάρηος ἔχω ἀπαυράω ξανθός κόμη Πηλείων,Iliad 1.356; Iliad 1.507; Iliad 1.139; Iliad 1.324; Iliad 1.137
τίθημι,0,9,1,,"l), Alc; set, put, place; set; set for oneself",lsj,χείρ Ἀχαιός φίλος μυρίος ἄλγος φρήν θεά λευκώλενος Ἥρα ἑκατόμβη αἰχμητής θεός,Iliad 1.446; Iliad 1.509; Iliad 1.55; Iliad 1.143; Iliad 1.441
εὔχομαι,0,9,1,,pray; to utter; in prayer; pray that,lsj,Δαναοί φημί Ἀπόλλων φίλος χείρ Ζεύς Κάλχας θεοπροπία ἀναφαίνω ζάω χθών δέρκομαι,Iliad 1.43; Iliad 1.457; Iliad 1.381; Iliad 1.87; Iliad 1.453
θεά,0,9,1,,goddess,lsj,λευκώλενος Ἥρα θυμός ἵημι ἄμφω φιλέω κήδω καλέω μῆνις ἀείδω Πηλείδης Ἀχιλλεύς,Iliad 1.208; Iliad 1.55; Iliad 1.195; Iliad 1.595; Iliad 1.206
πόλεμος,0,8,1,,"war; battle, fight; single combat; War, Battle",lsj,Ἀχαιός Ἀτρείδης παλιμπλάζομαι οἴομαι ἀπονοστέω θάνατος φεύγω δαμάζω λοιμός πλείων πολυάιξ χείρ,Iliad 1.492; Iliad 1.61; Iliad 1.177; Iliad 1.422; Iliad 1.491
μήτηρ,0,8,1,,mother; dam; mother-bird; queen,lsj,φίλος πατήρ χείρ Ζεύς ἐπίηρα φέρω καρτερός θεά γείνομαι φέρτατος πλείων ἀνάσσω,Iliad 1.351; Iliad 1.572; Iliad 1.585; Iliad 1.577; Iliad 1.357
γέρων,0,8,1,,"old man; Elders, Chiefs; Senators; old",lsj,δείδω ἀργυρόπεζος Θέτις θυγάτηρ ἅλιος κοῖλος ναῦς κιχάνω δηθύνω ὕστερος εἶμι χραισμέω,Iliad 1.462; Iliad 1.380; Iliad 1.358; Iliad 1.556; Iliad 1.538
Ὀλύμπιος,0,8,1,,"Olympian, of Olympus, dwelling on Olympus; of Olympus",lsj,Ζεύς ἐθέλω ἀστεροπητής Ἀτρείδης ἐυκνήμις Ἀχαιός θεός δίδωμι δῶμα ἔχω ἐκπέρθω Πρίαμος,Iliad 1.583; Iliad 1.353; Iliad 1.580; Iliad 1.609; Iliad 1.589
κόρη,0,7,1,,girl; maiden; nymphs; bride,lsj,δίδωμι Δαναοί ἄγω ἀφαιρέω ἀεικής λοιγός ἀπωθέω πατήρ φίλος ἑλικῶπις ἀπρίατος ἀνάποινος,Iliad 1.275; Iliad 1.298; Iliad 1.98; Iliad 1.336; Iliad 1.392
κακός,0,7,1,,"bad; ugly; ill-born, mean; craven, base",lsj,βασιλεύς χολόω νόσος στρατός ὄρνυμι Κάλχας πρώτιστος ὄσσομαι προσεῖπον μάντις κρήγυος εἶπον,Iliad 1.418; Iliad 1.10; Iliad 1.284; Iliad 1.105; Iliad 1.107
Πηλείδης,0,7,1,,,none,Ἀχιλλεύς ἀνήρ βασιλεύς κλισία μῆνις ἀείδω θεά οὐλόμενος εἷς ἀρχός βουληφόρος Αἴας,Iliad 1.223; Iliad 1.245; Iliad 1.306; Iliad 1.322; Iliad 1.1
Τρώς,0,7,1,,Tros; Trojans; Trojan men,lsj,Ἀχαιός μάχομαι μέγας χαίρω τιμή Πρίαμος πᾶς ἀρήγω τίνω ἔρχομαι αἰχμητής αἴτιος,Iliad 1.521; Iliad 1.408; Iliad 1.509; Iliad 1.152; Iliad 1.164
εὐρύς,0,7,1,,"wide, broad; loose; far-reaching, far-spread; várīyān",lsj,Ἀχαιός στρατός Ἀτρείδης κρείων Ἀγαμέμνων ἀνίστημι ἥρως ἄχνυμαι πολύς λωίων δῶρον ἀφαιρέω,Iliad 1.478; Iliad 1.384; Iliad 1.484; Iliad 1.229; Iliad 1.355
ἀνάσσω,0,7,1,,"to be lord, master; to be lord, hold sway in; to be lord of; to be master of",lsj,πᾶς κλύω ἀργυρότοξος Χρύση ἀμφιβαίνω Κίλλα ζάθεος Τένεδος εἶμι ναῦς ἑταῖρος Μυρμιδόνες,Iliad 1.452; Iliad 1.231; Iliad 1.38; Iliad 1.281; Iliad 1.252
τελέω,0,7,1,,"fulfil, accomplish, execute, perform; did it; perform; fulfil",lsj,Ζεύς βουλή χόλος καταπέσσω ἔχω κότος στῆθος ἐσθλός εἶπον ἔπος οἴομαι ἀνίστημι,Iliad 1.204; Iliad 1.523; Iliad 1.212; Iliad 1.82; Iliad 1.108
πρῶτος,0,7,1,,,none,Ἀχιλλεύς διίστημι ἐρίζω Ἀτρείδης ἄναξ ἀνήρ δῖος ὀρεύς ἐποίχομαι κύων ἀργός σκῆπτρον,Iliad 1.276; Iliad 1.6; Iliad 1.50; Iliad 1.235; Iliad 1.459
κλισία,0,7,1,,"place for lying down; reclining; hut, shed, booth; cot, cabin",lsj,ναῦς ἄγω Βρισηίς καλλιπάρηος εἶμι ἴσος Πηλείδης γέρας εἶδον ὅσος φέρτερος στυγέω,Iliad 1.306; Iliad 1.322; Iliad 1.328; Iliad 1.329; Iliad 1.346
ἀνίστημι,0,7,1,,"make to stand up, raise up; raised; raisefrom sleep, wake up; raise from the dead",lsj,Ἀτρείδης ἀγείρω ὁμηγερής γίγνομαι μετάφημι πούς ὠκύς Ἀχιλλεύς Κάλχας Θεστορίδης οἰωνοπόλος ἄριστος,Iliad 1.101; Iliad 1.68; Iliad 1.533; Iliad 1.58; Iliad 1.387
ἀμείβω,0,7,1,,"change, exchange; changing; give in exchange; take in exchange",lsj,δῖος Ἀχιλλεύς ἀνήρ ποδάρκης ἄναξ Ἀγαμέμνων Θέτις δάκρυ χέω πατήρ θεός βοῶπις,Iliad 1.172; Iliad 1.121; Iliad 1.551; Iliad 1.413; Iliad 1.544
παῖς,0,7,1,,child; son; daughter; adopted son,lsj,δέχομαι φίλος Πρίαμος χαίρω Δαναοί ἄναξ λύω ἄποινα ἅζομαι Ζεύς υἱός ἑκηβόλος,Iliad 1.393; Iliad 1.496; Iliad 1.447; Iliad 1.20; Iliad 1.596
στρατός,0,7,1,,"army, host; the commons, people; band; body",lsj,εὐρύς Ἀχαιός κῆλον θεός βασιλεύς χολόω νόσος ὄρνυμι κακός οἴχομαι πολύς λωίων,Iliad 1.384; Iliad 1.229; Iliad 1.484; Iliad 1.53; Iliad 1.10
πούς,0,7,1,,foot; talons; arms; feelers,lsj,ὠκύς Ἀχιλλεύς πρόσφημι ἀπαμείβομαι ἀγείρω ὁμηγερής γίγνομαι ἀνίστημι μετάφημι εἶδον βαρύς στενάχω,Iliad 1.148; Iliad 1.215; Iliad 1.84; Iliad 1.364; Iliad 1.58
δῶμα,0,7,1,,"house; chief room, hall; a single house; housetop",lsj,Ζεύς θεός Ὄλυμπος βαίνω Ἥφαιστος ἕκαστος Ἀτρείδης ἐυκνήμις Ἀχαιός δίδωμι Ὀλύμπιος ἔχω,Iliad 1.533; Iliad 1.222; Iliad 1.600; Iliad 1.570; Iliad 1.18
ἄποινα,0,7,1,,ransom; price paid; to recover oneʼs freedom; to save oneʼs life,lsj,Ἀχαιός ἑκηβόλος Ἀπόλλων δέχομαι λύω θυγάτηρ ἔχω ἱερεύς ἀγλαός ἔρχομαι θοός ναῦς,Iliad 1.23; Iliad 1.377; Iliad 1.13; Iliad 1.372; Iliad 1.95
κλύω,0,7,1,,hear; from; hear of; have heard,lsj,ἀργυρότοξος Χρύση ἀμφιβαίνω Κίλλα ζάθεος Τένεδος ἀνάσσω Φοῖβος Ἀπόλλων θεός ἐπιπείθομαι πότνια,Iliad 1.457; Iliad 1.43; Iliad 1.357; Iliad 1.453; Iliad 1.218
προσεῖπον,0,7,1,,"speak to; address, accost; address; addressed",lsj,Κάλχας πρώτιστος κακός ὄσσομαι θεά γλαυκῶπις Ἀθήνη Πηλείδης ἀταρτηρός ἔπος Ἀτρείδης Ταλθύβιος,Iliad 1.585; Iliad 1.224; Iliad 1.105; Iliad 1.320; Iliad 1.206
χώομαι,0,7,1,,to be angry; to be angry at; about; because of,lsj,ὦμος θυμός βαίνω Ὄλυμπος κάρηνον κῆρ τόξον ἔχω ἀμφηρεφής φαρέτρα κλάζω ὀιστός,Iliad 1.244; Iliad 1.44; Iliad 1.429; Iliad 1.380; Iliad 1.46
ὠκύς,0,6,1,,"quick, swift, fleet; quickness, sharpness; shrill",lsj,πούς Ἀχιλλεύς πρόσφημι ἀπαμείβομαι ἀγείρω ὁμηγερής γίγνομαι ἀνίστημι μετάφημι εἶδον βαρύς στενάχω,Iliad 1.148; Iliad 1.84; Iliad 1.215; Iliad 1.364; Iliad 1.58
ἔργον,0,6,1,,weorc; varəza; work; tasks,lsj,Ζεύς ἔπος ὀνίνημι λοίγιος Κλυταιμνήστρη προβέβουλα κουρίδιος ἄλοχος χείρων δέμας φυή φρήν,Iliad 1.115; Iliad 1.504; Iliad 1.395; Iliad 1.573; Iliad 1.294
φέρω,0,6,1,,fero; beran; bhárati; náśati,lsj,θοός ναῦς Ἀπόλλων ἔρχομαι Ἀχαιός λύω θυγάτηρ ἀπερείσιος ἄποινα στέμμα ἔχω χείρ,Iliad 1.13; Iliad 1.372; Iliad 1.572; Iliad 1.578; Iliad 1.592
καλλιπάρηος,0,6,1,,beautiful-cheeked,lsj,ἄγω Χρυσηίς Βρισηίς κλισία αἱρέω βαίνω εἶμι γέρας εἶδον ὅσος φέρτερος στυγέω,Iliad 1.143; Iliad 1.323; Iliad 1.346; Iliad 1.369; Iliad 1.310
τίνω,0,6,1,,pay a price; pay; acquit oneself of; render,lsj,Ἀχαιός ἄριστος Τρώς Δαναοί δάκρυον βέλος θυμός ἀμύσσω χώομαι τυτθός μιμνήσκω παρέζομαι,Iliad 1.244; Iliad 1.354; Iliad 1.412; Iliad 1.510; Iliad 1.508
Χρυσηίς,0,6,1,,,none,καλλιπάρηος βαίνω ναῦς Δαναοί θεοπροπέω ἀγορεύω ἑκηβόλος ἄλγος τεύχω κόρη ἀγλαός ἄποινα,Iliad 1.143; Iliad 1.310; Iliad 1.369; Iliad 1.182; Iliad 1.439
ἧμαι,0,6,1,,"āste; to be seated, sit; sit still, sit idle; encamp",lsj,εὑρίσκω ναῦς ἐθέλω ἔχω γέρας δεύω2 κλισία μέλας κλύω πότνια μήτηρ βένθος,Iliad 1.330; Iliad 1.134; Iliad 1.416; Iliad 1.512; Iliad 1.498
λίσσομαι,0,6,1,,"beg, pray; pray; prays; that",lsj,πᾶς Ἀχαιός Ζεύς Ἀτρείδης κοσμήτωρ λαός μένω Ἀχιλλεύς μεθίημι χόλος μέγας ἕρκος,Iliad 1.15; Iliad 1.374; Iliad 1.174; Iliad 1.283; Iliad 1.394
δαίς1,0,6,1,,"meal, banquet; duly shared; banquet; sacrificial feast",lsj (homograph 1),θυμός δέω ἴσος Ζεύς παύω πόνος τεύχω δαίνυμι πατήρ Ὠκεανός ἀμύμων Αἰθίοψ,Iliad 1.602; Iliad 1.468; Iliad 1.575; Iliad 1.424; Iliad 1.579
ἵημι,0,6,1,,Ja-c-io; sēmen; véti; vyánti,lsj,θεά λευκώλενος Ἥρα ἄμφω θυμός φιλέω κήδω ἰός Ἀργεῖος κακός βέλος πόσις2,Iliad 1.195; Iliad 1.208; Iliad 1.48; Iliad 1.479; Iliad 1.382
εἴρω2,0,6,1,,"say, speak, tell; is said; ask",lsj (homograph 2),Ζεύς μάντις ἱερεύς ὀνειροπόλος ὄναρ εἶπον τόσος χώομαι Φοῖβος Ἀπόλλων εὐχωλή ἐπιμέμφομαι,Iliad 1.297; Iliad 1.204; Iliad 1.76; Iliad 1.419; Iliad 1.233
γίγνομαι,0,6,1,,come into a new state of being; come into being; to be born; born,lsj,ἄνθρωπος θεός δεινός κλαγγή ἀργύρεος βιός ἀγείρω ὁμηγερής ἀνίστημι μετάφημι πούς ὠκύς,Iliad 1.49; Iliad 1.493; Iliad 1.188; Iliad 1.57; Iliad 1.341
ἱερός,0,6,1,,"filled with; manifesting divine power, supernatural; great; holy",lsj,ἑκατόμβη ἄγω ἀνήρ Δαναοί Χρύση Ὀδυσσεύς ἱλάσκομαι ῥέζω ἄναξ ἀεικής λοιγός ἀπωθέω,Iliad 1.431; Iliad 1.443; Iliad 1.447; Iliad 1.99; Iliad 1.366
Φοῖβος,0,6,1,,,none,Ἀπόλλων κλύω ἑκατόμβη ναῦς πέμπω ἄναξ μάντις εἴρω2 ἱερεύς ὀνειροπόλος ὄναρ Ζεύς,Iliad 1.457; Iliad 1.43; Iliad 1.182; Iliad 1.64; Iliad 1.72
ἑκηβόλος,0,6,1,,attaining his aim; far-shooting,lsj,Ἀπόλλων ἄποινα λύω ἔχω ἔρχομαι θοός ναῦς Ἀχαιός θυγάτηρ φέρω ἀπερείσιος στέμμα,Iliad 1.21; Iliad 1.438; Iliad 1.14; Iliad 1.96; Iliad 1.373
δέχομαι,0,6,1,,"take, accept, receive; receive; at the hand of; accept",lsj,ἄποινα παῖς ἀγλαός φίλος ἑκηβόλος πᾶς ἐπευφημέω Ἀχαιός αἰδέομαι ἱερεύς λύω ἅζομαι,Iliad 1.23; Iliad 1.377; Iliad 1.446; Iliad 1.112; Iliad 1.20
