lemma,pos,work,book,line,sentence_id,word_id,form,row
ναῦς,n,Iliad,1,26,2274115,7,νηυσὶ,116
κιχάνω,v,Iliad,1,26,2274115,8,κιχείω,117
δηθύνω,v,Iliad,1,27,2274115,11,δηθύνοντ',118
ὕστερος,a,Iliad,1,27,2274115,13,ὕστερον,119
εἶμι,v,Iliad,1,27,2274115,15,ἰόντα,120
χραισμέω,v,Iliad,1,28,2274115,21,χραίσμῃ,121
σκῆπτρον,n,Iliad,1,28,2274115,22,σκῆπτρον,122
στέμμα,n,Iliad,1,28,2274115,24,στέμμα,123
θεός,n,Iliad,1,28,2274115,25,θεοῖο,124
λύω,v,Iliad,1,29,2274116,5,λύσω,125
γῆρας,n,Iliad,1,29,2274117,4,γῆρας,126
ἔπειμι,v,Iliad,1,29,2274117,5,ἔπεισιν,127
ἡμέτερος,a,Iliad,1,30,2274117,6,ἡμετέρῳ,128
οἶκος,n,Iliad,1,30,2274117,8,οἴκῳ,129
Ἄργος,n,Iliad,1,30,2274117,10,Ἄργεϊ,130
πάτρη,n,Iliad,1,30,2274117,12,πάτρης,131
ἱστός,n,Iliad,1,31,2274117,13,ἱστὸν,132
ἐποίχομαι,v,Iliad,1,31,2274117,14,ἐποιχομένην,133
ἐμός,a,Iliad,1,31,2274117,16,ἐμὸν,134
λέχος,n,Iliad,1,31,2274117,17,λέχος,135
ἀντιάω,v,Iliad,1,31,2274117,18,ἀντιόωσαν,136
εἶμι,v,Iliad,1,32,2274118,2,ἴθι,137
ἐρεθίζω,v,Iliad,1,32,2274118a,5,ἐρέθιζε,138
σῶς,a,Iliad,1,32,2274118a,6,σαώτερος,139
νέομαι,v,Iliad,1,32,2274118a,9,νέηαι,140
φημί,v,Iliad,1,33,2274119,2,ἔφατ',141
δείδω,v,Iliad,1,33,2274119a,4,ἔδεισεν,142
γέρων,n,Iliad,1,33,2274119a,7,γέρων,143
πείθω,v,Iliad,1,33,2274119b,9,ἐπείθετο,144
μῦθος,n,Iliad,1,33,2274119b,10,μύθῳ,145
βαίνω,v,Iliad,1,34,2274120,1,βῆ,146
ἀκέων,a,Iliad,1,34,2274120,3,ἀκέων,147
θίς,n,Iliad,1,34,2274120,5,θῖνα,148
πολύφλοισβος,a,Iliad,1,34,2274120,6,πολυφλοίσβοιο,149
θάλασσα,n,Iliad,1,34,2274120,7,θαλάσσης,150
πολύς,a,Iliad,1,35,2274121,1,πολλὰ,151
κίω,v,Iliad,1,35,2274121,5,κιὼν,152
ἀράομαι,v,Iliad,1,35,2274121,6,ἠρᾶθ',153
γεραιός,a,Iliad,1,35,2274121,8,γεραιὸς,154
Ἀπόλλων,n,Iliad,1,36,2274121,9,Ἀπόλλωνι,155
ἄναξ,n,Iliad,1,36,2274121,10,ἄνακτι,156
εὔκομος,a,Iliad,1,36,2274121,13,ἠΰκομος,157
τίκτω,v,Iliad,1,36,2274121,14,τέκε,158
Λητώ,n,Iliad,1,36,2274121,15,Λητώ,159
κλύω,v,Iliad,1,37,2274122,1,κλῦθί,160
ἀργυρότοξος,a,Iliad,1,37,2274122,3,ἀργυρότοξ',161
Χρύση,n,Iliad,1,37,2274122,6,Χρύσην,162
ἀμφιβαίνω,v,Iliad,1,37,2274122,7,ἀμφιβέβηκας,163
Κίλλα,n,Iliad,1,38,2274122,8,Κίλλάν,164
ζάθεος,a,Iliad,1,38,2274122,10,ζαθέην,165
Τένεδος,n,Iliad,1,38,2274122,11,Τενέδοιό,166
ἀνάσσω,v,Iliad,1,38,2274122,14,ἀνάσσεις,167
Σμινθεύς,n,Iliad,1,39,2274122a,16,Σμινθεῦ,168
χαρίεις,a,Iliad,1,39,2274122a,20,χαρίεντ',169
ναός,n,Iliad,1,39,2274122a,22,νηὸν,170
ἐρέφω,v,Iliad,1,39,2274122a,23,ἔρεψα,171
πίων,a,Iliad,1,40,2274122a,31,πίονα,172
μηρία,n,Iliad,1,40,2274122a,32,μηρί',173
καίω,v,Iliad,1,40,2274122a,33,ἔκηα,174
ταῦρος,n,Iliad,1,41,2274122a,34,ταύρων,175
αἴξ,n,Iliad,1,41,2274122a,36,αἰγῶν,176
κραίνω,v,Iliad,1,41,2274122a,41,κρήηνον,177
ἔλδωρ,n,Iliad,1,41,2274122a,42,ἐέλδωρ,178
τίνω,v,Iliad,1,42,2274123,1,τίσειαν,179
Δαναοί,n,Iliad,1,42,2274123,2,Δαναοὶ,180
ἐμός,a,Iliad,1,42,2274123,3,ἐμὰ,181
δάκρυον,n,Iliad,1,42,2274123,4,δάκρυα,182
σός,a,Iliad,1,42,2274123,5,σοῖσι,183
βέλος,n,Iliad,1,42,2274123,6,βέλεσσιν,184
φημί,v,Iliad,1,43,2274124,2,ἔφατ',185
εὔχομαι,v,Iliad,1,43,2274124,3,εὐχόμενος,186
κλύω,v,Iliad,1,43,2274124a,7,ἔκλυε,187
Φοῖβος,n,Iliad,1,43,2274124a,8,Φοῖβος,188
Ἀπόλλων,n,Iliad,1,43,2274124a,9,Ἀπόλλων,189
βαίνω,v,Iliad,1,44,2274124b,11,βῆ,190
Ὄλυμπος,n,Iliad,1,44,2274124b,14,Οὐλύμποιο,191
κάρηνον,n,Iliad,1,44,2274124b,15,καρήνων,192
χώομαι,v,Iliad,1,44,2274124b,16,χωόμενος,193
κῆρ,n,Iliad,1,44,2274124b,17,κῆρ,194
τόξον,n,Iliad,1,45,2274124b,19,τόξ',195
ὦμος,n,Iliad,1,45,2274124b,20,ὤμοισιν,196
ἔχω,v,Iliad,1,45,2274124b,21,ἔχων,197
ἀμφηρεφής,a,Iliad,1,45,2274124b,22,ἀμφηρεφέα,198
φαρέτρα,n,Iliad,1,45,2274124b,24,φαρέτρην,199
κλάζω,v,Iliad,1,46,2274125,1,ἔκλαγξαν,200
ὀιστός,n,Iliad,1,46,2274125,4,ὀϊστοὶ,201
ὦμος,n,Iliad,1,46,2274125,6,ὤμων,202
χώομαι,v,Iliad,1,46,2274125,7,χωομένοιο,203
αὐτός,a,Iliad,1,47,2274125,9,αὐτοῦ,204
κινέω,v,Iliad,1,47,2274125,10,κινηθέντος,205
εἶμι,v,Iliad,1,47,2274126,3,ἤϊε,206
νύξ,n,Iliad,1,47,2274126,4,νυκτὶ,207
εἴκω1,v,Iliad,1,47,2274126,5,ἐοικώς,208
ἕζομαι,v,Iliad,1,48,2274127,1,ἕζετ',209
ναῦς,n,Iliad,1,48,2274127,4,νεῶν,210
ἰός,n,Iliad,1,48,2274127a,8,ἰὸν,211
ἵημι,v,Iliad,1,48,2274127a,9,ἕηκε,212
δεινός,a,Iliad,1,49,2274128,1,δεινὴ,213
κλαγγή,n,Iliad,1,49,2274128,3,κλαγγὴ,214
γίγνομαι,v,Iliad,1,49,2274128,4,γένετ',215
ἀργύρεος,a,Iliad,1,49,2274128,5,ἀργυρέοιο,216
βιός,n,Iliad,1,49,2274128,6,βιοῖο,217
ὀρεύς,n,Iliad,1,50,2274129,1,οὐρῆας,218
πρῶτος,a,Iliad,1,50,2274129,3,πρῶτον,219
ἐποίχομαι,v,Iliad,1,50,2274129,4,ἐπῴχετο,220
κύων,n,Iliad,1,50,2274129,6,κύνας,221
ἀργός,a,Iliad,1,50,2274129,7,ἀργούς,222
αὐτός,a,Iliad,1,51,2274129a,11,αὐτοῖσι,223
βέλος,n,Iliad,1,51,2274129a,12,βέλος,224
ἐχεπευκής,a,Iliad,1,51,2274129a,13,ἐχεπευκὲς,225
ἐφίημι,v,Iliad,1,51,2274129a,14,ἐφιεὶς,226
βάλλω,v,Iliad,1,52,2274129a,15,βάλλ',227
πυρή,n,Iliad,1,52,2274130,3,πυραὶ,228
νέκυς,n,Iliad,1,52,2274130,4,νεκύων,229
καίω,v,Iliad,1,52,2274130,5,καίοντο,230
θαμέες,a,Iliad,1,52,2274130,6,θαμειαί,231
στρατός,n,Iliad,1,53,2274131,4,στρατὸν,232
οἴχομαι,v,Iliad,1,53,2274131,5,ᾤχετο,233
κῆλον,n,Iliad,1,53,2274131,6,κῆλα,234
θεός,n,Iliad,1,53,2274131,7,θεοῖο,235
δέκατος,a,Iliad,1,54,2274131a,10,δεκάτῃ,236
ἀγορά,n,Iliad,1,54,2274131a,12,ἀγορὴν,237
καλέω,v,Iliad,1,54,2274131a,14,καλέσσατο,238
λαός,n,Iliad,1,54,2274131a,15,λαὸν,239
Ἀχιλλεύς,n,Iliad,1,54,2274131a,16,Ἀχιλλεύς,240
φρήν,n,Iliad,1,55,2274132,4,φρεσὶ,241
τίθημι,v,Iliad,1,55,2274132,5,θῆκε,242
θεά,n,Iliad,1,55,2274132,6,θεὰ,243
λευκώλενος,a,Iliad,1,55,2274132,7,λευκώλενος,244
Ἥρα,n,Iliad,1,55,2274132,8,Ἥρη,245
κήδω,v,Iliad,1,56,2274133,1,κήδετο,246
Δαναοί,n,Iliad,1,56,2274133,3,Δαναῶν,247
θνήσκω,v,Iliad,1,56,2274133,7,θνήσκοντας,248
ὁράω,v,Iliad,1,56,2274133,8,ὁρᾶτο,249
ἀγείρω,v,Iliad,1,57,2274134,5,ἤγερθεν,250
ὁμηγερής,a,Iliad,1,57,2274134,6,ὁμηγερέες,251
γίγνομαι,v,Iliad,1,57,2274134,8,γένοντο,252
ἀνίστημι,v,Iliad,1,58,2274134,12,ἀνιστάμενος,253
μετάφημι,v,Iliad,1,58,2274134,13,μετέφη,254
πούς,n,Iliad,1,58,2274134,14,πόδας,255
ὠκύς,a,Iliad,1,58,2274134,15,ὠκὺς,256
Ἀχιλλεύς,n,Iliad,1,58,2274134,16,Ἀχιλλεύς,257
Ἀτρείδης,n,Iliad,1,59,2274135,1,Ἀτρεΐδη,258
παλιμπλάζομαι,v,Iliad,1,59,2274135,4,παλιμπλαγχθέντας,259
οἴομαι,v,Iliad,1,59,2274135,5,ὀΐω,260
ἀπονοστέω,v,Iliad,1,60,2274135,7,ἀπονοστήσειν,261
θάνατος,n,Iliad,1,60,2274135,11,θάνατόν,262
φεύγω,v,Iliad,1,60,2274135,13,φύγοιμεν,263
πόλεμος,n,Iliad,1,61,2274135,18,πόλεμός,264
δαμάζω,v,Iliad,1,61,2274135,20,δαμᾷ,265
λοιμός,n,Iliad,1,61,2274135,22,λοιμὸς,266
Ἀχαιός,a,Iliad,1,61,2274135,23,Ἀχαιούς,267
μάντις,n,Iliad,1,62,2274136,5,μάντιν,268
εἴρω2,v,Iliad,1,62,2274136,6,ἐρείομεν,269
ἱερεύς,n,Iliad,1,62,2274136,8,ἱερῆα,270
ὀνειροπόλος,n,Iliad,1,63,2274136,11,ὀνειροπόλον,271
ὄναρ,n,Iliad,1,63,2274136,16,ὄναρ,272
Ζεύς,n,Iliad,1,63,2274136,18,Διός,273
εἰμί,v,Iliad,1,63,2274136,19,ἐστιν,274
εἶπον,v,Iliad,1,64,2274136,23,εἴποι,275
τόσος,a,Iliad,1,64,2274136,26,τόσσον,276
χώομαι,v,Iliad,1,64,2274136,27,ἐχώσατο,277
Φοῖβος,n,Iliad,1,64,2274136,28,Φοῖβος,278
Ἀπόλλων,n,Iliad,1,64,2274136,29,Ἀπόλλων,279
εὐχωλή,n,Iliad,1,65,2274136,35,εὐχωλῆς,280
ἐπιμέμφομαι,v,Iliad,1,65,2274136,36,ἐπιμέμφεται,281
ἑκατόμβη,n,Iliad,1,65,2274136,38,ἑκατόμβης,282
ἀρνός,n,Iliad,1,66,2274136,43,ἀρνῶν,283
κνῖσα,n,Iliad,1,66,2274136,44,κνίσης,284
αἴξ,n,Iliad,1,66,2274136,45,αἰγῶν,285
τέλειος,a,Iliad,1,66,2274136,47,τελείων,286
βούλομαι,v,Iliad,1,67,2274136,48,βούλεται,287
ἀντιάω,v,Iliad,1,67,2274136,49,ἀντιάσας,288
λοιγός,n,Iliad,1,67,2274136,52,λοιγὸν,289
ἀμύνω,v,Iliad,1,67,2274136,53,ἀμῦναι,290
εἶπον,v,Iliad,1,68,2274137,5,εἰπὼν,291
ἕζομαι,v,Iliad,1,68,2274137,8,ἕζετο,292
ἀνίστημι,v,Iliad,1,68,2274138,3,ἀνέστη,293
Κάλχας,n,Iliad,1,69,2274138,4,Κάλχας,294
Θεστορίδης,n,Iliad,1,69,2274138,5,Θεστορίδης,295
οἰωνοπόλος,n,Iliad,1,69,2274138,6,οἰωνοπόλων,296
ἄριστος,a,Iliad,1,69,2274138,8,ἄριστος,297
οἶδα,v,Iliad,1,70,2274138,11,ᾔδη,298
εἰμί,v,Iliad,1,70,2274138,14,ἐόντα,299
εἰμί,v,Iliad,1,70,2274138,17,ἐσσόμενα,300
εἰμί,v,Iliad,1,70,2274138,20,ἐόντα,301
ναῦς,n,Iliad,1,71,2274138,23,νήεσσ',302
ἡγέομαι,v,Iliad,1,71,2274138,24,ἡγήσατ',303
Ἀχαιός,a,Iliad,1,71,2274138,25,Ἀχαιῶν,304
Ἴλιος,n,Iliad,1,71,2274138,26,Ἴλιον,305
ἑός,a,Iliad,1,72,2274138,28,ἣν,306
μαντοσύνη,n,Iliad,1,72,2274138,30,μαντοσύνην,307
πόρω,v,Iliad,1,72,2274138,34,πόρε,308
Φοῖβος,n,Iliad,1,72,2274138,35,Φοῖβος,309
Ἀπόλλων,n,Iliad,1,72,2274138,36,Ἀπόλλων,310
φρονέω,v,Iliad,1,73,2274139,4,φρονέων,311
ἀγοράομαι,v,Iliad,1,73,2274139,5,ἀγορήσατο,312
μετεῖπον,v,Iliad,1,73,2274139,7,μετέειπεν,313
Ἀχιλλεύς,n,Iliad,1,74,2274140,2,Ἀχιλεῦ,314
κέλομαι,v,Iliad,1,74,2274140,3,κέλεαί,315
Ζεύς,n,Iliad,1,74,2274140,5,Διῒ,316
φίλος,a,Iliad,1,74,2274140,6,φίλε,317
μυθέομαι,v,Iliad,1,74,2274140,7,μυθήσασθαι,318
μῆνις,n,Iliad,1,75,2274140,8,μῆνιν,319
Ἀπόλλων,n,Iliad,1,75,2274140,9,Ἀπόλλωνος,320
ἑκατηβελέτης,n,Iliad,1,75,2274140,10,ἑκατηβελέταο,321
ἄναξ,n,Iliad,1,75,2274140,11,ἄνακτος,322
εἴρω2,v,Iliad,1,76,2274141,4,ἐρέω,323
συντίθημι,v,Iliad,1,76,2274142,3,σύνθεο,324
ὄμνυμι,v,Iliad,1,76,2274142a,6,ὄμοσσον,325
πρόφρων,a,Iliad,1,77,2274142a,10,πρόφρων,326
ἔπος,n,Iliad,1,77,2274142a,11,ἔπεσιν,327
χείρ,n,Iliad,1,77,2274142a,13,χερσὶν,328
ἀρήγω,v,Iliad,1,77,2274142a,14,ἀρήξειν,329
οἴομαι,v,Iliad,1,78,2274143,3,ὀΐομαι,330
ἀνήρ,n,Iliad,1,78,2274143,4,ἄνδρα,331
χολόω,v,Iliad,1,78,2274143,5,χολωσέμεν,332
μέγας,a,Iliad,1,78,2274143,8,μέγα,333
πᾶς,a,Iliad,1,78,2274143,9,πάντων,334
Ἀργεῖος,a,Iliad,1,79,2274143,10,Ἀργείων,335
κρατέω,v,Iliad,1,79,2274143,11,κρατέει,336
πείθω,v,Iliad,1,79,2274143,14,πείθονται,337
Ἀχαιός,a,Iliad,1,79,2274143,15,Ἀχαιοί,338
κρείσσων,a,Iliad,1,80,2274144,1,κρείσσων,339
βασιλεύς,n,Iliad,1,80,2274144,3,βασιλεὺς,340
χώομαι,v,Iliad,1,80,2274144,5,χώσεται,341
ἀνήρ,n,Iliad,1,80,2274144,6,ἀνδρὶ,342
χείρων,a,Iliad,1,80,2274144,7,χέρηϊ,343
χόλος,n,Iliad,1,81,2274145,5,χόλον,344
καταπέσσω,v,Iliad,1,81,2274145,9,καταπέψῃ,345
ἔχω,v,Iliad,1,82,2274145,15,ἔχει,346
κότος,n,Iliad,1,82,2274145,16,κότον,347
τελέω,v,Iliad,1,82,2274145,19,τελέσσῃ,348
στῆθος,n,Iliad,1,83,2274145,22,στήθεσσιν,349
ἑός,a,Iliad,1,83,2274145,23,ἑοῖσι,350
φράζω,v,Iliad,1,83,2274146,3,φράσαι,351
σώζω,v,Iliad,1,83,2274146,6,σαώσεις,352
ἀπαμείβομαι,v,Iliad,1,84,2274147,3,ἀπαμειβόμενος,353
πρόσφημι,v,Iliad,1,84,2274147,4,προσέφη,354
πούς,n,Iliad,1,84,2274147,5,πόδας,355
ὠκύς,a,Iliad,1,84,2274147,6,ὠκὺς,356
Ἀχιλλεύς,n,Iliad,1,84,2274147,7,Ἀχιλλεύς,357
θαρσέω,v,Iliad,1,85,2274148,1,θαρσήσας,358
εἶπον,v,Iliad,1,85,2274148,3,εἰπὲ,359
θεοπρόπιον,n,Iliad,1,85,2274148,4,θεοπρόπιον,360
οἶδα,v,Iliad,1,85,2274148,7,οἶσθα,361
Ἀπόλλων,n,Iliad,1,86,2274149,4,Ἀπόλλωνα,362
Ζεύς,n,Iliad,1,86,2274149,5,Διῒ,363
φίλος,a,Iliad,1,86,2274149,6,φίλον,364
Κάλχας,n,Iliad,1,86,2274149,11,Κάλχαν,365
εὔχομαι,v,Iliad,1,87,2274149,12,εὐχόμενος,366
Δαναοί,n,Iliad,1,87,2274149,13,Δαναοῖσι,367
θεοπροπία,n,Iliad,1,87,2274149,14,θεοπροπίας,368
ἀναφαίνω,v,Iliad,1,87,2274149,15,ἀναφαίνεις,369
ζάω,v,Iliad,1,88,2274149,20,ζῶντος,370
χθών,n,Iliad,1,88,2274149,23,χθονὶ,371
δέρκομαι,v,Iliad,1,88,2274149,24,δερκομένοιο,372
κοῖλος,a,Iliad,1,89,2274149,26,κοίλῃς,373
ναῦς,n,Iliad,1,89,2274149,28,νηυσί,374
βαρύς,a,Iliad,1,89,2274149,29,βαρείας,375
χείρ,n,Iliad,1,89,2274149,30,χεῖρας,376
ἐπιφέρω,v,Iliad,1,89,2274149,31,ἐποίσει,377
σύμπας,a,Iliad,1,90,2274149,32,συμπάντων,378
Δαναοί,n,Iliad,1,90,2274149,33,Δαναῶν,379
Ἀγαμέμνων,n,Iliad,1,90,2274149,38,Ἀγαμέμνονα,380
εἶπον,v,Iliad,1,90,2274149,39,εἴπῃς,381
πολύς,a,Iliad,1,91,2274149,43,πολλὸν,382
ἄριστος,a,Iliad,1,91,2274149,44,ἄριστος,383
Ἀχαιός,a,Iliad,1,91,2274149,45,Ἀχαιῶν,384
εὔχομαι,v,Iliad,1,91,2274149,46,εὔχεται,385
εἰμί,v,Iliad,1,91,2274149,47,εἶναι,386
θαρσέω,v,Iliad,1,92,2274150,4,θάρσησε,387
αὐδάω,v,Iliad,1,92,2274150a,6,ηὔδα,388
μάντις,n,Iliad,1,92,2274150a,7,μάντις,389
ἀμύμων,a,Iliad,1,92,2274150a,8,ἀμύμων,390
εὐχωλή,n,Iliad,1,93,2274151,6,εὐχωλῆς,391
ἐπιμέμφομαι,v,Iliad,1,93,2274151,7,ἐπιμέμφεται,392
ἑκατόμβη,n,Iliad,1,93,2274151,10,ἑκατόμβης,393
ἀρητήρ,n,Iliad,1,94,2274151,14,ἀρητῆρος,394
ἀτιμάω,v,Iliad,1,94,2274151,16,ἠτίμησ',395
Ἀγαμέμνων,n,Iliad,1,94,2274151,17,Ἀγαμέμνων,396
ἀπολύω,v,Iliad,1,95,2274151a,21,ἀπέλυσε,397
θυγάτηρ,n,Iliad,1,95,2274151a,22,θύγατρα,398
ἀποδέχομαι,v,Iliad,1,95,2274151a,25,ἀπεδέξατ',399
ἄποινα,n,Iliad,1,95,2274151a,26,ἄποινα,400
ἄλγος,n,Iliad,1,96,2274151b,30,ἄλγε',401
δίδωμι,v,Iliad,1,96,2274151b,31,ἔδωκεν,402
ἑκηβόλος,a,Iliad,1,96,2274151b,32,ἑκηβόλος,403
δίδωμι,v,Iliad,1,96,2274151b,35,δώσει,404
